Device_ID,Device_Type,LAI,RAI,Network_Type
D1000,Smartphone,240-01,240-01,5G
D1001,IoT Device,240-01,240-01,5G
D1002,Tablet,240-01,240-01,5G
D1003,Tablet,240-01,240-01,5G
D1004,IoT Device,240-01,240-01,3G
D1005,IoT Device,240-01,240-01,3G
D1006,Tablet,240-01,240-01,5G
D1007,Tablet,240-01,240-01,3G
D1008,Smartphone,240-01,240-01,5G
D1009,Smartphone,240-01,240-01,3G
D1010,Tablet,240-01,240-01,3G
D1011,IoT Device,240-01,240-01,4G
D1012,IoT Device,240-01,240-01,4G
D1013,Smartphone,240-01,240-01,4G
D1014,IoT Device,240-01,240-01,3G
D1015,IoT Device,240-01,240-01,5G
D1016,Smartphone,240-01,240-01,3G
D1017,Smartphone,240-01,240-01,5G
D1018,Smartphone,240-01,240-01,5G
D1019,IoT Device,240-01,240-01,5G
D1020,Tablet,240-01,240-01,5G
D1021,IoT Device,240-01,240-01,4G
D1022,Tablet,240-01,240-01,4G
D1023,Tablet,240-01,240-01,3G
D1024,Tablet,240-01,240-01,5G
D1025,Tablet,240-01,240-01,4G
D1026,IoT Device,240-01,240-01,5G
D1027,Smartphone,240-01,240-01,3G
D1028,Tablet,240-01,240-01,3G
D1029,IoT Device,240-01,240-01,3G
D1030,Tablet,240-01,240-01,5G
D1031,Smartphone,240-01,240-01,3G
D1032,IoT Device,240-01,240-01,5G
D1033,IoT Device,240-01,240-01,3G
D1034,Tablet,240-01,240-01,4G
D1035,Smartphone,240-01,240-01,3G
D1036,Tablet,240-01,240-01,4G
D1037,Tablet,240-01,240-01,3G
D1038,IoT Device,240-01,240-01,5G
D1039,Smartphone,240-01,240-01,3G
D1040,Tablet,240-01,240-01,4G
D1041,Tablet,240-01,240-01,4G
D1042,IoT Device,240-01,240-01,5G
D1043,Smartphone,240-01,240-01,5G
D1044,Tablet,240-01,240-01,3G
D1045,Tablet,240-01,240-01,5G
D1046,Tablet,240-01,240-01,4G
D1047,Smartphone,240-01,240-01,4G
D1048,Smartphone,240-01,240-01,3G
D1049,IoT Device,240-01,240-01,3G
D1050,Tablet,240-01,240-01,3G
D1051,Smartphone,240-01,240-01,5G
D1052,Tablet,240-01,240-01,5G
D1053,IoT Device,240-01,240-01,4G
D1054,Tablet,240-01,240-01,3G
D1055,IoT Device,240-01,240-01,5G
D1056,Tablet,240-01,240-01,3G
D1057,IoT Device,240-01,240-01,3G
D1058,Tablet,240-01,240-01,5G
D1059,IoT Device,240-01,240-01,4G
D1060,IoT Device,240-01,240-01,4G
D1061,Tablet,240-01,240-01,4G
D1062,Smartphone,240-01,240-01,4G
D1063,IoT Device,240-01,240-01,3G
D1064,Smartphone,240-01,240-01,5G
D1065,Smartphone,240-01,240-01,3G
D1066,Smartphone,240-01,240-01,4G
D1067,Smartphone,240-01,240-01,3G
D1068,IoT Device,240-01,240-01,3G
D1069,Smartphone,240-01,240-01,3G
D1070,Tablet,240-01,240-01,5G
D1071,Tablet,240-01,240-01,3G
D1072,Tablet,240-01,240-01,5G
D1073,Tablet,240-01,240-01,3G
D1074,Smartphone,240-01,240-01,5G
D1075,Smartphone,240-01,240-01,5G
D1076,IoT Device,240-01,240-01,4G
D1077,IoT Device,240-01,240-01,4G
D1078,Tablet,240-01,240-01,5G
D1079,IoT Device,240-01,240-01,4G
D1080,Tablet,240-01,240-01,3G
D1081,Tablet,240-01,240-01,5G
D1082,IoT Device,240-01,240-01,5G
D1083,IoT Device,240-01,240-01,3G
D1084,IoT Device,240-01,240-01,3G
D1085,IoT Device,240-01,240-01,4G
D1086,IoT Device,240-01,240-01,5G
D1087,IoT Device,240-01,240-01,4G
D1088,Tablet,240-01,240-01,4G
D1089,Smartphone,240-01,240-01,3G
D1090,IoT Device,240-01,240-01,3G
D1091,Smartphone,240-01,240-01,4G
D1092,Smartphone,240-01,240-01,5G
D1093,Tablet,240-01,240-01,4G
D1094,IoT Device,240-01,240-01,4G
D1095,IoT Device,240-01,240-01,4G
