MCC,MNC,PLMN,TMSI,LMSI,TLLI,LAI,RAI
240,85,24085,25014631,58718453,51273847,240-85-4733,240-85-4733-47
240,46,24046,70597444,26240908,43273328,240-46-6635,240-46-6635-87
240,12,24012,73440831,42614537,73481353,240-12-7224,240-12-7224-22
240,86,24086,20117988,69476001,83863413,240-86-5374,240-86-5374-99
240,30,24030,39219319,17849494,87736262,240-30-9279,240-30-9279-87
240,33,24033,93131979,21003626,66267415,240-33-1188,240-33-1188-97
240,18,24018,27778019,56843172,19233013,240-18-9348,240-18-9348-73
240,46,24046,77834855,75569635,43704923,240-46-6635,240-46-6635-87
240,87,24087,15614174,51373735,58942697,240-87-9935,240-87-9935-21
240,29,24029,36786211,71780854,56930359,240-29-3286,240-29-3286-23
240,80,24080,52101056,68571795,91363974,240-80-6925,240-80-6925-83
240,42,24042,84411983,27084279,35748341,240-42-1916,240-42-1916-39
240,86,24086,99100953,94951883,93115778,240-86-5374,240-86-5374-99
240,85,24085,33607110,79519112,72350830,240-85-4733,240-85-4733-47
240,87,24087,46855845,69038700,20399639,240-87-9935,240-87-9935-21
240,55,24055,12621534,87267850,61053877,240-55-2040,240-55-2040-59
240,60,24060,89442503,85751409,98986321,240-60-7216,240-60-7216-44
240,95,24095,97477029,15403355,14164775,240-95-5506,240-95-5506-41
240,46,24046,63238057,36619372,20200074,240-46-6635,240-46-6635-87
240,83,24083,97302916,46249845,92666356,240-83-8517,240-83-8517-28
240,35,24035,47535126,90014570,47080140,240-35-2084,240-35-2084-37
240,73,24073,67110154,83871890,54398056,240-73-6155,240-73-6155-37
240,11,24011,50569669,11898961,81690398,240-11-4814,240-11-4814-22
240,90,24090,94482772,17195288,30364454,240-90-9928,240-90-9928-63
240,29,24029,93955206,38323322,45520201,240-29-8359,240-29-8359-85
240,18,24018,83089925,40173413,96924061,240-18-9348,240-18-9348-73
240,29,24029,43603811,13471527,22257687,240-29-8359,240-29-8359-85
240,12,24012,76500726,48683937,98930456,240-12-7224,240-12-7224-22
240,48,24048,27584297,48658617,68802946,240-48-6820,240-48-6820-36
240,20,24020,71308842,83989546,29413516,240-20-3621,240-20-3621-97
240,82,24082,71115319,53188224,35320492,240-82-6977,240-82-6977-30
240,20,24020,97883261,30718012,20043277,240-20-3621,240-20-3621-97
240,60,24060,16172803,53536830,17532195,240-60-7216,240-60-7216-44
240,11,24011,72445234,48605268,83363160,240-11-5803,240-11-5803-90
240,36,24036,16582607,91390501,76669607,240-36-1106,240-36-1106-30
240,11,24011,81249799,77349752,46578001,240-11-5803,240-11-5803-90
240,36,24036,41383044,73280554,13358751,240-36-1106,240-36-1106-30
240,96,24096,30739712,65684858,97902129,240-96-9830,240-96-9830-43
240,30,24030,16788532,54762841,42691263,240-30-9279,240-30-9279-87
240,90,24090,53455870,12118101,33386929,240-90-9928,240-90-9928-63
240,34,24034,24490391,75802771,69533928,240-34-1711,240-34-1711-68
240,76,24076,40667888,65541117,55490631,240-76-7912,240-76-7912-14
240,94,24094,65137801,57459130,99300492,240-94-5010,240-94-5010-30
240,93,24093,96261621,84724345,13523729,240-93-2876,240-93-2876-97
240,34,24034,53537934,86181117,90023800,240-34-3287,240-34-3287-41
240,4,24004,16095815,39597483,63051354,240-04-2535,240-04-2535-37
240,34,24034,12515446,71707170,20450542,240-34-3287,240-34-3287-41
240,25,24025,55568701,39738898,54703713,240-25-2139,240-25-2139-15
240,69,24069,70251043,85764804,96300902,240-69-5371,240-69-5371-92
240,96,24096,89736043,78057490,61604364,240-96-8019,240-96-8019-84
240,94,24094,31306555,58841557,60043345,240-94-5010,240-94-5010-30
240,11,24011,21370793,51551377,85017250,240-11-5803,240-11-5803-90
240,82,24082,98842638,55199748,92950779,240-82-6977,240-82-6977-30
240,90,24090,71965637,47818761,61254050,240-90-9928,240-90-9928-63
240,42,24042,56920514,13579612,65686520,240-42-1916,240-42-1916-39
240,87,24087,38944689,30068183,83659258,240-87-9935,240-87-9935-21
240,49,24049,10209961,92518345,57354167,240-49-8668,240-49-8668-77
240,46,24046,88101741,54629892,27905932,240-46-6635,240-46-6635-87
240,29,24029,48401154,57912262,16416148,240-29-3286,240-29-3286-23
240,52,24052,20746667,54012664,98707076,240-52-6930,240-52-6930-38
240,11,24011,19023909,41674763,96592295,240-11-5803,240-11-5803-90
240,49,24049,85386435,25805613,45135070,240-49-5554,240-49-5554-68
240,69,24069,40097200,26288992,36975128,240-69-5371,240-69-5371-92
240,90,24090,72523073,79438885,56239991,240-90-9928,240-90-9928-63
240,90,24090,92467167,81602209,22539748,240-90-9928,240-90-9928-63
240,42,24042,42866956,64504816,49920898,240-42-1916,240-42-1916-39
240,94,24094,70343755,43275109,28908276,240-94-5010,240-94-5010-30
240,30,24030,88295121,57364777,16530784,240-30-9279,240-30-9279-87
240,87,24087,77680031,70445541,83800569,240-87-9935,240-87-9935-21
240,69,24069,91370909,79190008,28761086,240-69-3045,240-69-3045-58
240,25,24025,45638891,97991930,87641510,240-25-2139,240-25-2139-15
240,84,24084,18359252,28533117,79616482,240-84-9179,240-84-9179-60
240,98,24098,52552488,74398125,56815569,240-98-6514,240-98-6514-23
240,73,24073,92634772,88763056,42115895,240-73-6155,240-73-6155-37
240,46,24046,81826922,15006085,33496796,240-46-6635,240-46-6635-87
240,86,24086,31809610,71594457,97011385,240-86-5374,240-86-5374-99
240,34,24034,45835371,54241559,50526484,240-34-1711,240-34-1711-68
240,83,24083,65813853,83717007,73193474,240-83-8517,240-83-8517-28
240,93,24093,88268756,75609379,22205980,240-93-2876,240-93-2876-97
240,42,24042,19263592,73360324,14259382,240-42-1916,240-42-1916-39
240,11,24011,66925500,81394920,60905625,240-11-5803,240-11-5803-90
240,12,24012,82445335,39161379,17575790,240-12-7224,240-12-7224-22
240,90,24090,96344420,61157708,80392240,240-90-9928,240-90-9928-63
240,25,24025,96799390,20612653,70369365,240-25-2139,240-25-2139-15
240,49,24049,37449289,63235053,42122457,240-49-5554,240-49-5554-68
240,73,24073,84264220,88387434,87731247,240-73-6155,240-73-6155-37
240,49,24049,80322629,14539747,19976458,240-49-8668,240-49-8668-77
240,18,24018,46875077,81905550,48478684,240-18-9348,240-18-9348-73
240,95,24095,22549425,64395532,60903955,240-95-5506,240-95-5506-41
240,82,24082,52209421,12101593,37804291,240-82-6977,240-82-6977-30
240,83,24083,63244581,53805532,13976288,240-83-8517,240-83-8517-28
240,96,24096,22283664,10697290,51374957,240-96-8019,240-96-8019-84
240,82,24082,62049575,21368176,85099723,240-82-3803,240-82-3803-78
240,46,24046,36246038,71453148,24357588,240-46-6635,240-46-6635-87
240,90,24090,53739710,60473288,47621248,240-90-9928,240-90-9928-63
240,48,24048,90253323,74321792,88147469,240-48-6820,240-48-6820-36
240,48,24048,79631857,84892608,87915846,240-48-6820,240-48-6820-36
240,20,24020,56748074,73909453,23102741,240-20-3621,240-20-3621-97
240,82,24082,13918120,92424037,36484437,240-82-3803,240-82-3803-78
240,82,24082,88786439,25331969,56697654,240-82-3803,240-82-3803-78
