Timestamp,MCC,MNC,PLMN,LAI,RAI,Network_Type,Device_Type
260316,240,7,24007,240-07,240-07-5012-38,4G,Smartphone
260304,240,2,24002,240-02,240-02-6881-54,5G,Tablet
260317,206,5,20605,206-05,206-05-8573-58,4G,IoT Device
260314,206,1,20601,206-01,206-01-1771-24,4G,Smartphone
260303,206,10,20610,206-10,206-10-3646-79,5G,IoT Device
260313,206,20,20620,206-20,206-20-7118-66,5G,Smartphone
260303,310,260,310260,310-260,310-260-2545-22,4G,Smartphone
260319,310,480,310480,310-480,310-480-4502-61,5G,Smartphone
260307,240,16,24016,240-16,240-16-2964-82,4G,Smartphone
260228,240,8,24008,240-08,240-08-5669-30,5G,Smartphone
260322,240,4,24004,240-04,240-04-5291-30,5G,Smartphone
260318,310,260,310260,310-260,310-260-6442-62,5G,IoT Device
260227,234,10,23410,234-10,234-10-8119-54,4G,Smartphone
260314,206,20,20620,206-20,206-20-7211-96,5G,Smartphone
260316,206,1,20601,206-01,206-01-1757-41,5G,Tablet
260322,310,260,310260,310-260,310-260-8777-67,4G,Smartphone
260305,310,480,310480,310-480,310-480-8814-10,5G,Smartphone
260301,240,16,24016,240-16,240-16-6363-37,5G,Smartphone
260318,240,7,24007,240-07,240-07-2771-84,3G,Smartphone
260315,234,30,23430,234-30,234-30-8136-85,3G,IoT Device
260301,206,20,20620,206-20,206-20-8342-12,3G,Smartphone
260317,234,15,23415,234-15,234-15-5853-39,3G,Smartphone
260303,206,10,20610,206-10,206-10-2395-41,3G,Tablet
260309,310,120,310120,310-120,310-120-4792-46,4G,IoT Device
260303,240,16,24016,240-16,240-16-6280-87,4G,Smartphone
260301,240,2,24002,240-02,240-02-6153-42,4G,IoT Device
260319,310,260,310260,310-260,310-260-2858-69,5G,Tablet
260307,206,20,20620,206-20,206-20-6654-52,5G,Smartphone
260312,240,7,24007,240-07,240-07-6546-89,5G,Smartphone
260322,310,260,310260,310-260,310-260-3868-20,4G,Smartphone
260320,234,38,23438,234-38,234-38-5837-12,5G,Tablet
260308,234,15,23415,234-15,234-15-5210-71,5G,Smartphone
260312,240,7,24007,240-07,240-07-7689-24,4G,IoT Device
260317,234,30,23430,234-30,234-30-5520-34,5G,IoT Device
260320,206,10,20610,206-10,206-10-4898-85,4G,Smartphone
260310,240,4,24004,240-04,240-04-2076-26,4G,Smartphone
260326,240,2,24002,240-02,240-02-2527-65,3G,Tablet
260323,206,1,20601,206-01,206-01-5381-13,4G,Tablet
260301,240,24,24024,240-24,240-24-7947-72,5G,Smartphone
260315,206,5,20605,206-05,206-05-9196-81,5G,Tablet
260324,240,7,24007,240-07,240-07-6562-38,4G,Smartphone
260304,310,410,310410,310-410,310-410-5500-85,3G,Tablet
260227,240,1,24001,240-01,240-01-5059-66,5G,Smartphone
260326,234,38,23438,234-38,234-38-6381-26,4G,IoT Device
260228,206,20,20620,206-20,206-20-1715-62,4G,Tablet
260305,240,2,24002,240-02,240-02-3626-44,5G,Smartphone
260326,310,120,310120,310-120,310-120-1311-42,4G,Smartphone
260318,310,120,310120,310-120,310-120-9576-56,3G,Tablet
260310,310,410,310410,310-410,310-410-4302-15,5G,IoT Device
260304,240,4,24004,240-04,240-04-9937-47,4G,Smartphone
