Timestamp,MCC,MNC,PLMN,LAI,RAI,Network_Type,Device_Type
260316062051+0100,240,7,24007,240-07-5012,240-07-5012-38,4G,Smartphone
260304101656+0200,240,2,24002,240-02-6881,240-02-6881-54,5G,Tablet
260317091102+0100,206,5,20605,206-05-8573,206-05-8573-58,4G,IoT Device
260314190653+0200,206,1,20601,206-01-1771,206-01-1771-24,4G,Smartphone
260303152246+0100,206,10,20610,206-10-3646,206-10-3646-79,5G,IoT Device
260313220324+0200,206,20,20620,206-20-7118,206-20-7118-66,5G,Smartphone
260303164039-0800,310,260,310260,310-260-2545,310-260-2545-22,4G,Smartphone
260319201805-0800,310,480,310480,310-480-4502,310-480-4502-61,5G,Smartphone
260307065626+0100,240,16,24016,240-16-2964,240-16-2964-82,4G,Smartphone
260228033306+0100,240,8,24008,240-08-5669,240-08-5669-30,5G,Smartphone
260322120922+0200,240,4,24004,240-04-5291,240-04-5291-30,5G,Smartphone
260318232201-0500,310,260,310260,310-260-6442,310-260-6442-62,5G,IoT Device
260227104147+0000,234,10,23410,234-10-8119,234-10-8119-54,4G,Smartphone
260314093913+0100,206,20,20620,206-20-7211,206-20-7211-96,5G,Smartphone
260316220411+0100,206,1,20601,206-01-1757,206-01-1757-41,5G,Tablet
260322174720-0800,310,260,310260,310-260-8777,310-260-8777-67,4G,Smartphone
260305100604-0500,310,480,310480,310-480-8814,310-480-8814-10,5G,Smartphone
260301230416+0200,240,16,24016,240-16-6363,240-16-6363-37,5G,Smartphone
260318031615+0100,240,7,24007,240-07-2771,240-07-2771-84,3G,Smartphone
260315083204+0100,234,30,23430,234-30-8136,234-30-8136-85,3G,IoT Device
260301233636+0200,206,20,20620,206-20-8342,206-20-8342-12,3G,Smartphone
260317145257+0000,234,15,23415,234-15-5853,234-15-5853-39,3G,Smartphone
260303225229+0100,206,10,20610,206-10-2395,206-10-2395-41,3G,Tablet
260309024756-0700,310,120,310120,310-120-4792,310-120-4792-46,4G,IoT Device
260303110305+0100,240,16,24016,240-16-6280,240-16-6280-87,4G,Smartphone
260301084940+0200,240,2,24002,240-02-6153,240-02-6153-42,4G,IoT Device
260319114836-0500,310,260,310260,310-260-2858,310-260-2858-69,5G,Tablet
260307223551+0200,206,20,20620,206-20-6654,206-20-6654-52,5G,Smartphone
260312084909+0200,240,7,24007,240-07-6546,240-07-6546-89,5G,Smartphone
260322215715-0600,310,260,310260,310-260-3868,310-260-3868-20,4G,Smartphone
260320201526+0100,234,38,23438,234-38-5837,234-38-5837-12,5G,Tablet
260308145933+0100,234,15,23415,234-15-5210,234-15-5210-71,5G,Smartphone
260312225521+0200,240,7,24007,240-07-7689,240-07-7689-24,4G,IoT Device
260317114551+0000,234,30,23430,234-30-5520,234-30-5520-34,5G,IoT Device
260320032104+0100,206,10,20610,206-10-4898,206-10-4898-85,4G,Smartphone
260310025928+0200,240,4,24004,240-04-2076,240-04-2076-26,4G,Smartphone
