MCC,MNC,PLMN,LAI,RAI,Network_Type,Device_Type
240,7,240,240,240,4G,Smartphone
240,2,240,240,240,5G,Tablet
206,5,206,206,206,4G,IoT Device
206,1,206,206,206,4G,Smartphone
206,10,206,206,206,5G,IoT Device
206,20,206,206,206,5G,Smartphone
310,260,310,310,310,4G,Smartphone
310,480,310,310,310,5G,Smartphone
240,16,240,240,240,4G,Smartphone
240,8,240,240,240,5G,Smartphone
240,4,240,240,240,5G,Smartphone
310,260,310,310,310,5G,IoT Device
234,10,234,234,234,4G,Smartphone
206,20,206,206,206,5G,Smartphone
206,1,206,206,206,5G,Tablet
310,260,310,310,310,4G,Smartphone
310,480,310,310,310,5G,Smartphone
240,16,240,240,240,5G,Smartphone
240,7,240,240,240,3G,Smartphone
234,30,234,234,234,3G,IoT Device
206,20,206,206,206,3G,Smartphone
234,15,234,234,234,3G,Smartphone
206,10,206,206,206,3G,Tablet
310,120,310,310,310,4G,IoT Device
240,16,240,240,240,4G,Smartphone
240,2,240,240,240,4G,IoT Device
310,260,310,310,310,5G,Tablet
206,20,206,206,206,5G,Smartphone
240,7,240,240,240,5G,Smartphone
310,260,310,310,310,4G,Smartphone
234,38,234,234,234,5G,Tablet
234,15,234,234,234,5G,Smartphone
240,7,240,240,240,4G,IoT Device
234,30,234,234,234,5G,IoT Device
206,10,206,206,206,4G,Smartphone
240,4,240,240,240,4G,Smartphone
240,2,240,240,240,3G,Tablet
206,1,206,206,206,4G,Tablet
240,24,240,240,240,5G,Smartphone
206,5,206,206,206,5G,Tablet
240,7,240,240,240,4G,Smartphone
310,410,310,310,310,3G,Tablet
240,1,240,240,240,5G,Smartphone
234,38,234,234,234,4G,IoT Device
206,20,206,206,206,4G,Tablet
240,2,240,240,240,5G,Smartphone
310,120,310,310,310,4G,Smartphone
310,120,310,310,310,3G,Tablet
310,410,310,310,310,5G,IoT Device
240,4,240,240,240,4G,Smartphone
234,33,234,234,234,3G,Tablet
240,4,240,240,240,5G,IoT Device
310,480,310,310,310,5G,Tablet
240,4,240,240,240,5G,IoT Device
234,20,234,234,234,5G,Smartphone
310,120,310,310,310,4G,Smartphone
310,120,310,310,310,4G,IoT Device
310,480,310,310,310,4G,Smartphone
310,120,310,310,310,4G,Smartphone
234,33,234,234,234,5G,Smartphone
310,260,310,310,310,5G,Smartphone
206,10,206,206,206,4G,Tablet
240,8,240,240,240,5G,Smartphone
240,5,240,240,240,4G,Tablet
240,24,240,240,240,5G,Tablet
234,38,234,234,234,4G,Tablet
206,10,206,206,206,5G,Smartphone
206,5,206,206,206,3G,Smartphone
234,30,234,234,234,4G,Smartphone
234,30,234,234,234,3G,IoT Device
310,120,310,310,310,4G,Smartphone
240,4,240,240,240,5G,Smartphone
234,38,234,234,234,4G,Tablet
240,7,240,240,240,5G,Smartphone
240,16,240,240,240,5G,Smartphone
234,30,234,234,234,3G,IoT Device
240,5,240,240,240,5G,Smartphone
310,480,310,310,310,3G,Smartphone
240,24,240,240,240,4G,Tablet
206,1,206,206,206,4G,Smartphone
206,20,206,206,206,4G,Smartphone
206,1,206,206,206,5G,Smartphone
234,15,234,234,234,4G,IoT Device
310,480,310,310,310,5G,IoT Device
240,2,240,240,240,4G,Tablet
310,120,310,310,310,5G,Smartphone
240,4,240,240,240,5G,Smartphone
240,8,240,240,240,4G,Tablet
206,10,206,206,206,5G,Tablet
240,8,240,240,240,5G,Smartphone
310,410,310,310,310,5G,Smartphone
206,5,206,206,206,3G,Smartphone
240,4,240,240,240,4G,Smartphone
240,8,240,240,240,5G,IoT Device
240,24,240,240,240,5G,Tablet
310,120,310,310,310,3G,Smartphone
206,10,206,206,206,5G,IoT Device
310,410,310,310,310,4G,Smartphone
310,410,310,310,310,4G,IoT Device
234,38,234,234,234,3G,Tablet
310,480,310,310,310,5G,Smartphone
206,1,206,206,206,4G,Smartphone
310,480,310,310,310,4G,Smartphone
234,10,234,234,234,3G,Smartphone
206,20,206,206,206,3G,Tablet
240,5,240,240,240,4G,Smartphone
206,5,206,206,206,4G,Smartphone
234,38,234,234,234,3G,IoT Device
234,15,234,234,234,3G,Smartphone
234,10,234,234,234,5G,Smartphone
206,1,206,206,206,4G,Tablet
206,5,206,206,206,5G,Smartphone
206,1,206,206,206,3G,Smartphone
240,5,240,240,240,4G,Smartphone
206,5,206,206,206,3G,IoT Device
240,5,240,240,240,5G,Smartphone
310,120,310,310,310,3G,Smartphone
234,38,234,234,234,5G,Tablet
310,260,310,310,310,4G,Tablet
234,20,234,234,234,4G,Tablet
206,5,206,206,206,4G,Tablet
234,15,234,234,234,3G,Tablet
234,20,234,234,234,5G,Tablet
240,4,240,240,240,3G,Smartphone
240,2,240,240,240,5G,Smartphone
310,410,310,310,310,4G,IoT Device
206,20,206,206,206,5G,Smartphone
206,10,206,206,206,5G,Tablet
206,20,206,206,206,5G,Smartphone
310,120,310,310,310,4G,IoT Device
310,260,310,310,310,4G,Smartphone
234,38,234,234,234,4G,Smartphone
240,5,240,240,240,4G,Tablet
234,33,234,234,234,3G,Smartphone
240,16,240,240,240,5G,Smartphone
206,10,206,206,206,3G,Smartphone
240,8,240,240,240,5G,Tablet
234,33,234,234,234,3G,Smartphone
234,15,234,234,234,3G,IoT Device
234,33,234,234,234,3G,Tablet
310,410,310,310,310,3G,Smartphone
240,7,240,240,240,5G,Tablet
240,4,240,240,240,3G,IoT Device
310,260,310,310,310,4G,IoT Device
234,10,234,234,234,3G,IoT Device
310,410,310,310,310,3G,Tablet
206,20,206,206,206,5G,Tablet
240,7,240,240,240,5G,Smartphone
234,20,234,234,234,4G,Tablet
206,1,206,206,206,4G,Tablet
206,1,206,206,206,4G,IoT Device
310,410,310,310,310,4G,IoT Device
240,7,240,240,240,4G,Tablet
206,10,206,206,206,4G,IoT Device
206,20,206,206,206,5G,Smartphone
206,1,206,206,206,4G,IoT Device
234,20,234,234,234,3G,Smartphone
234,10,234,234,234,3G,IoT Device
240,16,240,240,240,5G,Smartphone
206,1,206,206,206,4G,Tablet
310,260,310,310,310,4G,Smartphone
240,24,240,240,240,5G,Smartphone
234,10,234,234,234,4G,Tablet
310,410,310,310,310,4G,Smartphone
240,4,240,240,240,4G,Smartphone
240,24,240,240,240,5G,Smartphone
310,260,310,310,310,3G,Smartphone
234,38,234,234,234,4G,Tablet
206,10,206,206,206,4G,Smartphone
206,1,206,206,206,5G,Smartphone
240,8,240,240,240,4G,Tablet
240,4,240,240,240,5G,Smartphone
240,2,240,240,240,5G,Smartphone
234,10,234,234,234,4G,IoT Device
310,410,310,310,310,5G,IoT Device
206,1,206,206,206,5G,Smartphone
234,10,234,234,234,3G,Tablet
234,15,234,234,234,5G,Tablet
206,10,206,206,206,5G,Smartphone
310,480,310,310,310,4G,Smartphone
240,16,240,240,240,4G,Smartphone
234,10,234,234,234,3G,Smartphone
310,120,310,310,310,4G,Smartphone
206,1,206,206,206,4G,Tablet
310,260,310,310,310,4G,Smartphone
234,10,234,234,234,3G,Smartphone
310,260,310,310,310,4G,Tablet
240,8,240,240,240,5G,Smartphone
206,20,206,206,206,5G,Smartphone
206,1,206,206,206,4G,IoT Device
240,16,240,240,240,4G,Smartphone
234,33,234,234,234,3G,Smartphone
240,7,240,240,240,4G,Smartphone
