Timestamp,MCC,MNC,PLMN,LAI,RAI,Network_Type,Device_Type
260316062051+0100,240,7,310410,240-16-XXXX,240-07-XXXX,4G,Smartphone
260304101656+0200,240,2,23438,240-02-XXXX,240-02-XXXX,5G,Smartphone
260317091102+0100,206,5,20605,206-05-XXXX,206-05-XXXX,5G,IoT Device
260314190653+0200,206,1,20601,234-20-XXXX,206-01-XXXX,4G,Smartphone
260303152246+0100,206,10,20605,234-20-XXXX,206-10-XXXX,3G,IoT Device
260313220324+0200,206,20,20620,234-15-XXXX,206-20-XXXX,5G,Tablet
260303164039-0800,310,260,24007,234-30-XXXX,240-04-XXXX,5G,Smartphone
260319201805-0800,310,480,23415,206-20-XXXX,310-480-XXXX,5G,Smartphone
260307065626+0100,240,16,24016,240-16-XXXX,240-16-XXXX,5G,Smartphone
260228033306+0100,240,8,24008,240-08-XXXX,206-05-XXXX,5G,Smartphone
260322120922+0200,240,4,24004,206-05-XXXX,240-04-XXXX,5G,Smartphone
260318232201-0500,310,260,310260,240-07-XXXX,310-260-XXXX,4G,IoT Device
260227104147+0000,234,10,310410,206-01-XXXX,234-10-XXXX,5G,Smartphone
260314093913+0100,206,20,20620,206-20-XXXX,206-10-XXXX,5G,Smartphone
260316220411+0100,206,1,20601,206-10-XXXX,206-01-XXXX,4G,Tablet
260322174720-0800,310,260,310260,310-260-XXXX,310-260-XXXX,3G,Smartphone
260305100604-0500,310,480,23420,310-480-XXXX,310-260-XXXX,5G,Smartphone
260301230416+0200,240,16,23410,234-20-XXXX,206-01-XXXX,5G,Smartphone
260318031615+0100,240,7,24007,240-07-XXXX,240-07-XXXX,3G,Smartphone
260315083204+0100,234,30,20610,310-260-XXXX,240-24-XXXX,5G,Smartphone
260301233636+0200,206,20,310260,206-20-XXXX,206-20-XXXX,5G,Smartphone
260317145257+0000,234,15,23410,234-15-XXXX,234-15-XXXX,5G,Smartphone
260303225229+0100,206,10,24007,206-10-XXXX,310-120-XXXX,4G,Tablet
260309024756-0700,310,120,20601,310-410-XXXX,310-120-XXXX,4G,Tablet
260303110305+0100,240,16,24001,240-16-XXXX,240-16-XXXX,4G,Smartphone
260301084940+0200,240,2,20620,240-24-XXXX,240-02-XXXX,3G,IoT Device
260319114836-0500,310,260,24001,310-260-XXXX,310-260-XXXX,5G,Tablet
260307223551+0200,206,20,20610,240-24-XXXX,240-04-XXXX,5G,Smartphone
260312084909+0200,240,7,24007,240-07-XXXX,240-07-XXXX,5G,Smartphone
260322215715-0600,310,260,310260,310-260-XXXX,310-260-XXXX,4G,Smartphone
260320201526+0100,234,38,20605,310-480-XXXX,240-24-XXXX,3G,Smartphone
260308145933+0100,234,15,23415,234-38-XXXX,234-15-XXXX,5G,Tablet
260312225521+0200,240,7,24007,206-01-XXXX,234-15-XXXX,4G,Tablet
260317114551+0000,234,30,24001,234-30-XXXX,240-05-XXXX,5G,IoT Device
260320032104+0100,206,10,310480,206-10-XXXX,206-10-XXXX,4G,Smartphone
