Network_Type,Device_Type
4G,Smartphone
5G,Tablet
4G,IoT Device
4G,Smartphone
5G,IoT Device
5G,Smartphone
4G,Smartphone
5G,Smartphone
4G,Smartphone
5G,Smartphone
5G,Smartphone
5G,IoT Device
4G,Smartphone
5G,Smartphone
5G,Tablet
4G,Smartphone
5G,Smartphone
5G,Smartphone
3G,Smartphone
3G,IoT Device
3G,Smartphone
3G,Smartphone
3G,Tablet
4G,IoT Device
4G,Smartphone
4G,IoT Device
5G,Tablet
5G,Smartphone
5G,Smartphone
4G,Smartphone
5G,Tablet
5G,Smartphone
4G,IoT Device
5G,IoT Device
4G,Smartphone
4G,Smartphone
3G,Tablet
4G,Tablet
5G,Smartphone
5G,Tablet
4G,Smartphone
3G,Tablet
5G,Smartphone
4G,IoT Device
4G,Tablet
5G,Smartphone
4G,Smartphone
3G,Tablet
5G,IoT Device
4G,Smartphone
3G,Tablet
5G,IoT Device
5G,Tablet
5G,IoT Device
5G,Smartphone
4G,Smartphone
4G,IoT Device
4G,Smartphone
4G,Smartphone
5G,Smartphone
5G,Smartphone
4G,Tablet
5G,Smartphone
4G,Tablet
5G,Tablet
4G,Tablet
5G,Smartphone
3G,Smartphone
4G,Smartphone
3G,IoT Device
4G,Smartphone
5G,Smartphone
4G,Tablet
5G,Smartphone
5G,Smartphone
3G,IoT Device
5G,Smartphone
3G,Smartphone
4G,Tablet
4G,Smartphone
4G,Smartphone
5G,Smartphone
4G,IoT Device
5G,IoT Device
4G,Tablet
5G,Smartphone
5G,Smartphone
4G,Tablet
5G,Tablet
5G,Smartphone
5G,Smartphone
3G,Smartphone
4G,Smartphone
5G,IoT Device
5G,Tablet
3G,Smartphone
5G,IoT Device
4G,Smartphone
4G,IoT Device
3G,Tablet
5G,Smartphone
4G,Smartphone
4G,Smartphone
3G,Smartphone
3G,Tablet
4G,Smartphone
4G,Smartphone
3G,IoT Device
3G,Smartphone
5G,Smartphone
4G,Tablet
5G,Smartphone
3G,Smartphone
4G,Smartphone
3G,IoT Device
5G,Smartphone
3G,Smartphone
5G,Tablet
4G,Tablet
4G,Tablet
4G,Tablet
3G,Tablet
5G,Tablet
3G,Smartphone
5G,Smartphone
4G,IoT Device
5G,Smartphone
5G,Tablet
5G,Smartphone
4G,IoT Device
4G,Smartphone
4G,Smartphone
4G,Tablet
3G,Smartphone
5G,Smartphone
3G,Smartphone
5G,Tablet
3G,Smartphone
3G,IoT Device
3G,Tablet
3G,Smartphone
5G,Tablet
3G,IoT Device
4G,IoT Device
3G,IoT Device
3G,Tablet
5G,Tablet
5G,Smartphone
4G,Tablet
4G,Tablet
4G,IoT Device
4G,IoT Device
4G,Tablet
4G,IoT Device
5G,Smartphone
4G,IoT Device
3G,Smartphone
3G,IoT Device
5G,Smartphone
4G,Tablet
4G,Smartphone
5G,Smartphone
4G,Tablet
4G,Smartphone
4G,Smartphone
5G,Smartphone
3G,Smartphone
4G,Tablet
4G,Smartphone
5G,Smartphone
4G,Tablet
5G,Smartphone
5G,Smartphone
4G,IoT Device
5G,IoT Device
5G,Smartphone
3G,Tablet
5G,Tablet
5G,Smartphone
4G,Smartphone
4G,Smartphone
3G,Smartphone
4G,Smartphone
4G,Tablet
4G,Smartphone
3G,Smartphone
4G,Tablet
5G,Smartphone
5G,Smartphone
4G,IoT Device
4G,Smartphone
3G,Smartphone
4G,Smartphone
4G,Tablet
3G,Smartphone
4G,IoT Device
5G,Smartphone
5G,Tablet
4G,IoT Device
3G,Tablet
5G,Smartphone
5G,Tablet
4G,Tablet
4G,Smartphone
5G,Smartphone
4G,Tablet
4G,Smartphone
4G,Smartphone
5G,Tablet
5G,Tablet
5G,IoT Device
5G,IoT Device
3G,Smartphone
3G,IoT Device
4G,Smartphone
5G,Tablet
4G,IoT Device
5G,IoT Device
5G,Smartphone
3G,Smartphone
4G,Smartphone
5G,Smartphone
3G,IoT Device
4G,Tablet
3G,Smartphone
4G,IoT Device
4G,Smartphone
3G,Smartphone
4G,Smartphone
4G,Smartphone
5G,Tablet
3G,Smartphone
5G,Tablet
4G,IoT Device
4G,IoT Device
4G,IoT Device
4G,Smartphone
3G,IoT Device
5G,Tablet
5G,IoT Device
4G,Tablet
4G,IoT Device
4G,Smartphone
4G,Smartphone
4G,Tablet
4G,Smartphone
4G,Smartphone
3G,Smartphone
5G,Smartphone
5G,Smartphone
3G,Tablet
4G,IoT Device
4G,IoT Device
5G,Smartphone
4G,IoT Device
4G,Smartphone
4G,Smartphone
5G,Smartphone
3G,Tablet
5G,Tablet
4G,Smartphone
3G,Smartphone
4G,Smartphone
4G,Tablet
5G,IoT Device
4G,IoT Device
4G,IoT Device
3G,Tablet
5G,IoT Device
5G,Smartphone
5G,Smartphone
4G,Smartphone
5G,Tablet
3G,Smartphone
5G,Smartphone
5G,IoT Device
3G,Smartphone
5G,Smartphone
5G,Smartphone
4G,Tablet
5G,IoT Device
4G,Smartphone
4G,Tablet
3G,Smartphone
4G,Smartphone
4G,Smartphone
3G,Smartphone
3G,Smartphone
5G,Tablet
3G,Smartphone
5G,Tablet
4G,Tablet
4G,IoT Device
5G,Tablet
4G,Smartphone
5G,Smartphone
4G,Tablet
5G,Smartphone
3G,Smartphone
3G,IoT Device
3G,IoT Device
5G,Smartphone
5G,Tablet
3G,Smartphone
4G,Tablet
4G,Tablet
4G,Smartphone
5G,Smartphone
4G,Tablet
5G,Smartphone
4G,Tablet
3G,Smartphone
5G,Smartphone
3G,IoT Device
4G,Smartphone
4G,IoT Device
3G,Tablet
4G,Smartphone
4G,Smartphone
4G,Tablet
5G,Smartphone
3G,Smartphone
5G,Tablet
5G,Smartphone
4G,Smartphone
3G,Smartphone
4G,Smartphone
5G,Smartphone
3G,IoT Device
3G,Smartphone
4G,Smartphone
4G,Tablet
3G,IoT Device
5G,Smartphone
3G,Smartphone
3G,Smartphone
3G,Smartphone
3G,IoT Device
