IMSI,ip_diversity,device_hopping,location_variation,net_switching,subnet_diversity,is_anomaly,risk_score
0000152911,4,4,4,3,4,0,47.35
0009006325,2,2,2,2,2,0,16.59
0015944633,6,6,6,3,6,1,72.27
0017067949,4,4,4,3,4,0,47.35
0021912416,6,6,6,2,6,1,84.72
0023706093,4,4,4,3,4,0,47.35
0030897376,4,4,4,3,4,0,47.35
0032730324,6,6,6,3,6,1,72.27
0034568848,2,2,2,2,2,0,16.59
0036660200,2,2,2,2,2,0,16.59
0045358597,2,2,2,1,2,0,29.47
0046835241,2,2,2,2,2,0,16.59
0053782868,2,2,2,1,2,0,29.47
0058561547,2,2,2,1,2,0,29.47
0062305047,2,2,2,2,2,0,16.59
0065977414,2,2,2,2,2,0,16.59
0066890417,4,4,4,2,4,0,37.74
0072276835,2,2,2,2,2,0,16.59
0074614337,2,2,2,2,2,0,16.59
0075079752,2,2,2,1,2,0,29.47
0080570197,2,2,2,2,2,0,16.59
0088238469,4,4,4,2,4,0,37.74
0088943830,2,2,2,1,2,0,29.47
0096258857,2,2,2,2,2,0,16.59
0107867605,2,2,2,1,2,0,29.47
0107932265,2,2,2,1,2,0,29.47
0111566311,2,2,2,2,2,0,16.59
0124931645,2,2,2,2,2,0,16.59
0127712771,2,2,2,1,2,0,29.47
0127896951,2,2,2,1,2,0,29.47
0133989309,2,2,2,1,2,0,29.47
0144641972,2,2,2,2,2,0,16.59
0145700401,4,4,4,2,4,0,37.74
0147546926,2,2,2,1,2,0,29.47
0150343162,2,2,2,1,2,0,29.47
0155972056,2,2,2,1,2,0,29.47
0177491928,2,2,2,2,2,0,16.59
0180138052,2,2,2,2,2,0,16.59
0181444248,2,2,2,2,2,0,16.59
0181749731,2,2,2,1,2,0,29.47
0184766995,2,2,2,2,2,0,16.59
0203571343,2,2,2,1,2,0,29.47
0212886652,4,4,4,1,4,1,59.46
0213671603,4,4,4,3,4,0,47.35
0215234841,4,4,4,2,4,0,37.74
0218645982,2,2,2,2,2,0,16.59
0220976465,2,2,2,2,2,0,16.59
0222097550,2,2,2,2,2,0,16.59
0223569725,2,2,2,2,2,0,16.59
0227746903,2,2,2,2,2,0,16.59
0229308485,8,8,8,3,8,1,96.47
0230423338,2,2,2,1,2,0,29.47
0232852124,2,2,2,1,2,0,29.47
0237561904,6,6,6,3,6,1,72.27
0238728807,2,2,2,2,2,0,16.59
0241300788,2,2,2,2,2,0,16.59
0244407319,4,4,4,2,4,0,37.74
0252854613,2,2,2,1,2,0,29.47
0256342160,2,2,2,2,2,0,16.59
0268117758,2,2,2,2,2,0,16.59
0268717584,2,2,2,2,2,0,16.59
0284416169,2,2,2,1,2,0,29.47
0287447706,4,4,4,2,4,0,37.74
0290846684,2,2,2,2,2,0,16.59
0291209765,8,8,8,3,8,1,96.47
0300604519,2,2,2,2,2,0,16.59
0305641395,4,4,4,2,4,0,37.74
0305687094,4,4,4,2,4,0,37.74
0306442121,4,4,4,3,4,0,47.35
0308922906,2,2,2,1,2,0,29.47
0318672075,2,2,2,2,2,0,16.59
0326249864,2,2,2,2,2,0,16.59
0328267354,2,2,2,1,2,0,29.47
0336936834,2,2,2,2,2,0,16.59
0357431891,6,6,6,3,6,1,72.27
0362792463,2,2,2,2,2,0,16.59
0363235185,4,4,4,2,4,0,37.74
0369061550,6,6,6,3,6,1,72.27
0369711798,4,4,4,2,4,0,37.74
0371616088,2,2,2,2,2,0,16.59
0373600145,4,4,4,3,4,0,47.35
0376329403,6,6,6,3,6,1,72.27
0377107044,2,2,2,2,2,0,16.59
0378467970,2,2,2,1,2,0,29.47
0384531980,8,8,8,3,8,1,96.47
0386157423,4,4,4,3,4,0,47.35
0397524508,8,8,8,3,8,1,96.47
0398863653,4,4,4,2,4,0,37.74
0399529701,2,2,2,2,2,0,16.59
0411080026,2,2,2,1,2,0,29.47
0414326944,6,6,6,3,6,1,72.27
0414714088,2,2,2,2,2,0,16.59
0421163340,4,4,4,2,4,0,37.74
0423876809,2,2,2,2,2,0,16.59
0425284658,4,4,4,2,4,0,37.74
0428316723,2,2,2,1,2,0,29.47
0428973179,2,2,2,2,2,0,16.59
0443065772,4,4,4,2,4,0,37.74
0443197406,2,2,2,2,2,0,16.59
0453100259,4,4,4,3,4,0,47.35
0453282485,4,4,4,2,4,0,37.74
0455300173,2,2,2,2,2,0,16.59
0464197857,2,2,2,2,2,0,16.59
0464300724,2,2,2,1,2,0,29.47
0471180045,2,2,2,2,2,0,16.59
0481485396,2,2,2,1,2,0,29.47
0484437628,2,2,2,2,2,0,16.59
0487368269,2,2,2,2,2,0,16.59
0488789950,4,4,4,3,4,0,47.35
0506138782,4,4,4,2,4,0,37.74
0518237721,2,2,2,2,2,0,16.59
0521410707,2,2,2,1,2,0,29.47
0523045881,2,2,2,2,2,0,16.59
0524596090,2,2,2,2,2,0,16.59
0527034418,2,2,2,2,2,0,16.59
0528127358,2,2,2,2,2,0,16.59
0529792538,2,2,2,2,2,0,16.59
0534749230,2,2,2,2,2,0,16.59
0537092300,2,2,2,2,2,0,16.59
0537693287,2,2,2,2,2,0,16.59
0539543284,2,2,2,2,2,0,16.59
0543370736,2,2,2,1,2,0,29.47
0549147744,2,2,2,2,2,0,16.59
0550375016,2,2,2,2,2,0,16.59
0550774065,2,2,2,1,2,0,29.47
0557779174,2,2,2,1,2,0,29.47
0562926692,2,2,2,2,2,0,16.59
0568335556,2,2,2,1,2,0,29.47
0571178444,2,2,2,2,2,0,16.59
0572186453,2,2,2,1,2,0,29.47
0573019952,2,2,2,2,2,0,16.59
0573266305,2,2,2,2,2,0,16.59
0573689108,2,2,2,2,2,0,16.59
0577614069,4,4,4,3,4,0,47.35
0578462216,2,2,2,2,2,0,16.59
0581479605,4,4,4,1,4,1,59.46
0583334303,4,4,4,2,4,0,37.74
0592338925,2,2,2,2,2,0,16.59
0596310626,2,2,2,1,2,0,29.47
0597307778,2,2,2,1,2,0,29.47
0600308597,2,2,2,2,2,0,16.59
0616537305,2,2,2,1,2,0,29.47
0628922384,6,6,6,3,6,1,72.27
0632248155,2,2,2,2,2,0,16.59
0636229822,4,4,4,2,4,0,37.74
0638869847,2,2,2,2,2,0,16.59
0653323969,4,4,4,3,4,0,47.35
0653813789,2,2,2,2,2,0,16.59
0654885587,4,4,4,2,4,0,37.74
0664485678,2,2,2,2,2,0,16.59
0666029729,2,2,2,1,2,0,29.47
0671091796,2,2,2,2,2,0,16.59
0678367606,2,2,2,2,2,0,16.59
0680983831,2,2,2,1,2,0,29.47
0681441666,2,2,2,2,2,0,16.59
0682179764,4,4,4,3,4,0,47.35
0688439393,2,2,2,1,2,0,29.47
0691961276,4,4,4,3,4,0,47.35
0692804179,2,2,2,1,2,0,29.47
0696904528,4,4,4,3,4,0,47.35
0697899951,2,2,2,1,2,0,29.47
0699016272,2,2,2,2,2,0,16.59
0702608698,4,4,4,2,4,0,37.74
0708063139,4,4,4,2,4,0,37.74
0713204484,2,2,2,2,2,0,16.59
0722903494,2,2,2,2,2,0,16.59
0725797513,2,2,2,2,2,0,16.59
0728326842,4,4,4,2,4,0,37.74
0734603161,4,4,4,3,4,0,47.35
0739200258,8,8,8,3,8,1,96.47
0745254861,4,4,4,3,4,0,47.35
0748133533,2,2,2,1,2,0,29.47
0754542233,2,2,2,1,2,0,29.47
0756220863,6,6,6,2,6,1,84.72
0762054596,2,2,2,1,2,0,29.47
0768102480,2,2,2,2,2,0,16.59
0768205426,2,2,2,2,2,0,16.59
0783123315,2,2,2,2,2,0,16.59
0788312736,2,2,2,1,2,0,29.47
0794917906,2,2,2,1,2,0,29.47
0798767993,2,2,2,2,2,0,16.59
0814322987,2,2,2,1,2,0,29.47
0814635506,2,2,2,2,2,0,16.59
0822044843,2,2,2,2,2,0,16.59
0826786504,2,2,2,2,2,0,16.59
0827231843,2,2,2,2,2,0,16.59
0835889743,2,2,2,1,2,0,29.47
0839226303,2,2,2,2,2,0,16.59
0850749113,2,2,2,2,2,0,16.59
0851846689,2,2,2,2,2,0,16.59
0855172948,2,2,2,1,2,0,29.47
0874028993,2,2,2,1,2,0,29.47
0876014672,2,2,2,1,2,0,29.47
0886797447,2,2,2,2,2,0,16.59
0891229439,2,2,2,2,2,0,16.59
0900737949,4,4,4,2,4,0,37.74
0903134644,4,4,4,3,4,0,47.35
0904217762,2,2,2,2,2,0,16.59
0908599144,2,2,2,2,2,0,16.59
0910939111,4,4,4,2,4,0,37.74
0923195078,2,2,2,2,2,0,16.59
0928206678,2,2,2,2,2,0,16.59
0945975130,2,2,2,2,2,0,16.59
0952185868,4,4,4,3,4,0,47.35
0958348359,2,2,2,1,2,0,29.47
0961023726,4,4,4,3,4,0,47.35
0964966834,2,2,2,2,2,0,16.59
0965459254,4,4,4,2,4,0,37.74
0969253360,2,2,2,2,2,0,16.59
0981009443,4,4,4,3,4,0,47.35
0988986456,2,2,2,2,2,0,16.59
0992839863,2,2,2,2,2,0,16.59
0996833440,4,4,4,3,4,0,47.35
0998452761,2,2,2,2,2,0,16.59
1009004047,2,2,2,2,2,0,16.59
1037129387,2,2,2,2,2,0,16.59
1048114681,2,2,2,2,2,0,16.59
1051314692,2,2,2,2,2,0,16.59
1059931804,6,6,6,3,6,1,72.27
1061445299,2,2,2,2,2,0,16.59
1066646518,2,2,2,2,2,0,16.59
1071912943,2,2,2,2,2,0,16.59
1092268592,4,4,4,3,4,0,47.35
1093888295,2,2,2,1,2,0,29.47
1098983973,2,2,2,2,2,0,16.59
1107298502,4,4,4,2,4,0,37.74
1116282055,4,4,4,2,4,0,37.74
1124586154,2,2,2,2,2,0,16.59
1129109337,2,2,2,2,2,0,16.59
1138750931,4,4,4,3,4,0,47.35
1139043830,2,2,2,2,2,0,16.59
1142311547,2,2,2,2,2,0,16.59
1151116271,2,2,2,1,2,0,29.47
1152471871,2,2,2,2,2,0,16.59
1160256434,2,2,2,1,2,0,29.47
1160895897,2,2,2,2,2,0,16.59
1162801680,2,2,2,2,2,0,16.59
1166497248,4,4,4,3,4,0,47.35
1169769054,2,2,2,2,2,0,16.59
1175494495,2,2,2,2,2,0,16.59
1181216525,2,2,2,2,2,0,16.59
1182879146,10,10,10,3,10,1,99.71
1183284014,2,2,2,2,2,0,16.59
1184252786,2,2,2,2,2,0,16.59
1184264102,4,4,4,3,4,0,47.35
1207049611,2,2,2,1,2,0,29.47
1217099449,2,2,2,2,2,0,16.59
1222395480,2,2,2,1,2,0,29.47
1223414992,4,4,4,2,4,0,37.74
1225620836,6,6,6,3,6,1,72.27
1235631676,4,4,4,3,4,0,47.35
1251341252,2,2,2,2,2,0,16.59
1273421120,2,2,2,1,2,0,29.47
1276025082,6,6,6,3,6,1,72.27
1280024318,2,2,2,2,2,0,16.59
1280870341,2,2,2,2,2,0,16.59
1282408287,2,2,2,2,2,0,16.59
1288916940,6,6,6,2,6,1,84.72
1291164792,2,2,2,1,2,0,29.47
1292766372,2,2,2,1,2,0,29.47
1297557261,4,4,4,2,4,0,37.74
1300041321,4,4,4,3,4,0,47.35
1300105899,2,2,2,1,2,0,29.47
1306354853,4,4,4,2,4,0,37.74
1327235662,4,4,4,2,4,0,37.74
1328000195,4,4,4,3,4,0,47.35
1328515529,2,2,2,2,2,0,16.59
1330004295,2,2,2,2,2,0,16.59
1330442179,2,2,2,2,2,0,16.59
1332057371,2,2,2,2,2,0,16.59
1337049462,2,2,2,2,2,0,16.59
1345579990,2,2,2,2,2,0,16.59
1348202463,2,2,2,1,2,0,29.47
1359070671,2,2,2,1,2,0,29.47
1363249384,2,2,2,2,2,0,16.59
1363631797,4,4,4,2,4,0,37.74
1368841577,2,2,2,1,2,0,29.47
1369412641,2,2,2,2,2,0,16.59
1369572790,2,2,2,2,2,0,16.59
1369681645,4,4,4,3,4,0,47.35
1373129504,2,2,2,2,2,0,16.59
1373949125,2,2,2,2,2,0,16.59
1382496718,2,2,2,1,2,0,29.47
1386741714,2,2,2,2,2,0,16.59
1387592712,4,4,4,3,4,0,47.35
1388740223,4,4,4,3,4,0,47.35
1394884882,2,2,2,2,2,0,16.59
1411287452,2,2,2,2,2,0,16.59
1412007404,4,4,4,2,4,0,37.74
1421125340,2,2,2,2,2,0,16.59
1421582545,2,2,2,2,2,0,16.59
1421751887,2,2,2,2,2,0,16.59
1424696371,6,6,6,2,6,1,84.72
1429994814,2,2,2,1,2,0,29.47
1430276799,2,2,2,2,2,0,16.59
1432885899,2,2,2,2,2,0,16.59
1440004075,2,2,2,1,2,0,29.47
1451495149,4,4,4,3,4,0,47.35
1458683390,2,2,2,1,2,0,29.47
1466886583,4,4,4,3,4,0,47.35
1469509355,2,2,2,2,2,0,16.59
1470798632,2,2,2,1,2,0,29.47
1470823196,6,6,6,3,6,1,72.27
1483747558,2,2,2,1,2,0,29.47
1484601913,2,2,2,2,2,0,16.59
1488151446,4,4,4,2,4,0,37.74
1491696801,2,2,2,1,2,0,29.47
1497374605,2,2,2,2,2,0,16.59
1499970320,2,2,2,2,2,0,16.59
1518078442,2,2,2,2,2,0,16.59
1518178824,4,4,4,1,4,1,59.46
1525641650,2,2,2,2,2,0,16.59
1527311722,4,4,4,2,4,0,37.74
1535628724,2,2,2,2,2,0,16.59
1544799581,2,2,2,2,2,0,16.59
1551562499,2,2,2,2,2,0,16.59
1559637439,2,2,2,2,2,0,16.59
1566705330,4,4,4,3,4,0,47.35
1568731024,2,2,2,2,2,0,16.59
1571840908,2,2,2,2,2,0,16.59
1577615743,2,2,2,1,2,0,29.47
1579208236,2,2,2,2,2,0,16.59
1579970658,4,4,4,3,4,0,47.35
1583365974,2,2,2,2,2,0,16.59
1586734257,4,4,4,3,4,0,47.35
1593809627,2,2,2,2,2,0,16.59
1603849526,8,8,8,2,8,1,100.0
1608989921,2,2,2,2,2,0,16.59
1609706704,2,2,2,1,2,0,29.47
1612559046,2,2,2,1,2,0,29.47
1617990421,4,4,4,3,4,0,47.35
1622499982,2,2,2,2,2,0,16.59
1623252874,2,2,2,2,2,0,16.59
1624843889,2,2,2,2,2,0,16.59
1626750146,4,4,4,3,4,0,47.35
1627573320,2,2,2,1,2,0,29.47
1631603781,2,2,2,1,2,0,29.47
1638816878,4,4,4,2,4,0,37.74
1642301274,2,2,2,2,2,0,16.59
1643348170,2,2,2,2,2,0,16.59
1648668982,2,2,2,1,2,0,29.47
1671656709,4,4,4,2,4,0,37.74
1675011532,2,2,2,1,2,0,29.47
1677436048,4,4,4,3,4,0,47.35
1678112669,2,2,2,2,2,0,16.59
1678706763,2,2,2,2,2,0,16.59
1679177619,2,2,2,2,2,0,16.59
1684720206,10,10,10,3,10,1,99.71
1685071058,2,2,2,2,2,0,16.59
1686462252,2,2,2,2,2,0,16.59
1688017710,2,2,2,1,2,0,29.47
1696466802,4,4,4,3,4,0,47.35
1696892869,2,2,2,2,2,0,16.59
1698709126,2,2,2,2,2,0,16.59
1699347877,2,2,2,2,2,0,16.59
1703280325,2,2,2,2,2,0,16.59
1705075780,6,6,6,3,6,1,72.27
1719945740,2,2,2,2,2,0,16.59
1730639085,4,4,4,2,4,0,37.74
1742115219,2,2,2,2,2,0,16.59
1744441388,2,2,2,2,2,0,16.59
1748113176,4,4,4,3,4,0,47.35
1749195380,4,4,4,2,4,0,37.74
1750810535,4,4,4,3,4,0,47.35
1750961701,2,2,2,2,2,0,16.59
1756168095,2,2,2,2,2,0,16.59
1759317261,2,2,2,2,2,0,16.59
1763019115,2,2,2,2,2,0,16.59
1771159212,4,4,4,3,4,0,47.35
1775398724,2,2,2,2,2,0,16.59
1775941447,2,2,2,1,2,0,29.47
