Device_ID,Device_Type,LAI,RAI,Network_Type
D1000,Smartphone,240-01,240-01,3G
D1001,Smartphone,240-01,240-01,5G
D1002,IoT Device,240-01,240-01,4G
D1003,Tablet,240-01,240-01,5G
D1004,Tablet,240-01,240-01,4G
D1005,Tablet,240-01,240-01,4G
D1006,Tablet,240-01,240-01,5G
D1007,Smartphone,240-01,240-01,4G
D1008,Smartphone,240-01,240-01,5G
D1009,IoT Device,240-01,240-01,5G
D1010,Tablet,240-01,240-01,3G
D1011,Smartphone,240-01,240-01,3G
D1012,Tablet,240-01,240-01,3G
D1013,IoT Device,240-01,240-01,3G
D1014,Smartphone,240-01,240-01,5G
D1015,Smartphone,240-01,240-01,4G
D1016,Smartphone,240-01,240-01,5G
D1017,Tablet,240-01,240-01,5G
D1018,Tablet,240-01,240-01,4G
D1019,Smartphone,240-01,240-01,5G
D1020,Tablet,240-01,240-01,5G
D1021,Tablet,240-01,240-01,4G
D1022,Smartphone,240-01,240-01,4G
D1023,Smartphone,240-01,240-01,4G
D1024,Smartphone,240-01,240-01,5G
D1025,Tablet,240-01,240-01,3G
D1026,Tablet,240-01,240-01,4G
D1027,Smartphone,240-01,240-01,5G
D1028,IoT Device,240-01,240-01,3G
D1029,IoT Device,240-01,240-01,3G
D1030,IoT Device,240-01,240-01,3G
D1031,Smartphone,240-01,240-01,3G
D1032,Tablet,240-01,240-01,3G
D1033,Smartphone,240-01,240-01,3G
D1034,Tablet,240-01,240-01,4G
D1035,Smartphone,240-01,240-01,5G
D1036,Tablet,240-01,240-01,5G
D1037,Smartphone,240-01,240-01,4G
D1038,IoT Device,240-01,240-01,3G
D1039,IoT Device,240-01,240-01,3G
D1040,Smartphone,240-01,240-01,4G
D1041,Smartphone,240-01,240-01,5G
D1042,Tablet,240-01,240-01,4G
D1043,IoT Device,240-01,240-01,5G
D1044,IoT Device,240-01,240-01,5G
D1045,Tablet,240-01,240-01,5G
D1046,Smartphone,240-01,240-01,5G
D1047,Smartphone,240-01,240-01,4G
D1048,Smartphone,240-01,240-01,4G
D1049,Smartphone,240-01,240-01,5G
D1050,Smartphone,240-01,240-01,3G
D1051,IoT Device,240-01,240-01,5G
D1052,Tablet,240-01,240-01,5G
D1053,Smartphone,240-01,240-01,4G
D1054,Smartphone,240-01,240-01,3G
D1055,Tablet,240-01,240-01,5G
D1056,Smartphone,240-01,240-01,4G
D1057,IoT Device,240-01,240-01,5G
D1058,Tablet,240-01,240-01,3G
D1059,Tablet,240-01,240-01,3G
D1060,Smartphone,240-01,240-01,4G
D1061,Tablet,240-01,240-01,3G
D1062,Tablet,240-01,240-01,5G
D1063,IoT Device,240-01,240-01,5G
D1064,IoT Device,240-01,240-01,3G
D1065,IoT Device,240-01,240-01,5G
D1066,Tablet,240-01,240-01,4G
D1067,Tablet,240-01,240-01,5G
D1068,IoT Device,240-01,240-01,5G
D1069,Smartphone,240-01,240-01,4G
D1070,Tablet,240-01,240-01,4G
D1071,IoT Device,240-01,240-01,3G
D1072,Smartphone,240-01,240-01,5G
D1073,IoT Device,240-01,240-01,3G
D1074,IoT Device,240-01,240-01,4G
D1075,Tablet,240-01,240-01,5G
D1076,Smartphone,240-01,240-01,3G
D1077,Tablet,240-01,240-01,4G
D1078,Tablet,240-01,240-01,3G
D1079,Smartphone,240-01,240-01,5G
D1080,Tablet,240-01,240-01,4G
D1081,Smartphone,240-01,240-01,4G
D1082,IoT Device,240-01,240-01,3G
D1083,Tablet,240-01,240-01,4G
D1084,IoT Device,240-01,240-01,5G
D1085,IoT Device,240-01,240-01,3G
D1086,Smartphone,240-01,240-01,5G
D1087,IoT Device,240-01,240-01,3G
D1088,Smartphone,240-01,240-01,3G
D1089,Tablet,240-01,240-01,3G
D1090,Tablet,240-01,240-01,5G
D1091,IoT Device,240-01,240-01,5G
D1092,IoT Device,240-01,240-01,3G
D1093,Smartphone,240-01,240-01,3G
D1094,Tablet,240-01,240-01,5G
D1095,Tablet,240-01,240-01,5G
D1096,IoT Device,240-01,240-01,4G
D1097,Tablet,240-01,240-01,4G
D1098,IoT Device,240-01,240-01,4G
D1099,IoT Device,240-01,240-01,3G
D1100,Tablet,240-01,240-01,5G
D1101,Smartphone,240-01,240-01,4G
D1102,Smartphone,240-01,240-01,3G
D1103,Smartphone,240-01,240-01,5G
D1104,IoT Device,240-01,240-01,3G
D1105,Smartphone,240-01,240-01,3G
D1106,Tablet,240-01,240-01,5G
D1107,Tablet,240-01,240-01,4G
D1108,Smartphone,240-01,240-01,3G
D1109,Tablet,240-01,240-01,4G
D1110,Tablet,240-01,240-01,5G
D1111,Tablet,240-01,240-01,3G
D1112,IoT Device,240-01,240-01,3G
D1113,Smartphone,240-01,240-01,4G
D1114,Smartphone,240-01,240-01,4G
D1115,Tablet,240-01,240-01,4G
D1116,Smartphone,240-01,240-01,4G
D1117,Tablet,240-01,240-01,4G
D1118,Tablet,240-01,240-01,3G
D1119,IoT Device,240-01,240-01,5G
D1120,Smartphone,240-01,240-01,5G
D1121,Smartphone,240-01,240-01,3G
D1122,Tablet,240-01,240-01,3G
D1123,Smartphone,240-01,240-01,3G
D1124,Smartphone,240-01,240-01,4G
D1125,IoT Device,240-01,240-01,4G
D1126,IoT Device,240-01,240-01,4G
D1127,Tablet,240-01,240-01,5G
D1128,Tablet,240-01,240-01,4G
D1129,Smartphone,240-01,240-01,3G
D1130,Smartphone,240-01,240-01,3G
D1131,Smartphone,240-01,240-01,5G
D1132,Smartphone,240-01,240-01,5G
D1133,Tablet,240-01,240-01,4G
D1134,Smartphone,240-01,240-01,3G
D1135,IoT Device,240-01,240-01,5G
D1136,Tablet,240-01,240-01,5G
D1137,Tablet,240-01,240-01,4G
D1138,Tablet,240-01,240-01,5G
D1139,IoT Device,240-01,240-01,3G
D1140,IoT Device,240-01,240-01,5G
D1141,Tablet,240-01,240-01,4G
D1142,Smartphone,240-01,240-01,3G
D1143,IoT Device,240-01,240-01,3G
D1144,Smartphone,240-01,240-01,3G
D1145,Smartphone,240-01,240-01,3G
D1146,Smartphone,240-01,240-01,4G
D1147,Smartphone,240-01,240-01,4G
D1148,Smartphone,240-01,240-01,3G
D1149,Smartphone,240-01,240-01,4G
D1150,Tablet,240-01,240-01,3G
D1151,Tablet,240-01,240-01,5G
D1152,Smartphone,240-01,240-01,5G
D1153,IoT Device,240-01,240-01,3G
D1154,Smartphone,240-01,240-01,4G
D1155,Smartphone,240-01,240-01,4G
D1156,IoT Device,240-01,240-01,3G
D1157,Smartphone,240-01,240-01,3G
D1158,Smartphone,240-01,240-01,5G
D1159,Smartphone,240-01,240-01,3G
D1160,IoT Device,240-01,240-01,3G
D1161,Tablet,240-01,240-01,3G
D1162,Smartphone,240-01,240-01,5G
D1163,Smartphone,240-01,240-01,5G
D1164,IoT Device,240-01,240-01,4G
D1165,Tablet,240-01,240-01,3G
D1166,Smartphone,240-01,240-01,4G
D1167,Smartphone,240-01,240-01,4G
D1168,Tablet,240-01,240-01,4G
D1169,Smartphone,240-01,240-01,3G
D1170,IoT Device,240-01,240-01,3G
D1171,IoT Device,240-01,240-01,4G
D1172,Tablet,240-01,240-01,5G
D1173,Tablet,240-01,240-01,3G
D1174,Tablet,240-01,240-01,3G
D1175,Smartphone,240-01,240-01,3G
D1176,Tablet,240-01,240-01,3G
D1177,Tablet,240-01,240-01,3G
D1178,Smartphone,240-01,240-01,4G
D1179,IoT Device,240-01,240-01,3G
D1180,IoT Device,240-01,240-01,5G
D1181,Tablet,240-01,240-01,3G
D1182,IoT Device,240-01,240-01,5G
D1183,Smartphone,240-01,240-01,3G
D1184,Smartphone,240-01,240-01,3G
D1185,Tablet,240-01,240-01,3G
D1186,IoT Device,240-01,240-01,3G
D1187,Tablet,240-01,240-01,3G
D1188,IoT Device,240-01,240-01,4G
D1189,IoT Device,240-01,240-01,3G
D1190,Tablet,240-01,240-01,4G
D1191,Smartphone,240-01,240-01,5G
D1192,Tablet,240-01,240-01,5G
D1193,Tablet,240-01,240-01,5G
D1194,Tablet,240-01,240-01,4G
D1195,Tablet,240-01,240-01,3G
D1196,Tablet,240-01,240-01,4G
D1197,IoT Device,240-01,240-01,5G
D1198,Smartphone,240-01,240-01,4G
D1199,Tablet,240-01,240-01,4G
D1200,Tablet,240-01,240-01,3G
D1201,IoT Device,240-01,240-01,5G
D1202,Tablet,240-01,240-01,4G
D1203,IoT Device,240-01,240-01,4G
D1204,Smartphone,240-01,240-01,5G
D1205,IoT Device,240-01,240-01,4G
D1206,IoT Device,240-01,240-01,3G
D1207,Tablet,240-01,240-01,4G
D1208,Tablet,240-01,240-01,3G
D1209,Tablet,240-01,240-01,3G
D1210,IoT Device,240-01,240-01,5G
D1211,Tablet,240-01,240-01,3G
D1212,Smartphone,240-01,240-01,4G
D1213,Smartphone,240-01,240-01,3G
D1214,Tablet,240-01,240-01,5G
D1215,IoT Device,240-01,240-01,3G
D1216,Tablet,240-01,240-01,4G
D1217,Tablet,240-01,240-01,4G
D1218,IoT Device,240-01,240-01,3G
D1219,IoT Device,240-01,240-01,5G
D1220,Smartphone,240-01,240-01,3G
D1221,Smartphone,240-01,240-01,5G
D1222,IoT Device,240-01,240-01,3G
D1223,Tablet,240-01,240-01,5G
D1224,Smartphone,240-01,240-01,3G
D1225,Smartphone,240-01,240-01,3G
D1226,Tablet,240-01,240-01,4G
D1227,Tablet,240-01,240-01,3G
D1228,Smartphone,240-01,240-01,3G
D1229,IoT Device,240-01,240-01,5G
D1230,Tablet,240-01,240-01,5G
D1231,Tablet,240-01,240-01,5G
D1232,IoT Device,240-01,240-01,5G
D1233,IoT Device,240-01,240-01,5G
D1234,Tablet,240-01,240-01,5G
D1235,IoT Device,240-01,240-01,3G
D1236,Smartphone,240-01,240-01,5G
D1237,Tablet,240-01,240-01,3G
D1238,Tablet,240-01,240-01,5G
D1239,IoT Device,240-01,240-01,4G
D1240,Tablet,240-01,240-01,4G
D1241,Smartphone,240-01,240-01,3G
D1242,IoT Device,240-01,240-01,3G
D1243,Smartphone,240-01,240-01,3G
D1244,Tablet,240-01,240-01,5G
D1245,Smartphone,240-01,240-01,3G
D1246,IoT Device,240-01,240-01,3G
D1247,IoT Device,240-01,240-01,4G
D1248,IoT Device,240-01,240-01,3G
D1249,Smartphone,240-01,240-01,3G
D1250,Tablet,240-01,240-01,3G
D1251,IoT Device,240-01,240-01,4G
D1252,Smartphone,240-01,240-01,4G
D1253,Smartphone,240-01,240-01,3G
D1254,Tablet,240-01,240-01,3G
D1255,Tablet,240-01,240-01,4G
D1256,Smartphone,240-01,240-01,5G
D1257,IoT Device,240-01,240-01,4G
D1258,IoT Device,240-01,240-01,3G
D1259,Smartphone,240-01,240-01,5G
D1260,IoT Device,240-01,240-01,5G
D1261,Smartphone,240-01,240-01,3G
D1262,IoT Device,240-01,240-01,3G
D1263,Tablet,240-01,240-01,4G
D1264,IoT Device,240-01,240-01,5G
D1265,Smartphone,240-01,240-01,3G
D1266,Tablet,240-01,240-01,4G
D1267,Smartphone,240-01,240-01,4G
D1268,Tablet,240-01,240-01,5G
D1269,Smartphone,240-01,240-01,3G
D1270,Tablet,240-01,240-01,3G
D1271,Smartphone,240-01,240-01,5G
D1272,Tablet,240-01,240-01,4G
D1273,Tablet,240-01,240-01,3G
D1274,IoT Device,240-01,240-01,3G
D1275,IoT Device,240-01,240-01,5G
D1276,Tablet,240-01,240-01,4G
D1277,IoT Device,240-01,240-01,4G
D1278,Smartphone,240-01,240-01,5G
D1279,IoT Device,240-01,240-01,3G
D1280,IoT Device,240-01,240-01,3G
D1281,IoT Device,240-01,240-01,3G
D1282,Smartphone,240-01,240-01,4G
D1283,Smartphone,240-01,240-01,4G
D1284,Smartphone,240-01,240-01,5G
D1285,Smartphone,240-01,240-01,5G
D1286,Tablet,240-01,240-01,3G
D1287,IoT Device,240-01,240-01,5G
D1288,IoT Device,240-01,240-01,5G
D1289,Tablet,240-01,240-01,4G
D1290,Tablet,240-01,240-01,4G
D1291,IoT Device,240-01,240-01,3G
D1292,Smartphone,240-01,240-01,3G
D1293,Tablet,240-01,240-01,5G
D1294,Tablet,240-01,240-01,5G
D1295,Smartphone,240-01,240-01,3G
D1296,Tablet,240-01,240-01,5G
D1297,IoT Device,240-01,240-01,5G
D1298,Smartphone,240-01,240-01,3G
D1299,Smartphone,240-01,240-01,3G
D1300,Smartphone,240-01,240-01,3G
D1301,Tablet,240-01,240-01,4G
D1302,Smartphone,240-01,240-01,3G
D1303,Smartphone,240-01,240-01,3G
D1304,Smartphone,240-01,240-01,3G
D1305,IoT Device,240-01,240-01,5G
D1306,Smartphone,240-01,240-01,5G
D1307,Tablet,240-01,240-01,4G
D1308,IoT Device,240-01,240-01,4G
D1309,IoT Device,240-01,240-01,3G
D1310,Smartphone,240-01,240-01,3G
D1311,Tablet,240-01,240-01,4G
D1312,IoT Device,240-01,240-01,5G
