MCC,MNC,PLMN,LAI,RAI,Network_Type
240,92,240,240,240,4G
240,51,240,240,240,3G
240,79,240,240,240,3G
240,30,240,240,240,4G
240,80,240,240,240,4G
240,27,240,240,240,4G
240,9,240,240,240,4G
240,63,240,240,240,3G
240,97,240,240,240,5G
240,98,240,240,240,4G
240,23,240,240,240,5G
240,58,240,240,240,3G
240,22,240,240,240,4G
240,65,240,240,240,4G
240,88,240,240,240,4G
240,79,240,240,240,4G
240,53,240,240,240,4G
240,88,240,240,240,4G
240,6,240,240,240,5G
240,94,240,240,240,5G
240,85,240,240,240,3G
240,21,240,240,240,4G
240,66,240,240,240,5G
240,1,240,240,240,4G
240,89,240,240,240,3G
240,44,240,240,240,5G
240,9,240,240,240,4G
240,65,240,240,240,5G
240,82,240,240,240,3G
240,46,240,240,240,5G
240,60,240,240,240,3G
240,58,240,240,240,5G
240,5,240,240,240,3G
240,95,240,240,240,5G
240,1,240,240,240,4G
240,38,240,240,240,5G
240,49,240,240,240,3G
240,43,240,240,240,3G
240,80,240,240,240,3G
240,73,240,240,240,4G
240,28,240,240,240,5G
240,39,240,240,240,4G
240,22,240,240,240,4G
240,21,240,240,240,3G
240,75,240,240,240,3G
240,11,240,240,240,3G
240,3,240,240,240,3G
240,71,240,240,240,3G
240,7,240,240,240,4G
240,49,240,240,240,5G
240,13,240,240,240,5G
240,11,240,240,240,4G
240,15,240,240,240,4G
240,27,240,240,240,3G
240,17,240,240,240,4G
240,11,240,240,240,4G
240,28,240,240,240,3G
240,31,240,240,240,5G
240,92,240,240,240,4G
240,77,240,240,240,3G
240,58,240,240,240,3G
240,45,240,240,240,4G
240,36,240,240,240,5G
240,91,240,240,240,4G
240,89,240,240,240,5G
240,39,240,240,240,4G
240,11,240,240,240,5G
240,75,240,240,240,4G
240,45,240,240,240,3G
240,2,240,240,240,4G
240,39,240,240,240,5G
240,6,240,240,240,4G
240,54,240,240,240,5G
240,94,240,240,240,4G
240,85,240,240,240,5G
240,45,240,240,240,3G
240,32,240,240,240,5G
240,57,240,240,240,4G
240,6,240,240,240,3G
240,36,240,240,240,4G
240,22,240,240,240,5G
240,92,240,240,240,5G
240,22,240,240,240,4G
240,11,240,240,240,4G
240,37,240,240,240,5G
240,5,240,240,240,4G
240,43,240,240,240,3G
240,74,240,240,240,3G
240,92,240,240,240,5G
240,71,240,240,240,5G
240,7,240,240,240,4G
240,76,240,240,240,3G
240,80,240,240,240,5G
240,87,240,240,240,3G
240,77,240,240,240,4G
240,66,240,240,240,4G
240,80,240,240,240,5G
240,21,240,240,240,4G
240,68,240,240,240,3G
240,12,240,240,240,5G
240,80,240,240,240,3G
240,7,240,240,240,5G
240,6,240,240,240,5G
240,67,240,240,240,5G
240,88,240,240,240,4G
240,21,240,240,240,4G
240,44,240,240,240,3G
240,95,240,240,240,5G
240,69,240,240,240,5G
240,66,240,240,240,5G
240,41,240,240,240,4G
240,78,240,240,240,3G
240,7,240,240,240,4G
240,68,240,240,240,5G
240,35,240,240,240,4G
240,95,240,240,240,4G
240,57,240,240,240,3G
240,88,240,240,240,3G
240,97,240,240,240,3G
240,39,240,240,240,5G
240,6,240,240,240,4G
240,44,240,240,240,3G
