MCC,MNC,PLMN,LAI,RAI,Network_Type
240,92,24092,240-92,240-92,4G
240,51,24051,240-51,240-51,3G
240,79,24079,240-79,240-79,3G
240,30,24030,240-30,240-30,4G
240,80,24080,240-80,240-80,4G
240,27,24027,240-27,240-27,4G
240,9,24009,240-09,240-09,4G
240,63,24063,240-63,240-63,3G
240,97,24097,240-97,240-97,5G
240,98,24098,240-98,240-98,4G
240,23,24023,240-23,240-23,5G
240,58,24058,240-58,240-58,3G
240,22,24022,240-22,240-22,4G
240,65,24065,240-65,240-65,4G
240,88,24088,240-88,240-88,4G
240,79,24079,240-79,240-79,4G
240,53,24053,240-53,240-53,4G
240,88,24088,240-88,240-88,4G
240,6,24006,240-06,240-06,5G
240,94,24094,240-94,240-94,5G
240,85,24085,240-85,240-85,3G
240,21,24021,240-21,240-21,4G
240,66,24066,240-66,240-66,5G
240,1,24001,240-01,240-01,4G
240,89,24089,240-89,240-89,3G
240,44,24044,240-44,240-44,5G
240,9,24009,240-09,240-09,4G
240,65,24065,240-65,240-65,5G
240,82,24082,240-82,240-82,3G
240,46,24046,240-46,240-46,5G
240,60,24060,240-60,240-60,3G
240,58,24058,240-58,240-58,5G
240,5,24005,240-05,240-05,3G
240,95,24095,240-95,240-95,5G
240,1,24001,240-01,240-01,4G
240,38,24038,240-38,240-38,5G
240,49,24049,240-49,240-49,3G
240,43,24043,240-43,240-43,3G
240,80,24080,240-80,240-80,3G
240,73,24073,240-73,240-73,4G
240,28,24028,240-28,240-28,5G
240,39,24039,240-39,240-39,4G
240,22,24022,240-22,240-22,4G
240,21,24021,240-21,240-21,3G
240,75,24075,240-75,240-75,3G
240,11,24011,240-11,240-11,3G
240,3,24003,240-03,240-03,3G
240,71,24071,240-71,240-71,3G
240,7,24007,240-07,240-07,4G
240,49,24049,240-49,240-49,5G
240,13,24013,240-13,240-13,5G
240,11,24011,240-11,240-11,4G
240,15,24015,240-15,240-15,4G
240,27,24027,240-27,240-27,3G
240,17,24017,240-17,240-17,4G
240,11,24011,240-11,240-11,4G
240,28,24028,240-28,240-28,3G
240,31,24031,240-31,240-31,5G
240,92,24092,240-92,240-92,4G
240,77,24077,240-77,240-77,3G
240,58,24058,240-58,240-58,3G
240,45,24045,240-45,240-45,4G
240,36,24036,240-36,240-36,5G
240,91,24091,240-91,240-91,4G
240,89,24089,240-89,240-89,5G
240,39,24039,240-39,240-39,4G
240,11,24011,240-11,240-11,5G
240,75,24075,240-75,240-75,4G
240,45,24045,240-45,240-45,3G
240,2,24002,240-02,240-02,4G
240,39,24039,240-39,240-39,5G
240,6,24006,240-06,240-06,4G
240,54,24054,240-54,240-54,5G
240,94,24094,240-94,240-94,4G
240,85,24085,240-85,240-85,5G
240,45,24045,240-45,240-45,3G
240,32,24032,240-32,240-32,5G
240,57,24057,240-57,240-57,4G
240,6,24006,240-06,240-06,3G
240,36,24036,240-36,240-36,4G
240,22,24022,240-22,240-22,5G
240,92,24092,240-92,240-92,5G
240,22,24022,240-22,240-22,4G
240,11,24011,240-11,240-11,4G
240,37,24037,240-37,240-37,5G
240,5,24005,240-05,240-05,4G
240,43,24043,240-43,240-43,3G
240,74,24074,240-74,240-74,3G
240,92,24092,240-92,240-92,5G
240,71,24071,240-71,240-71,5G
240,7,24007,240-07,240-07,4G
240,76,24076,240-76,240-76,3G
240,80,24080,240-80,240-80,5G
240,87,24087,240-87,240-87,3G
240,77,24077,240-77,240-77,4G
240,66,24066,240-66,240-66,4G
240,80,24080,240-80,240-80,5G
240,21,24021,240-21,240-21,4G
240,68,24068,240-68,240-68,3G
240,12,24012,240-12,240-12,5G
240,80,24080,240-80,240-80,3G
240,7,24007,240-07,240-07,5G
240,6,24006,240-06,240-06,5G
240,67,24067,240-67,240-67,5G
240,88,24088,240-88,240-88,4G
240,21,24021,240-21,240-21,4G
240,44,24044,240-44,240-44,3G
240,95,24095,240-95,240-95,5G
240,69,24069,240-69,240-69,5G
240,66,24066,240-66,240-66,5G
240,41,24041,240-41,240-41,4G
240,78,24078,240-78,240-78,3G
240,7,24007,240-07,240-07,4G
240,68,24068,240-68,240-68,5G
240,35,24035,240-35,240-35,4G
240,95,24095,240-95,240-95,4G
240,57,24057,240-57,240-57,3G
240,88,24088,240-88,240-88,3G
240,97,24097,240-97,240-97,3G
240,39,24039,240-39,240-39,5G
240,6,24006,240-06,240-06,4G
240,44,24044,240-44,240-44,3G
240,76,24076,240-76,240-76,3G
240,53,24053,240-53,240-53,5G
240,12,24012,240-12,240-12,3G
240,40,24040,240-40,240-40,4G
240,18,24018,240-18,240-18,5G
240,25,24025,240-25,240-25,4G
240,32,24032,240-32,240-32,4G
240,77,24077,240-77,240-77,4G
240,7,24007,240-07,240-07,4G
240,84,24084,240-84,240-84,4G
240,74,24074,240-74,240-74,3G
240,65,24065,240-65,240-65,5G
240,35,24035,240-35,240-35,3G
240,39,24039,240-39,240-39,3G
240,51,24051,240-51,240-51,5G
240,63,24063,240-63,240-63,3G
240,8,24008,240-08,240-08,4G
240,84,24084,240-84,240-84,3G
240,32,24032,240-32,240-32,3G
240,82,24082,240-82,240-82,3G
240,34,24034,240-34,240-34,5G
240,51,24051,240-51,240-51,3G
240,69,24069,240-69,240-69,3G
240,14,24014,240-14,240-14,5G
240,91,24091,240-91,240-91,4G
240,56,24056,240-56,240-56,4G
240,2,24002,240-02,240-02,3G
240,45,24045,240-45,240-45,5G
240,59,24059,240-59,240-59,5G
240,6,24006,240-06,240-06,5G
240,88,24088,240-88,240-88,5G
240,26,24026,240-26,240-26,5G
240,80,24080,240-80,240-80,3G
240,50,24050,240-50,240-50,5G
240,11,24011,240-11,240-11,3G
240,2,24002,240-02,240-02,4G
240,90,24090,240-90,240-90,4G
240,66,24066,240-66,240-66,4G
240,29,24029,240-29,240-29,5G
240,63,24063,240-63,240-63,4G
240,31,24031,240-31,240-31,3G
240,17,24017,240-17,240-17,4G
240,56,24056,240-56,240-56,3G
240,23,24023,240-23,240-23,4G
240,22,24022,240-22,240-22,4G
240,23,24023,240-23,240-23,4G
240,90,24090,240-90,240-90,3G
240,82,24082,240-82,240-82,5G
240,27,24027,240-27,240-27,4G
240,59,24059,240-59,240-59,5G
240,37,24037,240-37,240-37,5G
240,32,24032,240-32,240-32,4G
240,41,24041,240-41,240-41,4G
240,35,24035,240-35,240-35,4G
240,47,24047,240-47,240-47,4G
240,82,24082,240-82,240-82,4G
240,52,24052,240-52,240-52,4G
240,62,24062,240-62,240-62,3G
240,59,24059,240-59,240-59,5G
240,48,24048,240-48,240-48,5G
240,38,24038,240-38,240-38,3G
240,22,24022,240-22,240-22,4G
240,77,24077,240-77,240-77,4G
240,48,24048,240-48,240-48,5G
240,20,24020,240-20,240-20,3G
240,25,24025,240-25,240-25,3G
240,63,24063,240-63,240-63,5G
240,37,24037,240-37,240-37,4G
240,10,24010,240-10,240-10,4G
240,36,24036,240-36,240-36,4G
240,16,24016,240-16,240-16,3G
240,25,24025,240-25,240-25,4G
240,64,24064,240-64,240-64,4G
240,44,24044,240-44,240-44,5G
240,73,24073,240-73,240-73,4G
240,60,24060,240-60,240-60,5G
240,38,24038,240-38,240-38,3G
240,30,24030,240-30,240-30,4G
240,3,24003,240-03,240-03,3G
240,20,24020,240-20,240-20,4G
240,12,24012,240-12,240-12,5G
240,2,24002,240-02,240-02,3G
240,58,24058,240-58,240-58,5G
240,54,24054,240-54,240-54,4G
240,2,24002,240-02,240-02,4G
240,40,24040,240-40,240-40,4G
240,73,24073,240-73,240-73,5G
240,50,24050,240-50,240-50,3G
240,15,24015,240-15,240-15,3G
240,26,24026,240-26,240-26,4G
240,84,24084,240-84,240-84,5G
240,82,24082,240-82,240-82,5G
240,14,24014,240-14,240-14,5G
240,16,24016,240-16,240-16,4G
240,62,24062,240-62,240-62,4G
240,61,24061,240-61,240-61,4G
240,46,24046,240-46,240-46,3G
240,88,24088,240-88,240-88,4G
240,83,24083,240-83,240-83,3G
240,11,24011,240-11,240-11,5G
240,28,24028,240-28,240-28,5G
240,59,24059,240-59,240-59,5G
240,15,24015,240-15,240-15,4G
240,15,24015,240-15,240-15,4G
240,66,24066,240-66,240-66,5G
240,21,24021,240-21,240-21,4G
240,40,24040,240-40,240-40,5G
240,12,24012,240-12,240-12,4G
240,73,24073,240-73,240-73,3G
240,60,24060,240-60,240-60,4G
240,13,24013,240-13,240-13,3G
240,16,24016,240-16,240-16,4G
240,25,24025,240-25,240-25,4G
240,62,24062,240-62,240-62,3G
240,76,24076,240-76,240-76,4G
240,17,24017,240-17,240-17,4G
240,59,24059,240-59,240-59,4G
240,47,24047,240-47,240-47,4G
240,5,24005,240-05,240-05,5G
240,77,24077,240-77,240-77,5G
240,69,24069,240-69,240-69,3G
240,49,24049,240-49,240-49,3G
240,26,24026,240-26,240-26,4G
240,20,24020,240-20,240-20,4G
240,15,24015,240-15,240-15,5G
240,22,24022,240-22,240-22,4G
240,79,24079,240-79,240-79,4G
240,7,24007,240-07,240-07,3G
240,77,24077,240-77,240-77,4G
240,69,24069,240-69,240-69,5G
240,86,24086,240-86,240-86,5G
240,95,24095,240-95,240-95,3G
240,9,24009,240-09,240-09,4G
240,1,24001,240-01,240-01,4G
240,50,24050,240-50,240-50,4G
240,71,24071,240-71,240-71,5G
240,85,24085,240-85,240-85,5G
240,74,24074,240-74,240-74,3G
240,13,24013,240-13,240-13,5G
240,10,24010,240-10,240-10,3G
240,71,24071,240-71,240-71,5G
240,9,24009,240-09,240-09,3G
240,77,24077,240-77,240-77,4G
240,17,24017,240-17,240-17,5G
240,14,24014,240-14,240-14,5G
240,84,24084,240-84,240-84,3G
240,43,24043,240-43,240-43,5G
240,65,24065,240-65,240-65,5G
240,9,24009,240-09,240-09,3G
240,46,24046,240-46,240-46,5G
240,18,24018,240-18,240-18,3G
240,27,24027,240-27,240-27,3G
240,67,24067,240-67,240-67,5G
240,41,24041,240-41,240-41,4G
240,14,24014,240-14,240-14,5G
240,67,24067,240-67,240-67,3G
240,28,24028,240-28,240-28,5G
240,77,24077,240-77,240-77,4G
240,67,24067,240-67,240-67,3G
240,66,24066,240-66,240-66,5G
240,25,24025,240-25,240-25,4G
240,34,24034,240-34,240-34,4G
240,42,24042,240-42,240-42,3G
240,66,24066,240-66,240-66,4G
240,41,24041,240-41,240-41,5G
240,85,24085,240-85,240-85,4G
240,45,24045,240-45,240-45,4G
240,49,24049,240-49,240-49,4G
240,88,24088,240-88,240-88,5G
240,68,24068,240-68,240-68,4G
240,10,24010,240-10,240-10,4G
240,49,24049,240-49,240-49,5G
240,61,24061,240-61,240-61,5G
240,13,24013,240-13,240-13,3G
240,37,24037,240-37,240-37,3G
240,67,24067,240-67,240-67,3G
240,45,24045,240-45,240-45,5G
240,77,24077,240-77,240-77,4G
240,8,24008,240-08,240-08,5G
240,35,24035,240-35,240-35,5G
240,85,24085,240-85,240-85,5G
240,40,24040,240-40,240-40,3G
240,36,24036,240-36,240-36,3G
240,75,24075,240-75,240-75,5G
240,70,24070,240-70,240-70,4G
240,52,24052,240-52,240-52,5G
240,75,24075,240-75,240-75,5G
240,77,24077,240-77,240-77,5G
240,70,24070,240-70,240-70,3G
240,93,24093,240-93,240-93,5G
240,41,24041,240-41,240-41,3G
240,47,24047,240-47,240-47,5G
240,38,24038,240-38,240-38,3G
240,41,24041,240-41,240-41,3G
240,98,24098,240-98,240-98,5G
240,84,24084,240-84,240-84,4G
240,86,24086,240-86,240-86,4G
240,5,24005,240-05,240-05,3G
240,37,24037,240-37,240-37,4G
240,14,24014,240-14,240-14,5G
240,90,24090,240-90,240-90,3G
240,60,24060,240-60,240-60,3G
240,77,24077,240-77,240-77,5G
240,13,24013,240-13,240-13,5G
240,47,24047,240-47,240-47,3G
240,44,24044,240-44,240-44,5G
240,24,24024,240-24,240-24,4G
240,18,24018,240-18,240-18,4G
240,72,24072,240-72,240-72,4G
240,74,24074,240-74,240-74,4G
240,81,24081,240-81,240-81,3G
240,67,24067,240-67,240-67,5G
240,95,24095,240-95,240-95,4G
240,80,24080,240-80,240-80,4G
240,45,24045,240-45,240-45,4G
240,23,24023,240-23,240-23,5G
240,45,24045,240-45,240-45,4G
240,41,24041,240-41,240-41,3G
240,70,24070,240-70,240-70,4G
240,66,24066,240-66,240-66,4G
240,53,24053,240-53,240-53,4G
240,35,24035,240-35,240-35,3G
240,33,24033,240-33,240-33,4G
240,12,24012,240-12,240-12,5G
240,99,24099,240-99,240-99,3G
240,3,24003,240-03,240-03,5G
240,93,24093,240-93,240-93,3G
240,18,24018,240-18,240-18,5G
240,51,24051,240-51,240-51,5G
240,63,24063,240-63,240-63,5G
240,79,24079,240-79,240-79,4G
240,33,24033,240-33,240-33,3G
240,70,24070,240-70,240-70,5G
240,68,24068,240-68,240-68,4G
240,95,24095,240-95,240-95,3G
240,27,24027,240-27,240-27,3G
240,48,24048,240-48,240-48,5G
240,82,24082,240-82,240-82,4G
240,19,24019,240-19,240-19,4G
240,79,24079,240-79,240-79,5G
240,54,24054,240-54,240-54,3G
240,35,24035,240-35,240-35,4G
240,42,24042,240-42,240-42,3G
240,71,24071,240-71,240-71,4G
240,33,24033,240-33,240-33,5G
240,99,24099,240-99,240-99,4G
240,9,24009,240-09,240-09,5G
240,24,24024,240-24,240-24,4G
240,23,24023,240-23,240-23,3G
240,12,24012,240-12,240-12,3G
240,93,24093,240-93,240-93,3G
240,95,24095,240-95,240-95,5G
240,71,24071,240-71,240-71,5G
240,83,24083,240-83,240-83,5G
240,3,24003,240-03,240-03,5G
240,13,24013,240-13,240-13,5G
240,17,24017,240-17,240-17,4G
240,45,24045,240-45,240-45,4G
240,82,24082,240-82,240-82,5G
240,19,24019,240-19,240-19,4G
240,70,24070,240-70,240-70,5G
240,19,24019,240-19,240-19,4G
240,1,24001,240-01,240-01,4G
240,45,24045,240-45,240-45,5G
240,34,24034,240-34,240-34,3G
240,91,24091,240-91,240-91,3G
240,82,24082,240-82,240-82,5G
240,41,24041,240-41,240-41,3G
240,70,24070,240-70,240-70,4G
240,93,24093,240-93,240-93,4G
240,69,24069,240-69,240-69,3G
240,4,24004,240-04,240-04,4G
240,95,24095,240-95,240-95,3G
240,69,24069,240-69,240-69,3G
240,14,24014,240-14,240-14,4G
240,39,24039,240-39,240-39,3G
240,53,24053,240-53,240-53,3G
240,69,24069,240-69,240-69,5G
240,99,24099,240-99,240-99,5G
240,74,24074,240-74,240-74,5G
240,99,24099,240-99,240-99,5G
240,13,24013,240-13,240-13,4G
240,75,24075,240-75,240-75,4G
240,19,24019,240-19,240-19,5G
240,34,24034,240-34,240-34,4G
240,40,24040,240-40,240-40,3G
240,19,24019,240-19,240-19,5G
240,84,24084,240-84,240-84,4G
240,88,24088,240-88,240-88,4G
240,94,24094,240-94,240-94,3G
240,86,24086,240-86,240-86,3G
240,9,24009,240-09,240-09,3G
240,95,24095,240-95,240-95,4G
240,33,24033,240-33,240-33,5G
240,47,24047,240-47,240-47,3G
240,39,24039,240-39,240-39,5G
240,74,24074,240-74,240-74,5G
240,84,24084,240-84,240-84,4G
240,19,24019,240-19,240-19,5G
240,29,24029,240-29,240-29,5G
240,70,24070,240-70,240-70,3G
240,48,24048,240-48,240-48,4G
240,33,24033,240-33,240-33,5G
240,60,24060,240-60,240-60,3G
240,38,24038,240-38,240-38,5G
240,18,24018,240-18,240-18,3G
240,44,24044,240-44,240-44,4G
240,62,24062,240-62,240-62,5G
240,5,24005,240-05,240-05,4G
240,17,24017,240-17,240-17,4G
240,87,24087,240-87,240-87,5G
240,44,24044,240-44,240-44,3G
240,46,24046,240-46,240-46,5G
240,2,24002,240-02,240-02,4G
240,82,24082,240-82,240-82,3G
240,86,24086,240-86,240-86,4G
240,75,24075,240-75,240-75,4G
240,5,24005,240-05,240-05,3G
240,66,24066,240-66,240-66,4G
240,92,24092,240-92,240-92,3G
240,5,24005,240-05,240-05,3G
240,16,24016,240-16,240-16,3G
240,59,24059,240-59,240-59,3G
240,17,24017,240-17,240-17,5G
240,42,24042,240-42,240-42,4G
240,80,24080,240-80,240-80,5G
240,32,24032,240-32,240-32,4G
240,69,24069,240-69,240-69,3G
240,94,24094,240-94,240-94,5G
240,91,24091,240-91,240-91,3G
240,65,24065,240-65,240-65,4G
240,65,24065,240-65,240-65,5G
240,60,24060,240-60,240-60,4G
240,75,24075,240-75,240-75,4G
240,10,24010,240-10,240-10,4G
240,37,24037,240-37,240-37,5G
240,32,24032,240-32,240-32,4G
240,13,24013,240-13,240-13,5G
240,80,24080,240-80,240-80,4G
240,55,24055,240-55,240-55,4G
240,39,24039,240-39,240-39,5G
240,83,24083,240-83,240-83,4G
240,93,24093,240-93,240-93,4G
240,63,24063,240-63,240-63,5G
240,53,24053,240-53,240-53,4G
240,75,24075,240-75,240-75,4G
240,63,24063,240-63,240-63,4G
240,86,24086,240-86,240-86,4G
240,39,24039,240-39,240-39,4G
240,5,24005,240-05,240-05,4G
240,17,24017,240-17,240-17,4G
240,75,24075,240-75,240-75,3G
240,37,24037,240-37,240-37,4G
240,58,24058,240-58,240-58,5G
240,39,24039,240-39,240-39,4G
240,22,24022,240-22,240-22,4G
240,94,24094,240-94,240-94,4G
240,24,24024,240-24,240-24,5G
240,21,24021,240-21,240-21,4G
240,64,24064,240-64,240-64,5G
240,7,24007,240-07,240-07,3G
240,1,24001,240-01,240-01,3G
240,45,24045,240-45,240-45,4G
240,5,24005,240-05,240-05,5G
240,98,24098,240-98,240-98,4G
240,26,24026,240-26,240-26,3G
240,88,24088,240-88,240-88,4G
240,96,24096,240-96,240-96,3G
240,93,24093,240-93,240-93,3G
240,24,24024,240-24,240-24,4G
240,22,24022,240-22,240-22,4G
240,28,24028,240-28,240-28,4G
240,79,24079,240-79,240-79,4G
240,53,24053,240-53,240-53,4G
240,54,24054,240-54,240-54,4G
240,54,24054,240-54,240-54,4G
240,78,24078,240-78,240-78,4G
240,57,24057,240-57,240-57,3G
240,94,24094,240-94,240-94,4G
240,28,24028,240-28,240-28,5G
240,88,24088,240-88,240-88,5G
240,52,24052,240-52,240-52,3G
240,70,24070,240-70,240-70,5G
240,4,24004,240-04,240-04,4G
240,91,24091,240-91,240-91,4G
240,4,24004,240-04,240-04,4G
240,14,24014,240-14,240-14,5G
240,26,24026,240-26,240-26,5G
240,52,24052,240-52,240-52,5G
240,3,24003,240-03,240-03,5G
240,32,24032,240-32,240-32,5G
240,14,24014,240-14,240-14,5G
240,72,24072,240-72,240-72,4G
240,30,24030,240-30,240-30,3G
240,80,24080,240-80,240-80,4G
240,9,24009,240-09,240-09,5G
