<<<<<<< HEAD
MCC,MNC,PLMN,TMSI,LMSI,TLLI,LAI,RAI,Network_Type
240,92,24092,3497****,8131****,8092****,240-92-5543,240-92-5543-84,4G
240,51,24051,6698****,2170****,9646****,240-51-2193,240-51-2193-82,3G
240,79,24079,8786****,6116****,3703****,240-79-1762,240-79-1762-46,3G
240,30,24030,1624****,3232****,8702****,240-30-3739,240-30-3739-91,4G
240,80,24080,7610****,2151****,6138****,240-80-4079,240-80-4079-69,4G
240,27,24027,9791****,5333****,9237****,240-27-5266,240-27-5266-55,4G
240,9,24009,9910****,8969****,4767****,240-09-3672,240-09-3672-74,4G
240,63,24063,6754****,5436****,6724****,240-63-2278,240-63-2278-10,3G
240,97,24097,4969****,9892****,1763****,240-97-7494,240-97-7494-45,5G
240,98,24098,4494****,1581****,4604****,240-98-6051,240-98-6051-22,4G
240,23,24023,3708****,6266****,4654****,240-23-7070,240-23-7070-37,5G
240,58,24058,8835****,8248****,9195****,240-58-2776,240-58-2776-95,3G
240,22,24022,9865****,7579****,3464****,240-22-6866,240-22-6866-88,4G
240,65,24065,3530****,3933****,1860****,240-65-4777,240-65-4777-74,4G
240,88,24088,6342****,1576****,7340****,240-88-5313,240-88-5313-73,4G
240,79,24079,4466****,3253****,3459****,240-79-5038,240-79-5038-81,4G
240,53,24053,6003****,2517****,5592****,240-53-5894,240-53-5894-95,4G
240,88,24088,3855****,3110****,7518****,240-88-6221,240-88-6221-29,4G
240,6,24006,5565****,8478****,4171****,240-06-9710,240-06-9710-12,5G
240,94,24094,6406****,6890****,6611****,240-94-7455,240-94-7455-48,5G
240,85,24085,4888****,1407****,5572****,240-85-1893,240-85-1893-38,3G
240,21,24021,6332****,4828****,2309****,240-21-6266,240-21-6266-23,4G
240,66,24066,5412****,9543****,3031****,240-66-8180,240-66-8180-82,5G
240,1,24001,7903****,8142****,8949****,240-01-6650,240-01-6650-77,4G
240,89,24089,9669****,6147****,8138****,240-89-1711,240-89-1711-29,3G
240,44,24044,4092****,7007****,6647****,240-44-9933,240-44-9933-51,5G
240,9,24009,4536****,8198****,6184****,240-09-6827,240-09-6827-54,4G
240,65,24065,9704****,4261****,7383****,240-65-8082,240-65-8082-35,5G
240,82,24082,5935****,7213****,8925****,240-82-1026,240-82-1026-32,3G
240,46,24046,6595****,4107****,3407****,240-46-8914,240-46-8914-96,5G
240,60,24060,4608****,4828****,8516****,240-60-1041,240-60-1041-77,3G
240,58,24058,5122****,6332****,7403****,240-58-7460,240-58-7460-36,5G
240,5,24005,9758****,3230****,9703****,240-05-1824,240-05-1824-51,3G
240,95,24095,3480****,7494****,4310****,240-95-9144,240-95-9144-60,5G
240,1,24001,3729****,1512****,8545****,240-01-5145,240-01-5145-83,4G
240,38,24038,6326****,9109****,2396****,240-38-7873,240-38-7873-74,5G
240,49,24049,8475****,7198****,6254****,240-49-2195,240-49-2195-30,3G
240,43,24043,1928****,8943****,4834****,240-43-2536,240-43-2536-25,3G
240,80,24080,7533****,9224****,7820****,240-80-2714,240-80-2714-61,3G
240,73,24073,1547****,3933****,8584****,240-73-6751,240-73-6751-74,4G
240,28,24028,7176****,8775****,3323****,240-28-8526,240-28-8526-26,5G
240,39,24039,6194****,7383****,1135****,240-39-5128,240-39-5128-40,4G
240,22,24022,4587****,8167****,9800****,240-22-6612,240-22-6612-19,4G
240,21,24021,7028****,4146****,1248****,240-21-1361,240-21-1361-64,3G
240,75,24075,9597****,4342****,7672****,240-75-2994,240-75-2994-34,3G
240,11,24011,7720****,3032****,7864****,240-11-1497,240-11-1497-99,3G
240,3,24003,8839****,1986****,1965****,240-03-1822,240-03-1822-87,3G
240,71,24071,8776****,6230****,4946****,240-71-3022,240-71-3022-74,3G
240,7,24007,3341****,2314****,9364****,240-07-6767,240-07-6767-79,4G
240,49,24049,4324****,1217****,6641****,240-49-7773,240-49-7773-18,5G
240,13,24013,5021****,6906****,2680****,240-13-8245,240-13-8245-63,5G
240,11,24011,4559****,4136****,5720****,240-11-6654,240-11-6654-32,4G
240,15,24015,6149****,4679****,7945****,240-15-6929,240-15-6929-80,4G
240,27,24027,7550****,2793****,4408****,240-27-3420,240-27-3420-99,3G
240,17,24017,8540****,1798****,2511****,240-17-5966,240-17-5966-12,4G
240,11,24011,9071****,3197****,9063****,240-11-3786,240-11-3786-33,4G
240,28,24028,9373****,8484****,9142****,240-28-1699,240-28-1699-14,3G
240,31,24031,6134****,2115****,6457****,240-31-8573,240-31-8573-58,5G
240,92,24092,9651****,8704****,2376****,240-92-4780,240-92-4780-56,4G
240,77,24077,2855****,4323****,7714****,240-77-2081,240-77-2081-33,3G
240,58,24058,6233****,6603****,4448****,240-58-1018,240-58-1018-43,3G
240,45,24045,6031****,8194****,5000****,240-45-3977,240-45-3977-12,4G
240,36,24036,3054****,1326****,1983****,240-36-8611,240-36-8611-30,5G
240,91,24091,5410****,7783****,4483****,240-91-3946,240-91-3946-38,4G
240,89,24089,5799****,8706****,5310****,240-89-8034,240-89-8034-40,5G
240,39,24039,1339****,9881****,7612****,240-39-5343,240-39-5343-81,4G
240,11,24011,2657****,5206****,4592****,240-11-9114,240-11-9114-78,5G
240,75,24075,8300****,9669****,5364****,240-75-4317,240-75-4317-21,4G
240,45,24045,9709****,4363****,6592****,240-45-1775,240-45-1775-43,3G
240,2,24002,7330****,9319****,6711****,240-02-6356,240-02-6356-32,4G
240,39,24039,2627****,4430****,2277****,240-39-8818,240-39-8818-10,5G
240,6,24006,1572****,9909****,5759****,240-06-6675,240-06-6675-96,4G
240,54,24054,4337****,2413****,9193****,240-54-7872,240-54-7872-20,5G
240,94,24094,1728****,8688****,1955****,240-94-6995,240-94-6995-81,4G
240,85,24085,6412****,5445****,8316****,240-85-8932,240-85-8932-45,5G
240,45,24045,9437****,8374****,2901****,240-45-2700,240-45-2700-86,3G
240,32,24032,6330****,2058****,6091****,240-32-8803,240-32-8803-51,5G
240,57,24057,6173****,2868****,9939****,240-57-3684,240-57-3684-71,4G
240,6,24006,6423****,1578****,4936****,240-06-2306,240-06-2306-68,3G
240,36,24036,9268****,2941****,5421****,240-36-4963,240-36-4963-71,4G
240,22,24022,2791****,3723****,1498****,240-22-7391,240-22-7391-87,5G
240,92,24092,3073****,3592****,2435****,240-92-9749,240-92-9749-21,5G
240,22,24022,1641****,2006****,8175****,240-22-6620,240-22-6620-47,4G
