MCC,MNC,PLMN,LAI,RAI,Network_Type
240,92,24092,240-92-5543,240-92-5543,4G
240,51,24051,240-51-2193,240-51-2193,3G
240,79,24079,240-79-1762,240-79-1762,3G
240,30,24030,240-30-3739,240-30-3739,4G
240,80,24080,240-80-4079,240-80-4079,4G
240,27,24027,240-27-5266,240-27-5266,4G
240,9,24009,240-09-3672,240-09-3672,4G
240,63,24063,240-63-2278,240-63-2278,3G
240,97,24097,240-97-7494,240-97-7494,5G
240,98,24098,240-98-6051,240-98-6051,4G
240,23,24023,240-23-7070,240-23-7070,5G
240,58,24058,240-58-2776,240-58-2776,3G
240,22,24022,240-22-6866,240-22-6866,4G
240,65,24065,240-65-4777,240-65-4777,4G
240,88,24088,240-88-5313,240-88-5313,4G
240,79,24079,240-79-5038,240-79-5038,4G
240,53,24053,240-53-5894,240-53-5894,4G
240,88,24088,240-88-6221,240-88-6221,4G
240,6,24006,240-06-9710,240-06-9710,5G
240,94,24094,240-94-7455,240-94-7455,5G
240,85,24085,240-85-1893,240-85-1893,3G
240,21,24021,240-21-6266,240-21-6266,4G
240,66,24066,240-66-8180,240-66-8180,5G
240,1,24001,240-01-6650,240-01-6650,4G
240,89,24089,240-89-1711,240-89-1711,3G
240,44,24044,240-44-9933,240-44-9933,5G
240,9,24009,240-09-6827,240-09-6827,4G
240,65,24065,240-65-8082,240-65-8082,5G
240,82,24082,240-82-1026,240-82-1026,3G
240,46,24046,240-46-8914,240-46-8914,5G
240,60,24060,240-60-1041,240-60-1041,3G
240,58,24058,240-58-7460,240-58-7460,5G
240,5,24005,240-05-1824,240-05-1824,3G
240,95,24095,240-95-9144,240-95-9144,5G
240,1,24001,240-01-5145,240-01-5145,4G
240,38,24038,240-38-7873,240-38-7873,5G
240,49,24049,240-49-2195,240-49-2195,3G
240,43,24043,240-43-2536,240-43-2536,3G
240,80,24080,240-80-2714,240-80-2714,3G
240,73,24073,240-73-6751,240-73-6751,4G
240,28,24028,240-28-8526,240-28-8526,5G
240,39,24039,240-39-5128,240-39-5128,4G
240,22,24022,240-22-6612,240-22-6612,4G
240,21,24021,240-21-1361,240-21-1361,3G
240,75,24075,240-75-2994,240-75-2994,3G
240,11,24011,240-11-1497,240-11-1497,3G
240,3,24003,240-03-1822,240-03-1822,3G
240,71,24071,240-71-3022,240-71-3022,3G
240,7,24007,240-07-6767,240-07-6767,4G
240,49,24049,240-49-7773,240-49-7773,5G
240,13,24013,240-13-8245,240-13-8245,5G
240,11,24011,240-11-6654,240-11-6654,4G
240,15,24015,240-15-6929,240-15-6929,4G
240,27,24027,240-27-3420,240-27-3420,3G
240,17,24017,240-17-5966,240-17-5966,4G
240,11,24011,240-11-3786,240-11-3786,4G
240,28,24028,240-28-1699,240-28-1699,3G
240,31,24031,240-31-8573,240-31-8573,5G
240,92,24092,240-92-4780,240-92-4780,4G
240,77,24077,240-77-2081,240-77-2081,3G
240,58,24058,240-58-1018,240-58-1018,3G
240,45,24045,240-45-3977,240-45-3977,4G
240,36,24036,240-36-8611,240-36-8611,5G
240,91,24091,240-91-3946,240-91-3946,4G
240,89,24089,240-89-8034,240-89-8034,5G
240,39,24039,240-39-5343,240-39-5343,4G
240,11,24011,240-11-9114,240-11-9114,5G
240,75,24075,240-75-4317,240-75-4317,4G
240,45,24045,240-45-1775,240-45-1775,3G
240,2,24002,240-02-6356,240-02-6356,4G
240,39,24039,240-39-8818,240-39-8818,5G
240,6,24006,240-06-6675,240-06-6675,4G
240,54,24054,240-54-7872,240-54-7872,5G
240,94,24094,240-94-6995,240-94-6995,4G
