Dataset,Hit_Precision
No anonymization (Baseline),31.842105263157894
"ARX Employment, k = 3",0.5526315789473684
"ARX Employment, k = 5",0.2631578947368421
"ARX Employment, k = 10",0.07894736842105263
"ARX Employment, k = 15",0.07894736842105263
"ARX Employment, k = 5, l = 5",0.0
"ARX Employment, k = 5, t = 0.15",0.0
"DP Employment, epsilon = 10.0",0.0
"DP Employment, epsilon = 1.0",0.0
"DP Employment, epsilon = 0.5",0.0
"Combined Employment, k = 3 + epsilon = 0.5",0.0
"Combined Employment, k = 3 + epsilon = 1.0",0.0
"Combined Employment, k = 5 + epsilon = 0.5",0.0
"Combined Employment, k = 5 + epsilon = 1.0",0.0
