Dataset,Accuracy,F1-Score,Precision,Recall
No anonymization (Baseline),0.8132226387202365,0.8144885358083926,0.7468625282492667,0.8955804768357022
"ARX Employment, k = 3",0.7382002006229872,0.76119960029376,0.6535122173068177,0.9113789027589587
"ARX Employment, k = 5",0.7289345863470778,0.7592182242388004,0.6398055566533613,0.9334332747138697
"ARX Employment, k = 10",0.7310068106224592,0.7606689057472344,0.6417460915053401,0.9336927379133393
"ARX Employment, k = 15",0.7291853650810411,0.7613853095780807,0.6380967232607552,0.943725314959495
"ARX Employment, k = 5, l = 3",0.7308220262921704,0.7609032076533483,0.6412100614515205,0.9355378095540116
"ARX Employment, k = 5, l = 5",0.7199593474473365,0.758505298382599,0.626669174346436,0.9605904229250152
"ARX Employment, k = 5, t = 0.3",0.5421704239480492,0.0,0.0,0.0
"ARX Employment, k = 5, t = 0.15",0.7140858455202999,0.7555354926080577,0.6207740667247742,0.9650301265603829
"DP Employment, epsilon = 10.0",0.7624597434137586,0.7618404859263964,0.7041340508806262,0.8298497996367515
"DP Employment, epsilon = 5.0",0.7623013568449396,0.7603624702266104,0.706084420719652,0.8236803413382535
"DP Employment, epsilon = 1.0",0.7657330658360171,0.7647113408895075,0.7078384215176204,0.8315218958111108
"DP Employment, epsilon = 0.5",0.7657198669552822,0.755192673709762,0.7239218382294614,0.7892870527863465
"DP Employment, epsilon = 0.1",0.7614038329549654,0.7594320162889424,0.7052847538066047,0.8225848300516043
"Combined Employment, k = 3 + epsilon = 0.5",0.6453196768913996,0.6323034399715388,0.6017710639406173,0.666099691527085
"Combined Employment, k = 3 + epsilon = 1.0",0.6445805395702444,0.6322617649468768,0.6006642621759776,0.6673681782800472
"Combined Employment, k = 3 + epsilon = 3.0",0.6467715537722402,0.6329346573764196,0.6036733732764711,0.665177155706749
"Combined Employment, k = 5 + epsilon = 0.5",0.662069056544005,0.6629365842099028,0.6100503973638302,0.7258627151382362
"Combined Employment, k = 5 + epsilon = 1.0",0.6566179188004857,0.649644473173885,0.6095680962369532,0.6953613745783723
"Combined Employment, k = 5 + epsilon = 3.0",0.6637717121588089,0.6644537527332122,0.6117241881108875,0.7271312018911984
