Dataset,BlackBox_Accuracy,BlackBox_Balanced_Accuracy,BlackBox_Precision,BlackBox_Recall,BlackBox_F1_Score
No anonymization (Baseline),0.7306643952299829,0.2543515436750546,0.4396647782506311,0.2543515436750546,0.32226739203281485
"ARX Income, k = 3",0.6170017035775128,0.1111830217851886,0.0844413285881438,0.1111830217851886,0.09598439108494233
"ARX Income, k = 5",0.6170528109028961,0.1111111111111111,0.0685614234336551,0.1111111111111111,0.08479800161303724
"ARX Income, k = 10",0.6170528109028961,0.1111111111111111,0.0685614234336551,0.1111111111111111,0.08479800161303724
"ARX Income, k = 15",0.6170528109028961,0.1111111111111111,0.0685614234336551,0.1111111111111111,0.08479800161303724
"ARX Income, k = 5, l = 3",0.6170528109028961,0.1111111111111111,0.0685614234336551,0.1111111111111111,0.08479800161303724
"ARX Income, k = 5, l = 5",0.6170528109028961,0.1111111111111111,0.0685614234336551,0.1111111111111111,0.08479800161303724
"ARX Income, k = 5, t = 0.3",0.6170528109028961,0.1111111111111111,0.0685614234336551,0.1111111111111111,0.08479800161303724
"ARX Income, k = 5, t = 0.15",0.6170528109028961,0.1111111111111111,0.0685614234336551,0.1111111111111111,0.08479800161303724
"DP Income, epsilon = 10.0",0.6094718909710392,0.1959848631117696,0.1966780882027268,0.1959848631117696,0.19633086373164493
"DP Income, epsilon = 5.0",0.6057921635434412,0.1952624174884387,0.1964202091926861,0.1952624174884387,0.19583960215714616
"DP Income, epsilon = 3.0",0.6037989778534923,0.1897097942027728,0.248115013687243,0.1897097942027728,0.1989523778422972
"DP Income, epsilon = 1.0",0.6266439522998296,0.1941357002547715,0.203019097614538,0.1941357002547715,0.19847804882095238
"DP Income, epsilon = 0.5",0.6156218057921635,0.176901976296077,0.1821563877199371,0.176901976296077,0.17949073583577146
"DP Income, epsilon = 0.1",0.5715502555366269,0.1277695303421328,0.1413421448660009,0.1277695303421328,0.13421357102482787
"Combined Income, k = 3 + epsilon = 0.5",0.5431856899488927,0.1092099503538489,0.1088738694337777,0.1092099503538489,0.10904165093286668
"Combined Income, k = 3 + epsilon = 1.0",0.5397955706984667,0.1089584273632611,0.1089253578262372,0.1089584273632611,0.10894189008516754
"Combined Income, k = 3 + epsilon = 3.0",0.5447529812606473,0.1093942109109434,0.1092130825616509,0.1093942109109434,0.10930357169882152
"Combined Income, k = 5 + epsilon = 0.5",0.52206132879046,0.1206986860755243,0.1088695511116407,0.1206986860755243,0.11447935423308499
"Combined Income, k = 5 + epsilon = 1.0",0.5222998296422487,0.1157960974226858,0.1049277802915843,0.1157960974226858,0.11009436400640887
"Combined Income, k = 5 + epsilon = 3.0",0.5273594548551959,0.1156121396882841,0.1049479265418372,0.1156121396882841,0.11002222252410308
