Anonymization_Configuration,mean_distance,median_distance,min_distance,max_distance,std_distance,percentile_1st,percentile_5th,percentile_10th,percentile_25th,percentile_75th,percentile_90th,percentile_95th,percentile_99th,exact_matches_%,near_matches_1pct_%,near_matches_5pct_%,near_matches_10pct_%
No anonymization (Baseline),1.5768305974616144,1.4195047561044243,0.0,3.1622941234619475,0.5744403011839113,0.0,0.040816326530612936,1.4142135623730951,1.4142135623730951,2.0,2.0026013902413493,2.449489742783178,2.450021037062569,4.366269165247019,4.367972742759796,5.1192504258943785,6.415672913117547
"ARX Income, k = 3",2.2360935938000015,2.23606797749979,2.2360679774997894,2.6457513110645907,0.003138374937934732,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,0.0,0.0,0.0,0.0
"ARX Income, k = 5",2.449493819257421,2.449489742783178,2.449489742783178,2.8284271247461903,0.0012383080576322252,2.449489742783178,2.449489742783178,2.449489742783178,2.449489742783178,2.449489742783178,2.449489742783178,2.449489742783178,2.449489742783178,0.0,0.0,0.0,0.0
"ARX Income, k = 10",2.8284271247461907,2.8284271247461903,2.8284271247461903,2.8284271247461903,4.440892098500626e-16,2.8284271247461903,2.8284271247461903,2.8284271247461903,2.8284271247461903,2.8284271247461903,2.8284271247461903,2.8284271247461903,2.8284271247461903,0.0,0.0,0.0,0.0
"ARX Income, k = 15",2.44949613595264,2.449489742783178,2.449489742783178,2.8284271247461903,0.00151658788443264,2.449489742783178,2.449489742783178,2.449489742783178,2.449489742783178,2.449489742783178,2.449489742783178,2.449489742783178,2.449489742783178,0.0,0.0,0.0,0.0
"ARX Income, k = 5, l = 3",2.2360870839852467,2.23606797749979,2.2360679774997894,2.6457513110645907,0.0026880864523124892,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,0.0,0.0,0.0,0.0
"ARX Income, k = 5, l = 5",2.8284271247461903,2.8284271247461903,2.8284271247461903,2.8284271247461903,0.0,2.8284271247461903,2.8284271247461903,2.8284271247461903,2.8284271247461903,2.8284271247461903,2.8284271247461903,2.8284271247461903,2.8284271247461903,0.0,0.0,0.0,0.0
"ARX Income, k = 5, t = 0.3",2.64575131106459,2.6457513110645907,2.6457513110645907,2.6457513110645907,8.881784197001252e-16,2.6457513110645907,2.6457513110645907,2.6457513110645907,2.6457513110645907,2.6457513110645907,2.6457513110645907,2.6457513110645907,2.6457513110645907,0.0,0.0,0.0,0.0
"ARX Income, k = 5, t = 0.15",2.645751316250995,2.6457513110645907,2.6457513110645907,2.6462432016065995,1.2253477630076526e-06,2.6457513110645907,2.6457513110645907,2.6457513110645907,2.6457513110645907,2.6457513110645907,2.6457513110645907,2.6457513110645907,2.6457513110645907,0.0,0.0,0.0,0.0
"DP Income, epsilon = 10.0",1.7107029638729836,2.0000000650770504,0.0005102040819253387,3.244778628597758,0.524293880340536,0.0331632653061318,1.4142136544059407,1.4142210170141727,1.4149754811461923,2.0007730310513967,2.449494046729773,2.4501209606430847,2.82852030647032,0.0,0.7758158076303887,1.6144941609383383,3.7318886872971664
"DP Income, epsilon = 5.0",1.7040108792702053,2.0000000650770504,0.0005102040819253387,3.217653928472614,0.5297080618644086,0.02806122448978304,0.2780612244897985,1.4142210170141727,1.4149754811461923,2.0007730310513967,2.449494046729773,2.4501209606430847,2.8284901205294193,0.0,0.7788822732731965,1.657935757544783,3.816216492474382
"DP Income, epsilon = 3.0",1.7128023267349264,2.0000000650770504,0.0005102040819253387,3.2139465726494376,0.5243683498231054,0.04642857142857686,0.41275510204082033,1.4142210170141727,1.4149754811461923,2.0007730310513967,2.449494046729773,2.449929715776536,2.503843827588481,0.0,0.43544034671682064,1.1754845040477553,3.637357919699076
"DP Income, epsilon = 1.0",1.722547584826832,2.0000052712342034,0.0005102040819253387,3.217653928472614,0.525932737786527,0.04642857142857686,1.4142136544059407,1.4142210170141727,1.4149754811461923,2.0007730310513967,2.449494046729773,2.4501209606430847,2.8284901205294193,0.0,0.6204482150614571,1.543454373546623,3.707356962154703
"DP Income, epsilon = 0.5",1.7220946230079086,2.0000210848534556,0.0010204081638506774,3.2101010985466587,0.5301429487390386,0.039795918367344765,0.30714285714285705,1.4142581055702594,1.415582716524171,2.000968372394214,2.44951546008005,2.4502804793170005,2.8284493966078266,0.0,0.09403876032382043,1.518419331098209,3.582672336249898
