Dataset,Accuracy,F1-Score,Precision,Recall
No anonymization (Baseline),0.684818303200895,0.5963955637707948,0.5635807860262009,0.6332679097154073
"ARX Public Coverage, k = 3",0.6632023384215654,0.5585355470412942,0.5391288466806684,0.5793915603532875
"ARX Public Coverage, k = 5",0.6775287791851611,0.5262432403774785,0.5723016605166051,0.4870461236506379
"ARX Public Coverage, k = 10",0.6843130886651511,0.4884210526315789,0.6043415340086831,0.4098135426889107
"ARX Public Coverage, k = 15",0.6862978600555736,0.4817265843915817,0.6137019595928908,0.39646712463199213
"ARX Public Coverage, k = 5, l = 3",0.6797661578434556,0.512203166226913,0.5822294426393402,0.45721295387634936
"ARX Public Coverage, k = 5, l = 5",0.6855761250045108,0.47145890203215046,0.6173153296266879,0.38135426889106966
"ARX Public Coverage, k = 5, t = 0.3",0.6850709104687669,0.5400790513833992,0.5832669322709163,0.5028459273797841
"ARX Public Coverage, k = 5, t = 0.15",0.6826891848002599,0.5285507479491717,0.5825552535161328,0.48370951913640825
"DP Public Coverage, epsilon = 10.0",0.5447656165421674,0.4120251689582848,0.39236573457612073,0.4337585868498528
"DP Public Coverage, epsilon = 5.0",0.5707841651329797,0.41107149930679343,0.41485108934639214,0.40736015701668304
"DP Public Coverage, epsilon = 3.0",0.5668867958572408,0.4167557585771212,0.41278398151713513,0.4208047105004907
"DP Public Coverage, epsilon = 1.0",0.5494929811266284,0.41378662659654397,0.3967224923464794,0.4323846908734053
"DP Public Coverage, epsilon = 0.5",0.5682220057017069,0.41727950129060537,0.4141931741274292,0.42041216879293425
"DP Public Coverage, epsilon = 0.1",0.5643968099310743,0.33313076625600796,0.38111490329920367,0.2958783120706575
"Combined Public Coverage, k = 3 + epsilon = 0.5",0.5835949622893436,0.47518988493200526,0.44282444689327793,0.5126594700686948
"Combined Public Coverage, k = 3 + epsilon = 1.0",0.5906318790372055,0.4799193104713002,0.45035277921183964,0.5136408243375858
"Combined Public Coverage, k = 3 + epsilon = 3.0",0.5874562448125293,0.48564743993521103,0.4484047856430708,0.5296368989205104
"Combined Public Coverage, k = 5 + epsilon = 0.5",0.5685828732272383,0.5013971722901114,0.4359904257634003,0.589892051030422
"Combined Public Coverage, k = 5 + epsilon = 1.0",0.5888997149146549,0.48527019699981927,0.4496734215374309,0.5269872423945045
"Combined Public Coverage, k = 5 + epsilon = 3.0",0.571108945905958,0.5004413433651381,0.4376884052643188,0.5842001962708537
