Dataset,BlackBox_Accuracy,BlackBox_Balanced_Accuracy,BlackBox_Precision,BlackBox_Recall,BlackBox_F1_Score
No anonymization (Baseline),0.5382374362709396,0.6810826704609084,0.6812190483777224,0.6810826704609084,0.6811508525930243
"ARX Bank Marketing, k = 3",0.9200453184429878,0.9446432680724666,0.9452710388898016,0.9446432680724666,0.944957049218153
"ARX Bank Marketing, k = 5",0.9015133122926277,0.9316777212751628,0.9326904533878292,0.9316777212751628,0.9321838122714661
"ARX Bank Marketing, k = 10",0.8906692562919802,0.9241712368669518,0.925245186285706,0.9241712368669518,0.92470789975706
"ARX Bank Marketing, k = 15",0.8862183377842519,0.9214166154633364,0.9219114071888858,0.9214166154633364,0.9216639449193597
"ARX Bank Marketing, k = 5, l = 2",0.903293679695719,0.9330494856230054,0.933780259383076,0.9330494856230054,0.9334147294717091
"ARX Bank Marketing, k = 5, l = 3",0.8184025248846808,0.8745214491731614,0.8752799298770565,0.8745214491731614,0.874900525137029
"ARX Bank Marketing, k = 5, t = 0.3",0.9012705349194788,0.9316713575151596,0.932372371427952,0.9316713575151596,0.932021732655843
"ARX Bank Marketing, k = 5, t = 0.15",0.881443716112325,0.9180812386149078,0.9186570496559568,0.9180812386149078,0.9183690538780568
"DP Bank Marketing, epsilon = 10.0",0.5202719106579267,0.4531850762191931,0.6693226624239901,0.4531850762191931,0.5404453463322967
"DP Bank Marketing, epsilon = 5.0",0.5195435785384802,0.4236253521505981,0.6148469946009163,0.4236253521505981,0.5016306412420514
"DP Bank Marketing, epsilon = 1.0",0.4761673545358906,0.4147331137948287,0.6397461533862973,0.4147331137948287,0.5032321117918935
"DP Bank Marketing, epsilon = 0.5",0.4872541879096868,0.5081670791596838,0.647451630746353,0.5081670791596838,0.5694155023161582
"DP Bank Marketing, epsilon = 0.1",0.4830460467751072,0.3252009837504759,0.3171113994789492,0.3252009837504759,0.3211052496000521
"Combined Bank Marketing, k = 3 + epsilon = 0.5",0.5099943351946266,0.4145189785439644,0.6594073894584702,0.4145189785439644,0.5090421199566776
"Combined Bank Marketing, k = 3 + epsilon = 1.0",0.5048960103585013,0.3870967105238675,0.6081718513737313,0.3870967105238675,0.47308099966731165
"Combined Bank Marketing, k = 3 + epsilon = 3.0",0.518977098001133,0.461314143965213,0.5993935543856487,0.461314143965213,0.5213664893157363
"Combined Bank Marketing, k = 5 + epsilon = 0.5",0.5150926600307518,0.4399949150431066,0.6701370230568703,0.4399949150431066,0.5312105208535919
"Combined Bank Marketing, k = 5 + epsilon = 1.0",0.514849882657603,0.4053217804281206,0.672032901900026,0.4053217804281206,0.5056636904677769
"Combined Bank Marketing, k = 5 + epsilon = 3.0",0.5174395079711904,0.429691466380305,0.6674941723307576,0.429691466380305,0.5228222820088201
