Anonymization_Configuration,mean_distance,median_distance,min_distance,max_distance,std_distance,percentile_1st,percentile_5th,percentile_10th,percentile_25th,percentile_75th,percentile_90th,percentile_95th,percentile_99th,exact_matches_%,near_matches_1pct_%,near_matches_5pct_%,near_matches_10pct_%
No anonymization (Baseline),0.5965569976117551,0.12546148153132794,0.0,2.633346681623431,0.6827714376359948,0.004066693777853015,0.016182264233183842,0.023170733748896506,0.04521039329027948,1.4146811434207152,1.4217597820898347,1.5183484263988933,2.005152882468122,0.040462895524803755,2.346847940438618,27.320547058347493,45.26179493404548
"ARX Bank Marketing, k = 3",0.18835925571961223,0.01851851851856319,0.006172839505724101,2.6339615754905195,0.4544229827111823,0.006172839506011871,0.006172839506011871,0.006172839506155756,0.0061728395062996405,0.03583747365123137,1.4142492671682898,1.415702561206421,1.7364229669148825,0.0,28.259905381431103,77.98147053025824,83.48117484723043
"ARX Bank Marketing, k = 5",0.1972577401561562,0.03703703703703046,0.0,2.633346681623431,0.4503576334273734,0.0,0.0,0.012345679012311511,0.020362698736328778,0.06172839506171583,1.414267974681645,1.41570630243605,1.7348951468006444,6.220935984960918,7.935094488968042,71.7547244484021,83.28633620263184
"ARX Bank Marketing, k = 10",0.1913832198328719,0.03703703703703046,0.0,2.633346681623431,0.44223420883446923,0.0,0.0,0.012345679012311511,0.019739493876070293,0.06172839506170144,1.3625700305360136,1.4155471757091427,1.6673290845918962,6.26095794689366,8.004065557108373,72.08486850463729,83.63613263880066
"ARX Bank Marketing, k = 15",0.20603259244545183,0.049382716049407915,0.0,2.6349378767026574,0.4390730116600665,0.0,0.0030431669738762374,0.012345679012311511,0.024691358024694965,0.09876543209876187,1.414213628112182,1.4156868551103279,1.6740413363974227,4.061939525601839,5.660949301538384,50.8904438325713,77.8993103796701
"ARX Bank Marketing, k = 5, l = 2",0.19727748877796464,0.03703703703703046,0.0,2.633346681623431,0.4503875138885756,0.0,0.0,0.012345679012311511,0.02035472862284657,0.06172839506171583,1.4142679746816453,1.4157076132718256,1.7349025128196103,6.221859383504032,7.936272326950671,71.75300578892683,83.28632922665875
"ARX Bank Marketing, k = 5, l = 3",1.0354322123473028,1.0006856360078753,0.9999999999999982,2.4595287375910955,0.1541880596375741,1.0,1.0000010386496514,1.000076204991537,1.0002458305486597,1.002739731161546,1.0070487308428588,1.0628672597438362,1.73852664201056,0.0,0.0,0.0,0.0
"ARX Bank Marketing, k = 5, t = 0.3",0.1965160939364353,0.03703703703703046,0.0,2.633346681623431,0.4490846928744331,0.0,0.0,0.012345679012311511,0.020333468889789243,0.06172839506171583,1.4142669503406533,1.4156863409439757,1.727941455123551,6.219406137408374,7.936389613616599,71.78034538451982,83.32215182010188
"ARX Bank Marketing, k = 5, t = 0.15",0.20769200822606237,0.049382716049407915,0.0,2.6349378767026574,0.44127143890759235,0.0,0.003445171800836745,0.012345679012311511,0.024691358024730936,0.09876543209876187,1.4142201489960768,1.415753086715397,1.7061192154925793,4.030404808202228,5.613778125710246,50.73612970024496,77.72165963786965
"DP Bank Marketing, epsilon = 10.0",0.9312844758493696,0.679200069068155,0.09973670055277044,10.649297655964821,0.619801451721515,0.1046543613724111,0.11277614170004857,0.12904237303162988,0.5128692043889901,1.4975341188152034,1.564115512583742,2.0273118967061117,2.5030931510654137,0.0,0.0,0.0,0.08740409828105274
"DP Bank Marketing, epsilon = 5.0",0.9386364457164765,0.7613643172997417,0.09933816282867684,15.042202859997852,0.6537870573165052,0.10427462064804026,0.11210459867803835,0.12751006179827468,0.5115913700420547,1.4973390917090323,1.5421962214087952,2.0099092090613007,2.5497082065504224,0.0,0.0,0.0,0.021851024570263184
"DP Bank Marketing, epsilon = 1.0",0.9622177965628056,0.7726813243534353,0.10099487631941856,12.017997430828544,0.7241639171530551,0.10258621732437531,0.10941486085440225,0.13573008016436441,0.533651375727636,1.4847996050086116,1.5385569955877108,2.030736023847647,2.5608792656460344,0.0,0.0,0.0,0.0
"DP Bank Marketing, epsilon = 0.5",1.0299703972484748,0.7730825843781126,0.08986702135333732,10.822301442096299,0.8655913395406029,0.09097986914375916,0.09952745807747587,0.11963805508282253,0.5431368677959154,1.5032603454677942,1.6895606391664468,2.1057568968405453,3.948663674951701,0.0,0.0,0.0,5.513741866563077
"DP Bank Marketing, epsilon = 0.1",1.6069954851148947,1.5180328724987482,0.48412788807747564,12.194307721977001,1.3724992153319753,0.5148032166221056,0.5552827665041672,0.6183226542838862,0.8127002658139939,1.738646800711925,2.0963721000416196,2.5017059993432365,9.669813441475045,0.0,0.0,0.0,0.0
"Combined Bank Marketing, k = 3 + epsilon = 0.5",0.9756012459126625,0.7712900893114114,0.09099087761147594,10.834136935665217,0.7867358720924285,0.09116928889323088,0.09861888312901702,0.10605063696645912,0.4995029290690029,1.4959020885442145,1.61107310845152,2.073922903933441,2.7902884487052595,0.0,0.0,0.0,5.551448846836192
"Combined Bank Marketing, k = 3 + epsilon = 1.0",0.9552672804328176,0.6688701713754736,0.09365307752165888,11.075778990209265,0.7410794102971304,0.09379181697557941,0.1030726523781912,0.12436338004272339,0.4998778788539298,1.4973288629804473,1.558615536616517,2.0727323474286736,2.5811920315258696,0.0,0.0,0.0,3.0997437413759115
"Combined Bank Marketing, k = 3 + epsilon = 3.0",0.9302962359070298,0.6579232474697632,0.10109864260448785,11.690760382865188,0.6350849398916194,0.10505837456900277,0.11174894481332484,0.14040387331229368,0.5022812360822239,1.4982943335080048,1.5533708227737135,2.0601018859513918,2.549580198425477,0.0,0.0,0.0,0.0
"Combined Bank Marketing, k = 5 + epsilon = 0.5",0.9494099283279303,0.6141758371957404,0.08995672638815753,12.209585326688096,0.8975910347689481,0.08995672638815753,0.09586539418508498,0.12060576308483056,0.49580414790425226,1.4947505785358257,1.5436237692535906,2.0519317365339376,2.8121300256538877,0.0,0.0,0.0,5.750964677945978
"Combined Bank Marketing, k = 5 + epsilon = 1.0",0.9287662597564239,0.6284224837470405,0.10129670299334985,11.313076525894834,0.675861112271051,0.10129670299334985,0.11779324449608858,0.13077015799652508,0.5074110823371947,1.4972136830935396,1.5484580045799992,2.0392599223083208,2.5495848602098903,0.0,0.0,0.0,0.0
"Combined Bank Marketing, k = 5 + epsilon = 3.0",0.9312622600946362,0.6415532911350542,0.1001519635285431,15.846914162388261,0.6590437472439624,0.10414769478598807,0.11750392573025577,0.13170165717677818,0.49935031279623987,1.4984417251274254,1.5562919817387642,2.060610467220035,2.5518895866757636,0.0,0.0,0.0,0.0
