Dataset,Accuracy,F1-Score,Precision,Recall
Dataset,Accuracy,F1-Score,Precision,Recall
No anonymization (Baseline),0.8948773974265598,0.4100817438692098,0.5700757575757576,0.3202127659574468
"ARX Bank Marketing, k = 3",0.8982762806506434,0.41068917018284107,0.6058091286307054,0.31063829787234043
"ARX Bank Marketing, k = 5",0.8975479485311969,0.39105339105339104,0.6076233183856502,0.28829787234042553
"ARX Bank Marketing, k = 10",0.8979121145909201,0.39799570508231924,0.6083150984682714,0.2957446808510638
"ARX Bank Marketing, k = 15",0.8963340616654528,0.39173789173789175,0.5926724137931034,0.2925531914893617
"ARX Bank Marketing, k = 5, l = 2",0.8957271182325808,0.38334529791816224,0.5894039735099338,0.28404255319148936
"ARX Bank Marketing, k = 5, l = 3",0.8996115562029618,0.4097073518915061,0.6225596529284165,0.30531914893617024
"ARX Bank Marketing, k = 5, t = 0.3",0.8973051711580481,0.4016973125884017,0.5991561181434599,0.3021276595744681
"ARX Bank Marketing, k = 5, t = 0.15",0.8956057295460063,0.3900709219858156,0.5851063829787234,0.2925531914893617
"DP Bank Marketing, epsilon = 10.0",0.7436270939548434,0.11853088480801335,0.09752747252747253,0.15106382978723404
"DP Bank Marketing, epsilon = 5.0",0.7250546249089584,0.2004941757853865,0.15002641310089804,0.3021276595744681
"DP Bank Marketing, epsilon = 3.0",0.6781985918912358,0.2650401996118658,0.1792275965504312,0.5085106382978724
"DP Bank Marketing, epsilon = 1.0",0.8625880067977665,0.3003708281829419,0.3584070796460177,0.25851063829787235
"DP Bank Marketing, epsilon = 0.5",0.8038358824957514,0.24485981308411214,0.21833333333333332,0.27872340425531916
"DP Bank Marketing, epsilon = 0.1",0.8511774702597718,0.0192,0.03870967741935484,0.01276595744680851
"Combined Bank Marketing, k = 3 + epsilon = 0.5",0.8136683661082788,0.2721669037458511,0.24550898203592814,0.30531914893617024
"Combined Bank Marketing, k = 3 + epsilon = 1.0",0.8211944646758922,0.26091319618665326,0.24691358024691357,0.2765957446808511
"Combined Bank Marketing, k = 3 + epsilon = 3.0",0.7847778587035689,0.18781493357764545,0.16492357200321803,0.21808510638297873
"Combined Bank Marketing, k = 5 + epsilon = 0.5",0.8554260742898762,0.037186742118027485,0.07744107744107744,0.02446808510638298
"Combined Bank Marketing, k = 5 + epsilon = 1.0",0.8627093954843409,0.2641509433962264,0.34003350083752093,0.21595744680851064
"Combined Bank Marketing, k = 5 + epsilon = 3.0",0.7603787327021122,0.2494296577946768,0.1940828402366864,0.34893617021276596

