Anonymization_Configuration,mean_distance,median_distance,min_distance,max_distance,std_distance,percentile_1st,percentile_5th,percentile_10th,percentile_25th,percentile_75th,percentile_90th,percentile_95th,percentile_99th,exact_matches_%,near_matches_1pct_%,near_matches_5pct_%,near_matches_10pct_%
No anonymization (Baseline),1.5972402902690364,1.444850926685936,0.0,4.524650509593813,1.1153755589546959,0.0,0.0,0.011764705882169955,0.20156000782470357,2.4516025922016986,3.1638345035055293,3.4664073912425137,3.785356558966831,9.244051379237735,9.244051379237735,18.677616340282167,21.962518424931567
"ARX MEPS, k = 3",1.2936545571595548,1.0024882537775353,0.9999999999999929,4.6336596049249845,0.635566511564117,1.0,1.0,1.0000692017578054,1.0002767783058832,1.0068966334484502,2.242824480516121,2.804269131029785,3.627412441182415,0.0,0.0,0.0,0.0
"ARX MEPS, k = 5",1.9175445090376144,1.7334885921060836,1.7320508075688732,4.6153632020344855,0.44057851589516617,1.7320508075688772,1.7320508075688772,1.7320907621439743,1.7322106203398007,1.7352841475286882,2.6459740474229947,3.0048039663955253,3.6750289670822336,0.0,0.0,0.0,0.0
"ARX MEPS, k = 10",1.9017297367395523,1.7334885921060836,1.7320508075688732,4.591472234037924,0.4297556360915147,1.7320508075688772,1.7320508075688772,1.7320508075688772,1.7322106203397987,1.7352841475286882,2.281040727666027,3.002600673915175,3.6579738838151936,0.0,0.0,0.0,0.0
"ARX MEPS, k = 15",2.138514320259204,2.0009986327711613,1.9999999999999964,4.5241201323485685,0.36714783024261394,2.0,2.0,2.0,2.0001384035156144,2.0028008070360763,2.4610651208069956,3.037064551815889,3.750476030534744,0.0,0.0,0.0,0.0
"ARX MEPS, k = 5, l = 2",1.9177643270350908,1.7334885921060836,1.7320508075688732,4.6153632020344855,0.440481798281625,1.7320508075688772,1.7320508075688772,1.7320907621439743,1.7322106203398007,1.7352841475286904,2.645986710990908,3.0047747953895088,3.67490117981702,0.0,0.0,0.0,0.0
"ARX MEPS, k = 5, l = 3",1.889997991293998,1.7334885921060816,1.7320508075688732,4.600929806362505,0.40413606185295003,1.7320508075688772,1.7320508075688772,1.7320508075688772,1.7322106203397987,1.7352841475286882,2.259733737005811,3.0,3.6150949763895657,0.0,0.0,0.0,0.0
"ARX MEPS, k = 5, t = 0.3",1.8888827083696584,1.7324103655717586,1.7320508075688732,4.496961250944244,0.4067309521877315,1.7320508075688732,1.7320508075688772,1.7320508075688772,1.7320907621439765,1.7330493956066135,2.2564453483634046,3.0000351410135204,3.619695375444659,0.0,0.0,0.0,0.0
"ARX MEPS, k = 5, t = 0.15",2.4178432609342724,2.2736644811867865,2.23606797749979,4.842485881406546,0.3548100512296459,2.23606797749979,2.2361917702241008,2.23684156962724,2.2439769441666635,2.3670459595019415,2.7352877925290557,3.335351177019961,3.9454563655062302,0.0,0.0,0.0,0.0
"DP MEPS, epsilon = 10.0",2.0578325962864294,2.0075758582802457,0.12142224603100925,5.493921570969751,1.0634408866484024,0.12153618182299003,0.12278249778369014,0.12703746510604022,1.4224990562694966,2.8293841273873377,3.194037877586701,3.748949811857389,4.707826080773792,0.0,0.0,0.0,0.0
"DP MEPS, epsilon = 5.0",2.028252396147541,2.0250144371139758,0.11940882144271636,5.309860741714053,1.0049744882723348,0.11940882144271636,0.11940882144271636,0.11964041942475134,1.4235150718668785,2.4809587872399166,3.1650543744589807,3.4955917260063116,4.7061784821747565,0.0,0.0,0.0,0.0
"DP MEPS, epsilon = 3.0",2.0207187751212383,2.010127077814533,0.08955853293881692,5.304891909385951,1.0006544212851913,0.08955853293881692,0.08955853293881692,0.08986709155160778,1.4261401028320468,2.484518923856282,3.169304700044172,3.492381707843095,4.705515717779351,0.0,0.0,0.0,11.781427668982944
"DP MEPS, epsilon = 1.0",2.1339930446104156,2.0909377244904817,0.06836394460480057,5.144474843600431,1.0522975425789802,0.06836394460480057,0.06836394460480057,0.13606784841302885,1.4411983698335116,2.834043340636056,3.2492174046654125,3.7559349231777968,4.706952333784626,0.0,0.0,0.0,9.229311433986103
"DP MEPS, epsilon = 0.5",2.1953819816774005,2.4502382055595056,0.07813461108124431,5.354640589990418,1.0140426336744222,0.07813461108124431,0.07813461108124431,0.26803836099131173,1.679295049266572,2.833163679728713,3.4646607157960365,3.7513069383190283,4.472521389328669,0.0,0.0,0.0,9.879974731522426
"Combined MEPS, k = 3 + epsilon = 0.5",2.36534956633978,2.241361974669657,1.0011915559377036,5.8061685219433015,1.028417345003893,1.0017112521449132,1.0017112521449132,1.0017803356915247,1.7344763277818644,3.001700757836154,3.8743008968837396,4.435932470786415,5.419125938023606,0.0,0.0,0.0,0.0
"Combined MEPS, k = 3 + epsilon = 1.0",2.2115678854151115,2.237353192897292,1.0023340904717952,5.775006007803594,1.0371533822718935,1.0023340904717952,1.0023340904717952,1.0024031310936807,1.0983993913183963,2.685485395117758,3.6194472368868436,4.1531811735742075,5.244169483300586,0.0,0.0,0.0,0.0
"Combined MEPS, k = 3 + epsilon = 3.0",2.184374141679451,2.237981659284263,1.0039961524202905,5.800333302917052,0.9470786680682497,1.0039961524202905,1.0039961524202905,1.0040650787569703,1.7335276416908736,2.657082510237043,3.389446185959331,3.9465483886333974,5.111691021516965,0.0,0.0,0.0,0.0
"Combined MEPS, k = 5 + epsilon = 0.5",2.6376920242171864,2.2455522809858124,1.7327878032516437,5.918345751655097,0.836018867764695,1.7327878032516437,1.7330393627017622,1.7330792944866151,2.236833796390275,3.003728354968395,3.885234002605946,4.399372499217806,5.265022636674314,0.0,0.0,0.0,0.0
"Combined MEPS, k = 5 + epsilon = 1.0",2.5046381082803735,2.240750472613821,1.7331462264896622,5.745270562517868,0.819217733792657,1.7333263821267748,1.733399442979583,1.7334393664695673,1.7391955445696237,3.0026462831286485,3.6188656572006934,4.155343232370962,4.85683628077851,0.0,0.0,0.0,0.0
"Combined MEPS, k = 5 + epsilon = 3.0",2.4683285420002465,2.241853126313829,1.7330257589835818,5.840368271369208,0.7616931983646283,1.7330257589835818,1.7333515649649491,1.7343610564339673,1.7377253936950094,2.7016234528625507,3.6065776433647363,3.88432875387098,4.976164257356517,0.0,0.0,0.0,0.0
