index,age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
0,"[40, 80[",*,married,*,no,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
1,"[40, 80[",*,married,*,unknown,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
2,"[0, 40[",*,married,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
3,"[40, 80[",*,married,*,no,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
4,"[40, 80[",*,married,*,no,no,yes,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
5,"[40, 80[",*,married,*,unknown,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
6,"[40, 80[",*,married,*,no,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
7,"[40, 80[",*,married,*,unknown,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
8,"[0, 40[",*,single,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
9,"[0, 40[",*,single,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
10,"[40, 80[",*,married,*,unknown,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
11,"[0, 40[",*,single,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
12,"[0, 40[",*,single,*,no,no,yes,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
13,"[40, 80[",*,divorced,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
14,"[0, 40[",*,married,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
15,"[40, 80[",*,married,*,unknown,yes,yes,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
16,"[0, 40[",*,married,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
17,"[40, 80[",*,married,*,unknown,yes,yes,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
18,"[40, 80[",*,married,*,no,yes,yes,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
19,"[0, 40[",*,single,*,unknown,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
20,"[0, 40[",*,married,*,no,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
21,"[40, 80[",*,married,*,unknown,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
22,"[40, 80[",*,single,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
23,"[40, 80[",*,single,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
24,"[0, 40[",*,married,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
25,"[0, 40[",*,married,*,no,no,yes,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
26,"[40, 80[",*,married,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
27,"[0, 40[",*,married,*,unknown,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
28,"[40, 80[",*,single,*,unknown,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
29,"[40, 80[",*,married,*,unknown,unknown,unknown,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
30,"[40, 80[",*,married,*,no,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
31,"[40, 80[",*,married,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
32,"[40, 80[",*,married,*,no,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
33,"[40, 80[",*,married,*,unknown,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
34,"[40, 80[",*,divorced,*,no,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
35,"[40, 80[",*,married,*,unknown,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
36,"[0, 40[",*,married,*,no,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
37,"[40, 80[",*,married,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
38,"[40, 80[",*,married,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
39,"[40, 80[",*,married,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
41,"[0, 40[",*,married,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
42,"[0, 40[",*,single,*,no,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
43,"[40, 80[",*,married,*,no,no,yes,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
44,"[40, 80[",*,married,*,unknown,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
45,"[40, 80[",*,single,*,unknown,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
46,"[40, 80[",*,married,*,no,yes,yes,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
47,"[40, 80[",*,married,*,no,no,yes,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
48,"[0, 40[",*,married,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
49,"[40, 80[",*,married,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
50,"[40, 80[",*,married,*,no,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
51,"[0, 40[",*,married,*,no,no,yes,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
52,"[40, 80[",*,married,*,no,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
53,"[40, 80[",*,single,*,no,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
54,"[40, 80[",*,married,*,unknown,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
55,"[40, 80[",*,married,*,unknown,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
56,"[40, 80[",*,married,*,unknown,no,yes,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
57,"[40, 80[",*,married,*,unknown,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
58,"[40, 80[",*,married,*,unknown,yes,yes,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
59,"[0, 40[",*,single,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
60,"[40, 80[",*,married,*,unknown,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
61,"[40, 80[",*,married,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
62,"[40, 80[",*,married,*,unknown,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
63,"[40, 80[",*,married,*,unknown,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
64,"[40, 80[",*,married,*,no,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
65,"[0, 40[",*,married,*,no,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
66,"[40, 80[",*,single,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
67,"[0, 40[",*,married,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
68,"[40, 80[",*,married,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
69,"[40, 80[",*,single,*,unknown,yes,yes,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
70,"[40, 80[",*,married,*,no,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
71,"[40, 80[",*,divorced,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
72,"[40, 80[",*,married,*,unknown,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
73,"[40, 80[",*,married,*,unknown,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
74,"[0, 40[",*,married,*,unknown,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
75,"[40, 80[",*,divorced,*,unknown,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,yes
76,"[40, 80[",*,married,*,no,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
77,"[0, 40[",*,married,*,unknown,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
78,"[40, 80[",*,married,*,unknown,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
79,"[40, 80[",*,married,*,unknown,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
80,"[40, 80[",*,married,*,unknown,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
81,"[40, 80[",*,married,*,unknown,unknown,unknown,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
82,"[0, 40[",*,married,*,unknown,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
83,"[40, 80[",*,married,*,unknown,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,yes
84,"[0, 40[",*,single,*,no,no,yes,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
85,"[0, 40[",*,divorced,*,no,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
86,"[40, 80[",*,married,*,no,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
87,"[0, 40[",*,married,*,no,yes,yes,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
88,"[40, 80[",*,married,*,no,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,yes
89,"[0, 40[",*,married,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
90,"[0, 40[",*,married,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
91,"[40, 80[",*,married,*,unknown,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
92,"[40, 80[",*,married,*,unknown,no,yes,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
93,"[0, 40[",*,married,*,no,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
94,"[40, 80[",*,married,*,no,no,yes,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
95,"[40, 80[",*,married,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
