1,"None","No Schooling","No education","*"
2,"Preschool","Primary School","Primary education","*"
3,"Preschool","Primary School","Primary education","*"
4,"1st-4th","Primary School","Primary education","*"
5,"1st-4th","Primary School","Primary education","*"
6,"1st-4th","Primary School","Primary education","*"
7,"1st-4th","Primary School","Primary education","*"
8,"5th-6th","Primary School","Primary education","*"
9,"5th-6th","Primary School","Primary education","*"
10,"7th-8th","High School","Secondary education","*"
11,"7th-8th","High School","Secondary education","*"
12,"9th","High School","Secondary education","*"
13,"10th","High School","Secondary education","*"
14,"11th","High School","Secondary education","*"
15,"12th","High School","Secondary education","*"
16,"HS-grad","High School","Secondary education","*"
17,"HS-grad","High School","Secondary education","*"
18,"Some-college","Undergraduate","Higher education","*"
19,"Some-college","Undergraduate","Higher education","*"
20,"Assoc-acdm","Professional Education","Higher education","*"
21,"Bachelors","Undergraduate","Higher education","*"
22,"Masters","Graduate","Higher education","*"
23,"Prof-school","Professional Education","Higher education","*"
24,"Doctorate","Graduate","Higher education","*"
