9,"N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)","Unemployed / NA","Unemployed / NA","*"
10,"Chief Executives And Legislators","Management","White Collar / Management","*"
20,"General And Operations Managers","Management","White Collar / Management","*"
40,"Advertising And Promotions Managers","Management","White Collar / Management","*"
51,"Marketing Managers","Management","White Collar / Management","*"
52,"Sales Managers","Management","White Collar / Management","*"
60,"Public Relations And Fundraising Managers","Management","White Collar / Management","*"
101,"Administrative Services Managers","Management","White Collar / Management","*"
102,"Facilities Managers","Management","White Collar / Management","*"
110,"Computer And Information Systems Managers","Management","White Collar / Management","*"
120,"Financial Managers","Management","White Collar / Management","*"
135,"Compensation And Benefits Managers","Management","White Collar / Management","*"
136,"Human Resources Managers","Management","White Collar / Management","*"
137,"Training And Development Managers","Management","White Collar / Management","*"
140,"Industrial Production Managers","Management","White Collar / Management","*"
150,"Purchasing Managers","Management","White Collar / Management","*"
160,"Transportation, Storage, And Distribution Managers","Management","White Collar / Management","*"
205,"Farmers, Ranchers, And Other Agricultural Managers","Management","White Collar / Management","*"
220,"Construction Managers","Management","White Collar / Management","*"
230,"Education And Childcare Administrators","Management","White Collar / Management","*"
300,"Architectural And Engineering Managers","Management","White Collar / Management","*"
310,"Food Service Managers","Management","White Collar / Management","*"
335,"Entertainment and Recreation Managers","Management","White Collar / Management","*"
340,"Lodging Managers","Management","White Collar / Management","*"
350,"Medical And Health Services Managers","Management","White Collar / Management","*"
360,"Natural Sciences Managers","Management","White Collar / Management","*"
410,"Property, Real Estate, And Community Association Managers","Management","White Collar / Management","*"
420,"Social And Community Service Managers","Management","White Collar / Management","*"
425,"Emergency Management Directors","Management","White Collar / Management","*"
440,"Other Managers","Management","White Collar / Management","*"
500,"Agents And Business Managers Of Artists, Performers, And Athletes","Business Operations","White Collar / Business","*"
510,"Buyers And Purchasing Agents, Farm Products","Business Operations","White Collar / Business","*"
520,"Wholesale And Retail Buyers, Except Farm Products","Business Operations","White Collar / Business","*"
530,"Purchasing Agents, Except Wholesale, Retail, And Farm Products","Business Operations","White Collar / Business","*"
540,"Claims Adjusters, Appraisers, Examiners, And Investigators","Business Operations","White Collar / Business","*"
565,"Compliance Officers","Business Operations","White Collar / Business","*"
600,"Cost Estimators","Business Operations","White Collar / Business","*"
630,"Human Resources Workers","Business Operations","White Collar / Business","*"
640,"Compensation, Benefits, And Job Analysis Specialists","Business Operations","White Collar / Business","*"
650,"Training And Development Specialists","Business Operations","White Collar / Business","*"
700,"Logisticians","Business Operations","White Collar / Business","*"
705,"Project Management Specialists","Business Operations","White Collar / Business","*"
710,"Management Analysts","Business Operations","White Collar / Business","*"
725,"Meeting, Convention, And Event Planners","Business Operations","White Collar / Business","*"
726,"Fundraisers","Business Operations","White Collar / Business","*"
735,"Market Research Analysts And Marketing Specialists","Business Operations","White Collar / Business","*"
750,"Business Operations Specialists, All Other","Business Operations","White Collar / Business","*"
800,"Accountants And Auditors","Financial","White Collar / Business","*"
810,"Property Appraisers and Assessors","Financial","White Collar / Business","*"
820,"Budget Analysts","Financial","White Collar / Business","*"
830,"Credit Analysts","Financial","White Collar / Business","*"
845,"Financial And Investment Analysts","Financial","White Collar / Business","*"
850,"Personal Financial Advisors","Financial","White Collar / Business","*"
860,"Insurance Underwriters","Financial","White Collar / Business","*"
900,"Financial Examiners","Financial","White Collar / Business","*"
910,"Credit Counselors And Loan Officers","Financial","White Collar / Business","*"
930,"Tax Examiners And Collectors, And Revenue Agents","Financial","White Collar / Business","*"
940,"Tax Preparers","Financial","White Collar / Business","*"
960,"Other Financial Specialists","Financial","White Collar / Business","*"
1005,"Computer And Information Research Scientists","Computer & Math","STEM","*"
1006,"Computer Systems Analysts","Computer & Math","STEM","*"
1007,"Information Security Analysts","Computer & Math","STEM","*"
1010,"Computer Programmers","Computer & Math","STEM","*"
1021,"Software Developers","Computer & Math","STEM","*"
1022,"Software Quality Assurance Analysts and Testers","Computer & Math","STEM","*"
1031,"Web Developers","Computer & Math","STEM","*"
1032,"Web And Digital Interface Designers","Computer & Math","STEM","*"
1050,"Computer Support Specialists","Computer & Math","STEM","*"
1065,"Database Administrators and Architects","Computer & Math","STEM","*"
1105,"Network And Computer Systems Administrators","Computer & Math","STEM","*"
1106,"Computer Network Architects","Computer & Math","STEM","*"
1108,"Computer Occupations, All Other","Computer & Math","STEM","*"
1200,"Actuaries","Computer & Math","STEM","*"
1220,"Operations Research Analysts","Computer & Math","STEM","*"
1240,"Other Mathematical Science Occupations","Computer & Math","STEM","*"
1305,"Architects, Except Landscape And Naval","Engineering","STEM","*"
1306,"Landscape Architects","Engineering","STEM","*"
1310,"Surveyors, Cartographers, And Photogrammetrists","Engineering","STEM","*"
1320,"Aerospace Engineers","Engineering","STEM","*"
1340,"Biomedical And Agricultural Engineers","Engineering","STEM","*"
1350,"Chemical Engineers","Engineering","STEM","*"
1360,"Civil Engineers","Engineering","STEM","*"
1400,"Computer Hardware Engineers","Engineering","STEM","*"
1410,"Electrical And Electronics Engineers","Engineering","STEM","*"
1420,"Environmental Engineers","Engineering","STEM","*"
1430,"Industrial Engineers, Including Health And Safety","Engineering","STEM","*"
1440,"Marine Engineers And Naval Architects","Engineering","STEM","*"
1450,"Materials Engineers","Engineering","STEM","*"
1460,"Mechanical Engineers","Engineering","STEM","*"
1520,"Petroleum, Mining And Geological Engineers, Including Mining Safety Engineers","Engineering","STEM","*"
1530,"Other Engineers","Engineering","STEM","*"
1541,"Architectural And Civil Drafters","Engineering","STEM","*"
1545,"Other Drafters","Engineering","STEM","*"
1551,"Electrical And Electronic Engineering Technologists And Technicians","Engineering","STEM","*"
1555,"Other Engineering Technologists And Technicians, Except Drafters","Engineering","STEM","*"
1560,"Surveying And Mapping Technicians","Engineering","STEM","*"
1600,"Agricultural And Food Scientists","Science","STEM","*"
1610,"Biological Scientists","Science","STEM","*"
1640,"Conservation Scientists And Foresters","Science","STEM","*"
1650,"Other Life Scientists","Science","STEM","*"
1700,"Astronomers And Physicists","Science","STEM","*"
1710,"Atmospheric And Space Scientists","Science","STEM","*"
1720,"Chemists And Materials Scientists","Science","STEM","*"
1745,"Environmental Scientists And Specialists, Including Health","Science","STEM","*"
1750,"Geoscientists And Hydrologists, Except Geographers","Science","STEM","*"
1760,"Physical Scientists, All Other","Science","STEM","*"
1800,"Economists","Science","STEM","*"
1821,"Clinical And Counseling Psychologists","Science","STEM","*"
1822,"School Psychologists","Science","STEM","*"
1825,"Other Psychologists","Science","STEM","*"
1840,"Urban And Regional Planners","Science","STEM","*"
1860,"Other Social Scientists","Science","STEM","*"
