0,"Reference","Household","*"
1,"Spouse","Immediate-Family","*"
2,"Child","Immediate-Family","*"
3,"Child","Immediate-Family","*"
4,"Child","Immediate-Family","*"
5,"Sibling","Extended-Family","*"
6,"Parent","Extended-Family","*"
7,"Grandchild","Extended-Family","*"
8,"In-law","Extended-Family","*"
9,"In-law","Extended-Family","*"
10,"Other-Relative","Extended-Family","*"
11,"Roommate","Non-Relative","*"
12,"Roommate","Non-Relative","*"
13,"Partner","Non-Relative","*"
14,"Foster-Child","Non-Relative","*"
15,"Other-Non-Relative","Non-Relative","*"
16,"Institutionalized","Group-Quarters","*"
17,"Non-Institutionalized","Group-Quarters","*"
