1,Gen Phase 1,General,*
17,Gen Phase 2,General,*
18,Gen Phase 3,General,*
2,Ordinance,Special/Other,*
5,Azores,Special/Other,*
10,Ordinance,Special/Other,*
16,Madeira,Special/Other,*
26,Diff Plan,Special/Other,*
27,Other Inst,Special/Other,*
15,Intl Student,International,*
57,Change Inst (Intl),International,*
7,Higher Course,Degree Holders,*
44,Tech Diploma,Degree Holders,*
53,Short Cycle,Degree Holders,*
39,Over 23,Older Adult,*
42,Transfer,Transfer/Change,*
43,Change Course,Transfer/Change,*
51,Change Inst/Course,Transfer/Change,*
