1,Portugal,Domestic,*
2,Other Europe,International,*
6,Other Europe,International,*
11,Other Europe,International,*
13,Other Europe,International,*
14,Other Europe,International,*
17,Other Europe,International,*
62,Other Europe,International,*
100,Other Europe,International,*
103,Other Europe,International,*
105,Other Europe,International,*
21,Africa,International,*
22,Africa,International,*
24,Africa,International,*
25,Africa,International,*
26,Africa,International,*
41,Americas,International,*
101,Americas,International,*
108,Americas,International,*
109,Americas,International,*
32,Asia/Eurasia,International,*
