index,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
0,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,1,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Dropout
1,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Higher Ed,Employed,Employed,*,1,1,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
2,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,1,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Dropout
3,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Graduate
4,*,*,*,*,0,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
5,*,*,*,*,0,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,1,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,Low (0-2%),Recession (<0),Graduate
6,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,High (>2%),Recession (<0),Graduate
7,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,1,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,High (>2%),Recession (<0),Dropout
9,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Low (0-2%),Growth (>=0),Dropout
10,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
11,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,High (>2%),Recession (<0),Graduate
12,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,High (>2%),Recession (<0),Dropout
13,*,*,*,*,1,Higher Ed,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Low (0-2%),Growth (>=0),Graduate
14,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
15,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,High (>2%),Recession (<0),Dropout
16,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Enrolled
17,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,High (>2%),Recession (<0),Graduate
18,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
19,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,Low (0-2%),Recession (<0),Enrolled
20,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
21,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,High (>2%),Recession (<0),Enrolled
22,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,High (>2%),Recession (<0),Graduate
23,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
24,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
25,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Enrolled
26,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,Low (0-2%),Recession (<0),Graduate
27,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Enrolled
28,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,Low (0-2%),Recession (<0),Graduate
29,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Higher Ed,Employed,Employed,*,1,1,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,Low (0-2%),Recession (<0),Enrolled
30,*,*,*,*,1,Higher Ed,"""*""",Domestic,*,Higher Ed,Employed,Employed,*,0,1,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,Low (0-2%),Recession (<0),Enrolled
31,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Higher Ed,Employed,Employed,*,1,1,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Low (0-2%),Growth (>=0),Graduate
32,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,1,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Low (0-2%),Growth (>=0),Enrolled
33,*,*,*,*,0,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
34,*,*,*,*,0,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,1,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
35,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,1,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Low (0-2%),Growth (>=0),Dropout
36,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Not Employed/Unknown,Not Employed/Unknown,*,1,1,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Dropout
37,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,Low (0-2%),Recession (<0),Dropout
38,*,*,*,*,0,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Graduate
39,*,*,*,*,1,Higher Ed,"""*""",International,*,Higher Ed,Employed,Employed,*,0,0,0,*,1,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Dropout
40,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Higher Ed,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,High (>2%),Recession (<0),Dropout
41,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Low (0-2%),Growth (>=0),Graduate
42,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Higher Ed,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
43,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Dropout
44,*,*,*,*,0,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,Low (0-2%),Recession (<0),Dropout
45,*,*,*,*,0,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Enrolled
