Dataset,BlackBox_Accuracy,BlackBox_Balanced_Accuracy,BlackBox_Precision,BlackBox_Recall,BlackBox_F1_Score
No anonymization (Baseline),0.642556711190891,0.220224071714342,0.3034575634258262,0.220224071714342,0.25522628912606926
"ARX Employment, k = 3",0.627272407299861,0.1591151342662672,0.3272955795542777,0.1591151342662672,0.21413048111743704
"ARX Employment, k = 5",0.6279763476057231,0.1547313777072572,0.3813836521656401,0.1547313777072572,0.22014685150164692
"ARX Employment, k = 10",0.5937120532178871,0.1448348219290376,0.3367400574279228,0.1448348219290376,0.2025507905191034
"ARX Employment, k = 15",0.586338278513982,0.1447882488655004,0.2981524887583997,0.1447882488655004,0.19491987561945212
"ARX Employment, k = 5, l = 3",0.5951199338296113,0.1452170077714868,0.3454612117558969,0.1452170077714868,0.20447960180756963
"ARX Employment, k = 5, l = 5",0.5647713073931331,0.1387469619371185,0.3122145916960552,0.1387469619371185,0.1921176016947221
"ARX Employment, k = 5, t = 0.3",0.6148566601552189,0.1111723799653637,0.188162429159525,0.1111723799653637,0.13976633810737946
"ARX Employment, k = 5, t = 0.15",0.6147334706016929,0.1112068268307723,0.2455664404734892,0.1112068268307723,0.15308694413976504
"DP Employment, epsilon = 10.0",0.4523432412931383,0.1387178367309925,0.1395803022641359,0.1387178367309925,0.13914773307684908
"DP Employment, epsilon = 5.0",0.4387659926438238,0.1426962346393841,0.1434698741033536,0.1426962346393841,0.14308200861856668
"DP Employment, epsilon = 3.0",0.447706034528272,0.14534380535925986,0.1491622951487959,0.14534380535925986,0.1422156007848775
"DP Employment, epsilon = 1.0",0.4503810076905478,0.1424185541708862,0.1462662347911537,0.1424185541708862,0.14431675293923868
"DP Employment, epsilon = 0.5",0.4432096158245781,0.1467495787955474,0.1509487986253283,0.1467495787955474,0.14881957241334617
"DP Employment, epsilon = 0.1",0.4175157946606128,0.141214689255523,0.1418335800995569,0.141214689255523,0.14152345806878044
"Combined Employment, k = 3 + epsilon = 0.5",0.4847244953627932,0.1070808727947964,0.1080673422725783,0.1070808727947964,0.10757184601822396
"Combined Employment, k = 3 + epsilon = 1.0",0.4846453020783837,0.1073790828193855,0.1081069768918883,0.1073790828193855,0.10774180047267475
"Combined Employment, k = 3 + epsilon = 3.0",0.4716752019428752,0.1064847009237226,0.1067601361432734,0.1064847009237226,0.10662224065214526
"Combined Employment, k = 5 + epsilon = 0.5",0.4806592400964398,0.1169810129985647,0.1198379983734134,0.1169810129985647,0.11839227234525172
"Combined Employment, k = 5 + epsilon = 1.0",0.4597258152508667,0.1139357868859556,0.1127095167262769,0.1139357868859556,0.11331933442322642
"Combined Employment, k = 5 + epsilon = 3.0",0.4698097601323407,0.1174282922362257,0.1196834449386051,0.1174282922362257,0.11854514428972425
