Anonymization_Configuration,mean_distance,median_distance,min_distance,max_distance,std_distance,percentile_1st,percentile_5th,percentile_10th,percentile_25th,percentile_75th,percentile_90th,percentile_95th,percentile_99th,exact_matches_%,near_matches_1pct_%,near_matches_5pct_%,near_matches_10pct_%
No anonymization (Baseline),0.6173591181808511,0.0,0.0,3.1622776601683795,0.7662260847145159,0.0,0.0,0.0,0.0,1.4142135623730951,1.4142135623730951,2.0,2.0,59.563908980518455,59.563908980518455,59.563908980518455,59.563908980518455
"ARX Employment, k = 3",1.7337650599432106,1.7320508075688772,1.7320508075688772,2.6457513110645907,0.029873359346125554,1.7320508075688772,1.7320508075688772,1.7320508075688772,1.7320508075688772,1.7320508075688772,1.7320508075688772,1.7320508075688772,1.7320508075688772,0.0,0.0,0.0,0.0
"ARX Employment, k = 5",2.0008295870916863,2.0,2.0,2.8284271247461903,0.01975303683636766,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
"ARX Employment, k = 10",2.000683885732362,2.0,2.0,2.8284271247461903,0.017888269047653282,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
"ARX Employment, k = 15",2.2363387983447813,2.23606797749979,2.23606797749979,3.0,0.010706569377841967,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,0.0,0.0,0.0,0.0
"ARX Employment, k = 5, l = 3",2.0008253089301458,2.0,2.0,2.8284271247461903,0.019690872529671506,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
"ARX Employment, k = 5, l = 5",2.4496663037519153,2.449489742783178,2.449489742783178,3.1622776601683795,0.00825809957446887,2.449489742783178,2.449489742783178,2.449489742783178,2.449489742783178,2.449489742783178,2.449489742783178,2.449489742783178,2.449489742783178,0.0,0.0,0.0,0.0
"ARX Employment, k = 5, t = 0.3",3.0000317309149005,3.0,3.0,3.3166247903554,0.0031695090199024387,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0
"ARX Employment, k = 5, t = 0.15",3.000020223918604,3.0,3.0,3.3166247903554,0.0025304120180536585,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0
"DP Employment, epsilon = 10.0",0.853370559110402,1.4142135623730951,0.0,3.4641016151377544,0.8688997285482142,0.0,0.0,0.0,0.0,1.4142135623730951,2.0,2.0,2.449489742783178,48.458226531544256,48.458226531544256,48.458226531544256,48.458226531544256
"DP Employment, epsilon = 5.0",0.8537474776985374,1.4142135623730951,0.0,3.4641016151377544,0.8689942874662532,0.0,0.0,0.0,0.0,1.4142135623730951,2.0,2.0,2.449489742783178,48.439747952177434,48.439747952177434,48.439747952177434,48.439747952177434
"DP Employment, epsilon = 1.0",0.8505198906399754,1.4142135623730951,0.0,3.4641016151377544,0.8726013539290842,0.0,0.0,0.0,0.0,1.4142135623730951,2.0,2.0,2.8284271247461903,48.824630362417736,48.824630362417736,48.824630362417736,48.824630362417736
"DP Employment, epsilon = 3.0",0.8617207165002893,1.4142135623730951,0.0,3.7416573867739413,0.8671767208191764,0.0,0.0,0.0,0.0,1.4142135623730951,2.0,2.0,2.449489742783178,47.94663386278863,47.94663386278863,47.94663386278863,47.94663386278863
"DP Employment, epsilon = 0.5",0.8867786403972345,1.4142135623730951,0.0,3.1622776601683795,0.869105468542184,0.0,0.0,0.0,0.0,1.4142135623730951,2.0,2.0,2.449489742783178,46.51691977920737,46.51691977920737,46.51691977920737,46.51691977920737
"DP Employment, epsilon = 0.1",1.003133959913553,1.4142135623730951,0.0,3.4641016151377544,0.8801784681600798,0.0,0.0,0.0,0.0,1.4142135623730951,2.0,2.449489742783178,2.8284271247461903,40.34296243304814,40.34296243304814,40.34296243304814,40.34296243304814
"Combined Employment, k = 3 + epsilon = 0.5",1.7723264751420182,1.7320508075688772,1.7320508075688772,3.0,0.14526246478291296,1.7320508075688772,1.7320508075688772,1.7320508075688772,1.7320508075688772,1.7320508075688772,1.7320508075688772,2.23606797749979,2.23606797749979,0.0,0.0,0.0,0.0
"Combined Employment, k = 3 + epsilon = 1.0",1.7728490340184537,1.7320508075688772,1.7320508075688772,3.0,0.14679894489225737,1.7320508075688772,1.7320508075688772,1.7320508075688772,1.7320508075688772,1.7320508075688772,1.7320508075688772,2.23606797749979,2.23606797749979,0.0,0.0,0.0,0.0
"Combined Employment, k = 3 + epsilon = 3.0",1.7725692469627228,1.7320508075688772,1.7320508075688772,3.0,0.1460726404076384,1.7320508075688772,1.7320508075688772,1.7320508075688772,1.7320508075688772,1.7320508075688772,1.7320508075688772,2.23606797749979,2.23606797749979,0.0,0.0,0.0,0.0
"Combined Employment, k = 5 + epsilon = 0.5",2.0337212617264444,2.0,2.0,3.1622776601683795,0.1265823134334253,2.0,2.0,2.0,2.0,2.0,2.0,2.449489742783178,2.449489742783178,0.0,0.0,0.0,0.0
"Combined Employment, k = 5 + epsilon = 1.0",2.033824949328503,2.0,2.0,3.1622776601683795,0.12689824064668825,2.0,2.0,2.0,2.0,2.0,2.0,2.449489742783178,2.449489742783178,0.0,0.0,0.0,0.0
"Combined Employment, k = 5 + epsilon = 3.0",2.033705237171195,2.0,2.0,3.1622776601683795,0.12683950794138044,2.0,2.0,2.0,2.0,2.0,2.0,2.449489742783178,2.449489742783178,0.0,0.0,0.0,0.0
