9.0,"N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)","Unemployed / NA","Unemployed / NA","*"
10.0,"Chief Executives And Legislators","Management","White Collar / Management","*"
20.0,"General And Operations Managers","Management","White Collar / Management","*"
40.0,"Advertising And Promotions Managers","Management","White Collar / Management","*"
51.0,"Marketing Managers","Management","White Collar / Management","*"
52.0,"Sales Managers","Management","White Collar / Management","*"
60.0,"Public Relations And Fundraising Managers","Management","White Collar / Management","*"
101.0,"Administrative Services Managers","Management","White Collar / Management","*"
102.0,"Facilities Managers","Management","White Collar / Management","*"
110.0,"Computer And Information Systems Managers","Management","White Collar / Management","*"
120.0,"Financial Managers","Management","White Collar / Management","*"
135.0,"Compensation And Benefits Managers","Management","White Collar / Management","*"
136.0,"Human Resources Managers","Management","White Collar / Management","*"
137.0,"Training And Development Managers","Management","White Collar / Management","*"
140.0,"Industrial Production Managers","Management","White Collar / Management","*"
150.0,"Purchasing Managers","Management","White Collar / Management","*"
160.0,"Transportation, Storage, And Distribution Managers","Management","White Collar / Management","*"
205.0,"Farmers, Ranchers, And Other Agricultural Managers","Management","White Collar / Management","*"
220.0,"Construction Managers","Management","White Collar / Management","*"
230.0,"Education And Childcare Administrators","Management","White Collar / Management","*"
300.0,"Architectural And Engineering Managers","Management","White Collar / Management","*"
310.0,"Food Service Managers","Management","White Collar / Management","*"
335.0,"Entertainment and Recreation Managers","Management","White Collar / Management","*"
340.0,"Lodging Managers","Management","White Collar / Management","*"
350.0,"Medical And Health Services Managers","Management","White Collar / Management","*"
360.0,"Natural Sciences Managers","Management","White Collar / Management","*"
410.0,"Property, Real Estate, And Community Association Managers","Management","White Collar / Management","*"
420.0,"Social And Community Service Managers","Management","White Collar / Management","*"
425.0,"Emergency Management Directors","Management","White Collar / Management","*"
440.0,"Other Managers","Management","White Collar / Management","*"
500.0,"Agents And Business Managers Of Artists, Performers, And Athletes","Business Operations","White Collar / Business","*"
510.0,"Buyers And Purchasing Agents, Farm Products","Business Operations","White Collar / Business","*"
