Dataset,Hit_Precision
No anonymization (Baseline),95.48717948717949
"ARX Income, k = 3",0.05128205128205128
"ARX Income, k = 5",0.0
"ARX Income, k = 10",0.0
"ARX Income, k = 15",0.0
"ARX Income, k = 5, l = 5",0.0
"ARX Income, k = 5, t = 0.15",0.0
"DP Income, epsilon = 10.0",0.0
"DP Income, epsilon = 1.0",0.0
"DP Income, epsilon = 0.5",0.0
"Combined Income, k = 3 + epsilon = 0.5",0.0
"Combined Income, k = 3 + epsilon = 1.0",0.0
"Combined Income, k = 5 + epsilon = 0.5",0.0
"Combined Income, k = 5 + epsilon = 1.0",0.0
