Dataset,Accuracy,F1-Score,Precision,Recall
No anonymization (Baseline),0.8218894539135768,0.7945528503212875,0.7539718057731036,0.8397507788161994
"ARX Income, k = 3",0.6358827587969234,0.6251545523899719,0.5410007740290489,0.7403115264797507
"ARX Income, k = 5",0.630184243477372,0.6133376082077588,0.5369071007577884,0.7151401869158879
"ARX Income, k = 10",0.5155495361970716,0.5940123351036491,0.45255498270573646,0.8641121495327103
"ARX Income, k = 15",0.6389492244397311,0.6298110933528965,0.5434281322059954,0.7488473520249221
"ARX Income, k = 5, l = 3",0.6367260368486954,0.6253228612092141,0.5418874474693952,0.7391277258566978
"ARX Income, k = 5, l = 5",0.5155495361970716,0.5940123351036491,0.45255498270573646,0.8641121495327103
"ARX Income, k = 5, t = 0.3",0.591163468172642,0.5322613652974711,0.5014045717433214,0.5671651090342679
"ARX Income, k = 5, t = 0.15",0.6368282523701224,0.626550346857263,0.541761337816959,0.742803738317757
"DP Income, epsilon = 10.0",0.7521784683004115,0.6883475801786747,0.7107778072736926,0.6672897196261682
"DP Income, epsilon = 5.0",0.7516673906932768,0.6879655792447984,0.709752219424937,0.6674766355140187
"DP Income, epsilon = 3.0",0.7382004957452789,0.6591249376143736,0.7072474116387004,0.6171339563862929
"DP Income, epsilon = 1.0",0.7423657782434263,0.6813728588584792,0.6913801949717804,0.6716510903426791
"DP Income, epsilon = 0.5",0.7234814606598012,0.6426944031698861,0.6836670179135933,0.6063551401869159
"DP Income, epsilon = 0.1",0.6590856821608361,0.6146558447185234,0.5729362985299661,0.6629283489096574
"Combined Income, k = 3 + epsilon = 0.5",0.6049881174456341,0.6056028984028168,0.5127894918769443,0.7394392523364486
"Combined Income, k = 3 + epsilon = 1.0",0.6018194362813993,0.5860914838229825,0.5108353398777551,0.6873520249221183
"Combined Income, k = 3 + epsilon = 3.0",0.611683234099098,0.6108379430444582,0.5185668318984259,0.7430529595015576
"Combined Income, k = 5 + epsilon = 0.5",0.5920323001047709,0.6161059946617934,0.5016642518698359,0.7981931464174454
"Combined Income, k = 5 + epsilon = 1.0",0.599085171083229,0.6175187108413175,0.507228963915255,0.7890965732087227
"Combined Income, k = 5 + epsilon = 3.0",0.5755756011550354,0.5799762284095794,0.48810283914357466,0.7144548286604362
