Region,Country,ISP,Organization,Autonomous System,Postal Code,Latitude,Longitude,count
Aichi,Japan,KATCH Network Inc.,KATCH,AS59108 KATCH NETWORK INC.,46******,35.18,136.89,1
Alabama,United States,AT&T Corp.,Charter Comms - BHM,AS6389 AT&T Corp.,35***,33.48,-86.79,1
Alabama,United States,DoD Network Information Center,Air Force Systems Networking,AS367 DoD Network Information Center,36***,32.4,-86.24,2
Alabama,United States,DoD Network Information Center,Air Force Systems Networking,AS56 DoD Network Information Center,36***,32.4,-86.24,1
Alabama,United States,DoD Network Information Center,Air Force Systems Networking,AS721 DoD Network Information Center,36***,32.4,-86.24,3
Alabama,United States,DoD Network Information Center,Air Force Systems Networking,AS749 DoD Network Information Center,36***,32.4,-86.24,2
Alabama,United States,Google Fiber Inc.,Google Fiber Inc,AS16591 Google Fiber Inc.,35***,34.73,-86.57,1
Alabama,United States,Mediacom Communications,MEDIACOM,AS30036 Mediacom Communications Corp,36***,31.13,-87.1,1
Alabama,United States,Sprint,Alanet,AS1239 Sprint,36***,31.22,-85.39,1
Alabama,United States,"TekLinks, Inc.","TekLinks, Inc","AS33606 TekLinks, Inc.",35***,33.89,-87.17,1
Alabama,United States,WideOpenWest Finance LLC,WideOpenWest Finance LLC,AS12083 WideOpenWest Finance LLC,35***,34.73,-86.57,1
Alaska,United States,"AT&T Services, Inc.",Alascom,"AS7018 AT&T Services, Inc.",99***,61.23,-149.88,1
Alberta,Canada,Elk Island Public Schools Regional Division #14,Elk Island Public Schools Regional Division,AS54605 The Board of Trustees of Elk Island Public Schools,T8*,53.51,-113.33,1
Alberta,Canada,Reserved AS,Edmonton Power,AS23448 ASN-EPCOR,T5*,53.54,-113.51,1
Alberta,Canada,TELUS Communications Inc,TELUS-DSL-EDTNABXM,AS852 TELUS Communications Inc.,T5*,53.56,-113.48,1
Alberta,Canada,TELUS Communications Inc,TELUS-FIBRE-CLGRAB49,AS852 TELUS Communications Inc.,T2*,50.88,-114.03,1
Alberta,Canada,TELUS Communications Inc,TELUS-FIBRE-EDTNABXW,AS852 TELUS Communications Inc.,T5*,53.52,-113.66,1
