Device_ID,Device_Type,LAI,RAI,Network_Type
D1000,Smartphone,240-52-4634,240-52-4634-12,4G
D1001,Smartphone,240-80-9156,240-80-9156-78,5G
D1002,IoT Device,240-60-1338,240-60-1338-31,3G
D1003,Tablet,240-01-5396,240-01-5396-73,4G
D1004,IoT Device,240-71-5809,240-71-5809-63,4G
D1005,Smartphone,240-47-2014,240-47-2014-71,3G
D1006,Smartphone,240-82-5682,240-82-5682-63,4G
D1007,Tablet,240-90-6671,240-90-6671-52,4G
D1008,IoT Device,240-48-1580,240-48-1580-38,3G
D1009,Tablet,240-93-5554,240-93-5554-98,4G
D1010,Smartphone,240-32-5041,240-32-5041-31,4G
D1011,Tablet,240-77-8329,240-77-8329-32,5G
D1012,Smartphone,240-18-2191,240-18-2191-49,3G
D1013,Tablet,240-04-3732,240-04-3732-96,4G
D1014,IoT Device,240-70-1925,240-70-1925-23,3G
D1015,IoT Device,240-41-7510,240-41-7510-65,5G
D1016,Smartphone,240-75-1251,240-75-1251-40,3G
D1017,IoT Device,240-34-9428,240-34-9428-94,5G
D1018,Tablet,240-81-8686,240-81-8686-57,5G
D1019,IoT Device,240-78-5051,240-78-5051-83,4G
D1020,IoT Device,240-14-8959,240-14-8959-18,5G
D1021,IoT Device,240-98-4582,240-98-4582-51,4G
D1022,Smartphone,240-85-2765,240-85-2765-79,3G
D1023,Smartphone,240-55-2895,240-55-2895-80,3G
D1024,Smartphone,240-64-6206,240-64-6206-93,4G
D1025,Tablet,240-02-4385,240-02-4385-12,4G
D1026,Smartphone,240-60-7262,240-60-7262-43,5G
D1027,Tablet,240-80-3724,240-80-3724-46,4G
D1028,Smartphone,240-38-8374,240-38-8374-37,5G
D1029,Tablet,240-68-7823,240-68-7823-22,5G
D1030,Tablet,240-06-5703,240-06-5703-28,4G
D1031,Tablet,240-90-2915,240-90-2915-90,3G
D1032,IoT Device,240-31-7789,240-31-7789-11,5G
D1033,Tablet,240-27-3350,240-27-3350-57,3G
D1034,Tablet,240-46-2095,240-46-2095-83,3G
D1035,Smartphone,240-25-3671,240-25-3671-57,4G
D1036,Tablet,240-30-7409,240-30-7409-61,5G
D1037,IoT Device,240-90-2268,240-90-2268-87,3G
D1038,Tablet,240-59-5097,240-59-5097-59,4G
D1039,Tablet,240-88-9427,240-88-9427-36,5G
D1040,Smartphone,240-08-7596,240-08-7596-11,5G
D1041,Smartphone,240-11-3733,240-11-3733-43,4G
D1042,IoT Device,240-88-3535,240-88-3535-37,4G
D1043,Tablet,240-71-3179,240-71-3179-40,3G
D1044,Tablet,240-92-1762,240-92-1762-72,3G
D1045,Tablet,240-77-3283,240-77-3283-72,3G
D1046,Tablet,240-18-3672,240-18-3672-64,4G
D1047,IoT Device,240-09-9521,240-09-9521-35,5G
D1048,Smartphone,240-01-3819,240-01-3819-15,4G
D1049,IoT Device,240-30-8032,240-30-8032-62,5G
D1050,IoT Device,240-70-6330,240-70-6330-14,4G
D1051,Smartphone,240-47-1070,240-47-1070-78,3G
D1052,Tablet,240-44-6823,240-44-6823-81,4G
D1053,Smartphone,240-49-8983,240-49-8983-90,5G
D1054,IoT Device,240-36-9280,240-36-9280-49,5G
D1055,IoT Device,240-88-9395,240-88-9395-33,5G
D1056,Smartphone,240-87-9901,240-87-9901-83,5G
D1057,IoT Device,240-16-2578,240-16-2578-91,3G
D1058,Smartphone,240-74-1768,240-74-1768-31,3G
D1059,Smartphone,240-26-1007,240-26-1007-36,3G
D1060,Smartphone,240-36-8750,240-36-8750-24,5G
D1061,IoT Device,240-18-3030,240-18-3030-64,3G
D1062,IoT Device,240-19-7012,240-19-7012-30,5G
D1063,Tablet,240-17-3225,240-17-3225-52,3G
D1064,Smartphone,240-40-3524,240-40-3524-77,4G
D1065,Smartphone,240-95-3615,240-95-3615-57,4G
D1066,Smartphone,240-72-1492,240-72-1492-35,3G
D1067,Smartphone,240-87-5664,240-87-5664-60,4G
D1068,Tablet,240-55-6414,240-55-6414-90,4G
D1069,Tablet,240-89-8950,240-89-8950-26,5G
D1070,IoT Device,240-16-8271,240-16-8271-92,5G
D1071,Smartphone,240-88-8484,240-88-8484-19,5G
D1072,IoT Device,240-94-3593,240-94-3593-42,4G
D1073,Tablet,240-05-4027,240-05-4027-15,4G
D1074,Tablet,240-85-2573,240-85-2573-51,3G
D1075,Smartphone,240-07-7112,240-07-7112-69,5G
D1076,Tablet,240-10-5807,240-10-5807-85,4G
D1077,IoT Device,240-84-3959,240-84-3959-17,4G
D1078,Tablet,240-94-2014,240-94-2014-26,3G
D1079,Tablet,240-66-3746,240-66-3746-12,4G
D1080,Tablet,240-17-2349,240-17-2349-66,3G
D1081,Tablet,240-11-9817,240-11-9817-69,5G
D1082,Smartphone,240-53-4841,240-53-4841-74,4G
D1083,Tablet,240-69-6258,240-69-6258-69,4G
D1084,Tablet,240-74-4199,240-74-4199-57,4G
D1085,Tablet,240-69-2920,240-69-2920-55,3G
D1086,Smartphone,240-26-9097,240-26-9097-23,5G
D1087,IoT Device,240-84-4086,240-84-4086-56,4G
D1088,IoT Device,240-29-5214,240-29-5214-37,4G
D1089,Smartphone,240-99-7114,240-99-7114-23,5G
D1090,IoT Device,240-65-6892,240-65-6892-21,4G
D1091,Tablet,240-13-6883,240-13-6883-71,4G
D1092,Tablet,240-41-3231,240-41-3231-61,3G
D1093,IoT Device,240-29-3274,240-29-3274-81,3G
D1094,Smartphone,240-37-7011,240-37-7011-63,5G
D1095,Smartphone,240-85-6723,240-85-6723-16,4G
D1096,Smartphone,240-62-6311,240-62-6311-95,4G
D1097,Smartphone,240-22-6373,240-22-6373-45,4G
D1098,IoT Device,240-91-7171,240-91-7171-34,5G
D1099,IoT Device,240-22-2538,240-22-2538-66,3G
D1100,Tablet,240-09-7877,240-09-7877-17,5G
D1101,Tablet,240-52-5285,240-52-5285-57,4G
D1102,IoT Device,240-34-2794,240-34-2794-68,3G
D1103,Tablet,240-91-7739,240-91-7739-98,5G
D1104,Tablet,240-20-2749,240-20-2749-30,3G
D1105,Smartphone,240-37-6501,240-37-6501-89,4G
D1106,Smartphone,240-29-5111,240-29-5111-47,4G
D1107,Tablet,240-73-8391,240-73-8391-47,5G
D1108,Smartphone,240-08-9619,240-08-9619-41,5G
D1109,Smartphone,240-06-6932,240-06-6932-17,4G
D1110,IoT Device,240-10-8965,240-10-8965-47,5G
D1111,Tablet,240-91-3459,240-91-3459-89,3G
D1112,IoT Device,240-63-1069,240-63-1069-78,3G
D1113,Tablet,240-18-5028,240-18-5028-24,4G
D1114,Smartphone,240-63-8417,240-63-8417-19,5G
D1115,Smartphone,240-68-1391,240-68-1391-81,3G
D1116,IoT Device,240-90-3366,240-90-3366-86,3G
D1117,Tablet,240-48-5697,240-48-5697-54,4G
D1118,Tablet,240-36-1387,240-36-1387-61,3G
D1119,Tablet,240-68-3295,240-68-3295-89,3G
D1120,Smartphone,240-71-9231,240-71-9231-32,5G
D1121,IoT Device,240-36-8119,240-36-8119-37,5G
D1122,Smartphone,240-65-2770,240-65-2770-78,3G
D1123,Smartphone,240-16-2888,240-16-2888-54,3G
D1124,Smartphone,240-61-6511,240-61-6511-72,4G
D1125,Tablet,240-82-8446,240-82-8446-56,5G
D1126,Tablet,240-92-6458,240-92-6458-16,4G
D1127,Tablet,240-58-4361,240-58-4361-10,4G
D1128,IoT Device,240-58-2668,240-58-2668-55,3G
D1129,Tablet,240-41-1492,240-41-1492-87,3G
D1130,IoT Device,240-58-5871,240-58-5871-12,4G
D1131,IoT Device,240-39-9300,240-39-9300-63,5G
D1132,Smartphone,240-61-4839,240-61-4839-10,4G
D1133,Tablet,240-79-8158,240-79-8158-97,5G
D1134,Tablet,240-19-8994,240-19-8994-23,5G
D1135,Tablet,240-84-4885,240-84-4885-32,4G
D1136,IoT Device,240-78-1972,240-78-1972-69,3G
D1137,Smartphone,240-80-8495,240-80-8495-90,5G
D1138,Tablet,240-39-7222,240-39-7222-71,5G
D1139,Tablet,240-45-1034,240-45-1034-78,3G
D1140,IoT Device,240-11-7540,240-11-7540-34,5G
D1141,Tablet,240-90-7459,240-90-7459-38,5G
