City,Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System
City of Westminster,England,United Kingdom,SW*,51.508,-0.128,Europe/London,Trustmarque Solutions Ltd,Trustmarque Solutions Limited,AS196744 Capita Business Services Ltd
Warangal,Telangana,India,50****,17.996,79.578,Asia/Kolkata,BSNL Internet,,AS9829 National Internet Backbone
The Hague,South Holland,The Netherlands,25**,52.07,4.301,Europe/Amsterdam,GEMNET,Gemnet B.V.,
Guangzhou,Guangdong,China,,23.129,113.264,Asia/Shanghai,CERNET,,AS4538 China Education and Research Network Center
Perth,Western Australia,Australia,61**,-32.189,115.969,Australia/Perth,Australian Academic and Research Network,Murdoch Univ,AS7575 Australian Academic and Research Network (AARNet)
Kansas City,Missouri,United States,64***,39.1,-94.579,America/Chicago,"AT&T Services, Inc.",Private Customer - AT&T Internet Services,"AS7018 AT&T Services, Inc."
Miami,Florida,United States,33***,25.812,-80.232,America/New_York,"Comcast Cable Communications, LLC","Comcast Cable Communications, LLC","AS20214 Comcast Cable Communications, LLC"
Torreón,Coahuila,Mexico,27***,25.54,-103.429,America/Monterrey,Uninet S.A. de C.V.,UNINET,AS8151 UNINET
Palo Alto,California,United States,94***,37.412,-122.148,America/Los_Angeles,HP Inc.,HP Inc,
Chuo,Tokyo,Japan,28******,35.674,139.776,Asia/Tokyo,JR East Information Systems Company,JR East Japan Information Systems Company,AS131932 JR East Information Systems Company
,,,,,,,,,
Whitehall,Ohio,United States,43***,39.975,-82.895,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Seattle,Washington,United States,98***,47.623,-122.337,America/Los_Angeles,Amazon.com,"Amazon.com, Inc",
Geumsan-gun,Chungcheongnam-do,South Korea,32*,36.102,127.483,Asia/Seoul,CMB,CMB Chungcheong Broadcasting,AS38133 CMB
Chiyoda,Tokyo,Japan,10******,35.691,139.77,Asia/Tokyo,DION (KDDI CORPORATION),KDDI,AS2516 KDDI CORPORATION
Chennai,Tamil Nadu,India,60****,13.052,80.25,Asia/Kolkata,Dishnet Wireless Limited,Aircel Limited,
Paris,Île-de-France,France,75***,48.857,2.352,Europe/Paris,Societe Francaise Du Radiotelephone - SFR SA,SFR User Data,AS15557 Societe Francaise Du Radiotelephone - SFR SA
Abu Dhabi,Abu Dhabi,United Arab Emirates,,24.454,54.377,Asia/Dubai,Emirates Telecommunications Corporation,,AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC
Haddington,Scotland,United Kingdom,EH**,55.919,-2.755,Europe/London,BorderLink Broadband Limited,,AS205847 GoFibre Holdings Limited
Sekupang,Riau Islands,Indonesia,,1.115,103.975,Asia/Pontianak,PT Solnet Indonesia,,AS9422 PT SOLNET INDONESIA
,,,,,,,,,
The Bronx,New York,United States,10***,40.873,-73.873,America/New_York,Cablevision Systems Corp.,Purdue Pharamacy,AS54004 Optimum WiFi
Mexico City,Mexico City,Mexico,11***,19.404,-99.242,America/Mexico_City,"Mexico Red de Telecomunicaciones, S. de R.L. de C.V.","Mexico Red de Telecomunicaciones, S. de R.L. de C.V","AS13591 Mexico Red de Telecomunicaciones, S. de R.L. de C.V."
Reston,Virginia,United States,20***,38.952,-77.378,America/New_York,Sprint,Sprint,
Banqiao,Taipei,Taiwan,,25.011,121.462,Asia/Taipei,"Far EastTone Telecommunication Co., Ltd.","Far EasTone Telecommunication Co., Ltd.","AS9674 Far EastTone Telecommunication Co., Ltd."
,,,,,,,,,
Fort Collins,Colorado,United States,80***,40.56,-105.081,America/Denver,USDA,USDA Office of Operations,AS4152 USDA
Minatomirai,Kanagawa,Japan,22******,35.464,139.626,Asia/Tokyo,UCOM Corp.,broadgate,AS17506 ARTERIA Networks Corporation
Ōtemae,Ōsaka,Japan,54******,34.684,135.524,Asia/Tokyo,Softbank BB Corp.,SOFTBANK Corp,AS17676 SoftBank Corp.
,,,,,,,,,
Zhengzhou,Henan,China,45****,34.747,113.625,Asia/Shanghai,CNC Group CHINA169 Henan Province Network,,AS4837 CHINA UNICOM China169 Backbone
Chicago,Illinois,United States,60***,41.878,-87.63,America/Chicago,"T-Mobile USA, Inc.","T-Mobile USA, Inc.","AS21928 T-Mobile USA, Inc."
Ayamonte,Andalusia,Spain,21***,37.211,-7.402,Europe/Madrid,Orange Spain,Jazztel triple play services,AS12479 Orange Espagne SA
,,,,,,,,,
Juiz de Fora,Minas Gerais,Brazil,36***,-21.744,-43.434,America/Sao_Paulo,V tal,V tal,AS7738 V tal
Sierra Vista,Arizona,United States,85***,31.555,-110.35,America/Phoenix,CONUS-YPG,USAISC,AS749 DoD Network Information Center
,,,,,,,,,
Lamar,Colorado,United States,81***,38.083,-102.624,America/Denver,"CenturyLink Communications, LLC","CenturyLink Communications, LLC","AS22561 CenturyLink Communications, LLC"
Whitehall,Ohio,United States,43***,39.975,-82.895,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Seattle,Washington,United States,98***,47.622,-122.337,America/Los_Angeles,Amazon Technologies Inc.,Amazon Technologies Inc,
Paris,Île-de-France,France,75***,48.832,2.408,Europe/Paris,Orange,,AS3215 Orange S.A.
Green Bay,Wisconsin,United States,54***,44.496,-87.927,America/Chicago,Charter Communications,Spectrum,AS10796 Charter Communications Inc
Bradley Stoke,England,United Kingdom,BS**,51.548,-2.558,Europe/London,EE Limited,,
,,,,,,,,,
Grenoble,Auvergne-Rhône-Alpes,France,38***,45.207,5.693,Europe/Paris,ESRF-GRENOBLE,The ESRF,AS1942 Renater
Sao Cristovao,Rio de Janeiro,Brazil,,-22.903,-43.219,America/Sao_Paulo,TIM S/A,Tim Celular S.A.,AS26615 TIM S/A
Shenzhen,Guangdong,China,,22.543,114.058,Asia/Shanghai,China Mobile,China Mobile Communications Corporation,"AS9808 China Mobile Communications Group Co., Ltd."
,,,,,,,,,
Haidian,Beijing,China,,39.9,116.334,Asia/Shanghai,North Star Information Hi.tech Ltd. Co,North Star Information Hi.tech Ltd. Co,
Madrid,Madrid,Spain,28***,40.451,-3.602,Europe/Madrid,VODAFONE-NETWORK,,AS12430 VODAFONE ESPANA S.A.U.
Barcelona,Catalonia,Spain,80**,41.395,2.197,Europe/Madrid,"VODAFONE ONO, S.A",Ono,"AS6739 VODAFONE ONO, S.A."
Shenzhen,Guangdong,China,,22.556,114.058,Asia/Shanghai,Hangzhou Alibaba Advertising Co,"Aliyun Computing Co., LTD","AS37963 Hangzhou Alibaba Advertising Co.,Ltd."
Schiphol-Rijk,North Holland,The Netherlands,11**,52.277,4.747,Europe/Amsterdam,Liberty Global B.V.,Liberty Global B.V,AS6830 Liberty Global B.V.
Yokohama,Kanagawa,Japan,23******,35.435,139.648,Asia/Tokyo,Yokohama City University,Yokohama City University,"AS2907 Research Organization of Information and Systems, National Institute of Informatics"
Suyeong-gu,Busan,South Korea,48*,35.181,129.093,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom
Sierra Vista,Arizona,United States,85***,31.555,-110.35,America/Phoenix,DoD Network Information Center,USAISC,AS721 DoD Network Information Center
Madison,Wisconsin,United States,53***,43.072,-89.524,America/Chicago,Wingra Technologies,,
Quanzhou,Fujian,China,,24.905,118.571,Asia/Shanghai,Chinanet,Chinanet FJ,AS4134 CHINANET-BACKBONE
Damascus,Damascus Governorate,Syria,,33.514,36.276,Asia/Damascus,SYRIATEL-MOBILE,,AS29256 Syrian Telecommunication Private Closed Joint Stock Company
Anchorage,Alaska,United States,99***,61.231,-149.881,America/Anchorage,"AT&T Services, Inc.",Alascom,"AS7018 AT&T Services, Inc."
Orlando,Florida,United States,32***,28.544,-81.374,America/New_York,Sprint Communications,Sprint Orlando POP,AS1239 Sprint
Caldas,Minas Gerais,Brazil,37***,-21.884,-46.361,America/Sao_Paulo,Videomar Rede Nordeste S/A,Videomar Rede Nordeste S/A,AS28270 Videomar Rede Nordeste S/A
Caracas,Miranda,Venezuela,,10.497,-66.845,America/Caracas,"CANTV Servicios, Venezuela","CANTV Servicios, Venezuela","AS8048 CANTV Servicios, Venezuela"
Rho,Lombardy,Italy,20***,45.519,9.086,Europe/Rome,H3G,Wind TRE S.P.A,
Bremen,Bremen,Germany,28***,53.083,8.788,Europe/Berlin,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG
Boydton,Virginia,United States,23***,36.678,-78.375,America/New_York,Microsoft Corporation,Microsoft Azure Cloud (eastus2),AS8075 Microsoft Corporation
,,,,,,,,,
Malang,East Java,Indonesia,,-7.94,112.632,Asia/Jakarta,BEST,,AS135484 PT. Bentang Selaras Teknologi
Whitehall,Ohio,United States,43***,39.975,-82.895,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Frankfurt am Main,Hesse,Germany,60***,50.119,8.684,Europe/Berlin,Hivelocity Inc,Ipxo Limited,AS61317 Hivelocity Inc
Beijing,Beijing,China,,39.911,116.395,Asia/Shanghai,China Unicom Beijing Province Network,,AS4808 China Unicom Beijing Province Network
Austin,Texas,United States,78***,30.23,-97.724,America/Chicago,Google Fiber Inc.,Google Fiber Inc,AS16591 Google Fiber Inc.
Peterborough,Ontario,Canada,K9*,44.322,-78.318,America/Toronto,Nexicom Inc.,Nexicom Inc.,AS11666 Nexicom Inc.
London,England,United Kingdom,W1*,51.507,-0.128,Europe/London,TalkTalk,TalkTalk Communications Limited,
Chicago,Illinois,United States,60***,41.887,-87.632,America/Chicago,Microsoft Limited,Microsoft Limited,
Louisville,Kentucky,United States,40***,38.197,-85.657,America/Kentucky/Louisville,Verizon Business,Lumenis LTD,AS701 Verizon Business
Chiyoda,Tokyo,Japan,10******,35.694,139.754,Asia/Tokyo,Ryoka Systems,"Ryoka Systems, Inc.",
New York,New York,United States,10***,40.708,-74.011,America/New_York,JPMorgan Chase & Co.,JPMorgan Chase & Co.,
Skellefteå,Västerbotten County,Sweden,93****,64.747,20.953,Europe/Stockholm,Telia Company AB,Returpack-Burk Svenska AB,AS3301 Telia Company AB
Atlanta,Georgia,United States,30***,33.749,-84.388,America/New_York,AT&T Mobility LLC,Service Provider Corporation,AS20057 AT&T Mobility LLC
Concord,California,United States,94***,37.974,-122.033,America/Los_Angeles,Bank of America,"Bank of America, National Association",
New York,New York,United States,10***,40.713,-74.006,America/New_York,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc."
Vilnius,Vilnius,Lithuania,20**,54.691,25.282,Europe/Vilnius,Kauno Technologijos Universitetas,Vilniaus universitetas,AS5479 Kauno Technologijos Universitetas
Princeton,New Jersey,United States,85**,40.344,-74.664,America/New_York,Verizon Communications,Princeton Theological/Internet,AS701 Verizon Business
Whitehall,Ohio,United States,43***,39.975,-82.895,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Ashburn,Virginia,United States,20***,39.047,-77.49,America/New_York,Africa on Cloud,Cloud Innovation Ltd,AS328608 Africa on Cloud
,,,,,,,,,
Tempe,Arizona,United States,85***,33.42,-111.913,America/Phoenix,"Akamai Technologies, Inc.","Akamai Technologies, Inc.","AS16625 Akamai Technologies, Inc."
Auckland,Auckland,New Zealand,62*,-36.802,174.753,Pacific/Auckland,Sky Network Television Ltd,Two Degrees Mobile Limited,AS140220 Sky Network Television Ltd
Gangbuk-gu,Seoul,South Korea,10***,37.644,127.004,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom
Whitehall,Ohio,United States,43***,39.975,-82.895,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Dallas,Texas,United States,75***,32.824,-96.751,America/Chicago,"Haynes and Boone, L.L.P.","Haynes and Boone, L.L.P.","AS14890 Haynes and Boone, L.L.P."
Chisinau,Chișinău Municipality,Moldova,MD*****,47.004,28.857,Europe/Chisinau,SC STARNET SRL,StarNet Solutii SRL,AS31252 StarNet Solutii SRL
