Linkage_Index,Region,Country,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System
1,England,United Kingdom,51.5081,-0.1278,Europe/London,Trustmarque Solutions Ltd,Trustmarque Solutions Limited,AS196744 Capita Business Services Ltd
2,Telangana,India,17.9958,79.5782,Asia/Kolkata,BSNL Internet,,AS9829 National Internet Backbone
3,South Holland,The Netherlands,52.0705,4.3007,Europe/Amsterdam,GEMNET,Gemnet B.V.,
4,Guangdong,China,23.1291,113.264,Asia/Shanghai,CERNET,,AS4538 China Education and Research Network Center
5,Western Australia,Australia,-32.1893,115.9694,Australia/Perth,Australian Academic and Research Network,Murdoch Univ,AS7575 Australian Academic and Research Network (AARNet)
6,Missouri,United States,39.0997,-94.5786,America/Chicago,"AT&T Services, Inc.",Private Customer - AT&T Internet Services,"AS7018 AT&T Services, Inc."
7,Florida,United States,25.8119,-80.2318,America/New_York,"Comcast Cable Communications, LLC","Comcast Cable Communications, LLC","AS20214 Comcast Cable Communications, LLC"
8,Coahuila,Mexico,25.5397,-103.429,America/Monterrey,Uninet S.A. de C.V.,UNINET,AS8151 UNINET
9,California,United States,37.412,-122.148,America/Los_Angeles,HP Inc.,HP Inc,
10,Tokyo,Japan,35.6744,139.776,Asia/Tokyo,JR East Information Systems Company,JR East Japan Information Systems Company,AS131932 JR East Information Systems Company
11,Ohio,United States,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
12,Washington,United States,47.6229,-122.337,America/Los_Angeles,Amazon.com,"Amazon.com, Inc",
13,Chungcheongnam-do,South Korea,36.1024,127.4829,Asia/Seoul,CMB,CMB Chungcheong Broadcasting,AS38133 CMB
14,Tokyo,Japan,35.6906,139.77,Asia/Tokyo,DION (KDDI CORPORATION),KDDI,AS2516 KDDI CORPORATION
15,Tamil Nadu,India,13.0518,80.2505,Asia/Kolkata,Dishnet Wireless Limited,Aircel Limited,
16,Île-de-France,France,48.8566,2.35222,Europe/Paris,Societe Francaise Du Radiotelephone - SFR SA,SFR User Data,AS15557 Societe Francaise Du Radiotelephone - SFR SA
17,Abu Dhabi,United Arab Emirates,24.4539,54.3773,Asia/Dubai,Emirates Telecommunications Corporation,,AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC
18,Scotland,United Kingdom,55.919,-2.7552,Europe/London,BorderLink Broadband Limited,,AS205847 GoFibre Holdings Limited
19,Riau Islands,Indonesia,1.115,103.975,Asia/Pontianak,PT Solnet Indonesia,,AS9422 PT SOLNET INDONESIA
20,New York,United States,40.8731,-73.8726,America/New_York,Cablevision Systems Corp.,Purdue Pharamacy,AS54004 Optimum WiFi
21,Mexico City,Mexico,19.4036,-99.2421,America/Mexico_City,"Mexico Red de Telecomunicaciones, S. de R.L. de C.V.","Mexico Red de Telecomunicaciones, S. de R.L. de C.V","AS13591 Mexico Red de Telecomunicaciones, S. de R.L. de C.V."
22,Virginia,United States,38.9517,-77.3776,America/New_York,Sprint,Sprint,
23,Taipei,Taiwan,25.0114,121.462,Asia/Taipei,"Far EastTone Telecommunication Co., Ltd.","Far EasTone Telecommunication Co., Ltd.","AS9674 Far EastTone Telecommunication Co., Ltd."
24,Colorado,United States,40.5603,-105.081,America/Denver,USDA,USDA Office of Operations,AS4152 USDA
25,Kanagawa,Japan,35.4643,139.6262,Asia/Tokyo,UCOM Corp.,broadgate,AS17506 ARTERIA Networks Corporation
26,Ōsaka,Japan,34.6837,135.5236,Asia/Tokyo,Softbank BB Corp.,SOFTBANK Corp,AS17676 SoftBank Corp.
