Timestamp,MCC,MNC,PLMN,TMSI,LMSI,TLLI,LAI,RAI,Network_Type,Device_Type,Linkage_Index
260403201742-0700,310,260,310260,72001579,79415513,74160460,310-260-****,310-260-****-**,4G,Smartphone,132
260406192842-0600,310,260,310260,92259189,74762114,86850617,310-260-****,310-260-****-**,4G,Smartphone,1442
260406043454+0200,240,04,24004,13458492,29546247,26939529,240-04-****,240-04-****-**,5G,Smartphone,883
260408143216+0000,234,33,23433,53464096,56198053,57325282,234-33-****,234-33-****-**,3G,Smartphone,2178
260403055140+0200,240,07,24007,18022141,33159286,12149963,240-07-****,240-07-****-**,5G,Smartphone,1318
260402051628-0500,310,480,310480,73931255,92050680,71178437,310-480-****,310-480-****-**,5G,IoT Device,2402
260403200508+0100,234,33,23433,75139434,73734698,66865285,234-33-****,234-33-****-**,4G,Smartphone,2219
260402075202-0700,310,260,310260,91894435,87142439,93868037,310-260-****,310-260-****-**,3G,Smartphone,2521
260319174347-0800,310,480,310480,88668484,83333021,86885999,310-480-****,310-480-****-**,4G,Smartphone,47
260404180233+0100,234,15,23415,78575029,72107881,57064816,234-15-****,234-15-****-**,5G,IoT Device,1906
260403160201-0500,310,120,310120,70532274,85588359,72421751,310-120-****,310-120-****-**,4G,IoT Device,2861
260407210011-0500,310,260,310260,91507259,92585480,68480453,310-260-****,310-260-****-**,5G,Tablet,183
260406124516-0800,310,480,310480,97161918,88992696,73278632,310-480-****,310-480-****-**,3G,Tablet,1522
260402093040+0100,206,01,20601,33443736,50161524,41185171,206-01-****,206-01-****-**,4G,Tablet,2590
260403023305-0600,310,410,310410,87800691,75449443,83223705,310-410-****,310-410-****-**,4G,IoT Device,611
260325134717+0100,206,20,20620,50672080,53037337,39843939,206-20-****,206-20-****-**,4G,Smartphone,30
260404001256+0100,240,08,24008,18590373,15140990,13692682,240-08-****,240-08-****-**,3G,Smartphone,2119
260408030311-0800,310,120,310120,98512565,71312003,68836778,310-120-****,310-120-****-**,4G,Smartphone,1729
260406205453+0200,240,08,24008,16247850,11562559,28874791,240-08-****,240-08-****-**,4G,Smartphone,1634
260406181953+0000,234,10,23410,64635274,61898367,61514120,234-10-****,234-10-****-**,3G,Tablet,1011
260408085550+0100,206,05,20605,37394133,34084154,25887247,206-05-****,206-05-****-**,4G,Tablet,2952
260407102348+0200,206,20,20620,36376134,36378924,46353581,206-20-****,206-20-****-**,5G,IoT Device,2117
260404075507-0800,310,480,310480,70183253,87015459,77812768,310-480-****,310-480-****-**,3G,IoT Device,1843
260406105733+0100,240,08,24008,38175023,29042033,20998791,240-08-****,240-08-****-**,5G,Tablet,1060
260404232748+0200,206,20,20620,43636599,37501528,52565574,206-20-****,206-20-****-**,5G,Smartphone,1756
260406131131+0200,206,10,20610,55765979,52031776,35377314,206-10-****,206-10-****-**,5G,Tablet,2319
260406210123-0500,310,410,310410,87472815,71810711,92503589,310-410-****,310-410-****-**,4G,IoT Device,2067
260404120140+0200,206,05,20605,54591757,33643302,49344619,206-05-****,206-05-****-**,4G,Tablet,2095
260402034355+0100,240,01,24001,12019416,22600015,25012789,240-01-****,240-01-****-**,3G,Smartphone,1590
260406174403+0100,240,01,24001,37455599,15047669,21290250,240-01-****,240-01-****-**,4G,IoT Device,2317
260408114646+0100,234,33,23433,61584077,69543034,59844686,234-33-****,234-33-****-**,3G,Tablet,1042
260404005518+0100,206,01,20601,37585926,38279331,34286471,206-01-****,206-01-****-**,5G,IoT Device,1528
260402005423+0000,234,30,23430,65014944,54402260,61375647,234-30-****,234-30-****-**,3G,Tablet,238
260405121259-0500,310,410,310410,82863856,77197360,72362631,310-410-****,310-410-****-**,3G,Tablet,1461
260406020024+0000,234,10,23410,56894415,62514496,54849143,234-10-****,234-10-****-**,4G,Smartphone,384
260405222314-0700,310,480,310480,79257771,85439916,69981583,310-480-****,310-480-****-**,4G,IoT Device,1727
260407042938+0200,240,02,24002,12267611,19412308,29622526,240-02-****,240-02-****-**,3G,IoT Device,2809
260408110904+0200,240,08,24008,15580822,34506495,19063767,240-08-****,240-08-****-**,5G,Smartphone,2152
260406122900+0100,240,24,24024,20142720,16129649,17496820,240-24-****,240-24-****-**,4G,IoT Device,375
260404143638+0000,234,15,23415,79688254,68799174,70480839,234-15-****,234-15-****-**,3G,Smartphone,1424
260408141027+0100,206,05,20605,53475275,33790353,35619640,206-05-****,206-05-****-**,5G,Smartphone,155
260402123018+0100,206,10,20610,42572851,34662395,44377967,206-10-****,206-10-****-**,5G,IoT Device,193
260402083516-0800,310,480,310480,72018095,74893502,66603677,310-480-****,310-480-****-**,5G,Smartphone,1880
260406210036+0100,240,24,24024,26925213,22031096,25643546,240-24-****,240-24-****-**,4G,Smartphone,2785
260402011111-0600,310,120,310120,74184048,92130649,78966608,310-120-****,310-120-****-**,4G,Smartphone,882
260407204004+0100,240,04,24004,14905474,29095199,28653759,240-04-****,240-04-****-**,5G,IoT Device,2697
260402021922+0100,206,10,20610,36004323,36661043,38464383,206-10-****,206-10-****-**,5G,Tablet,2911
260403125337+0100,240,16,24016,35908893,27270736,12157230,240-16-****,240-16-****-**,3G,Smartphone,2174
260404203848+0100,234,33,23433,54743519,58734189,59039110,234-33-****,234-33-****-**,4G,Tablet,2423
260404025856+0000,234,10,23410,50053725,55415590,50268785,234-10-****,234-10-****-**,3G,Smartphone,1512
260406134459+0200,240,16,24016,36555793,31846178,19713328,240-16-****,240-16-****-**,5G,Smartphone,1075
260402165855+0100,234,33,23433,68702287,53800835,77737865,234-33-****,234-33-****-**,3G,Smartphone,1354
260401202249+0200,240,05,24005,18817028,11479375,18107955,240-05-****,240-05-****-**,5G,Smartphone,494
260405193731+0100,240,02,24002,36296937,11603872,20888829,240-02-****,240-02-****-**,5G,Smartphone,334
260408055330+0000,234,33,23433,51794616,55069087,54863699,234-33-****,234-33-****-**,4G,Tablet,1746
260404225328+0000,234,30,23430,51773604,57153127,64763702,234-30-****,234-30-****-**,3G,IoT Device,858
260407052006+0100,234,15,23415,72382963,68159068,76777104,234-15-****,234-15-****-**,3G,Smartphone,2822
260406094746+0000,234,30,23430,67965939,73872809,70424092,234-30-****,234-30-****-**,3G,Smartphone,1640
260404220908+0200,240,01,24001,39813525,17756395,22589474,240-01-****,240-01-****-**,5G,Smartphone,2246
260407224129+0100,240,01,24001,25220352,22700020,20203833,240-01-****,240-01-****-**,5G,Smartphone,1222
260406090920+0200,206,01,20601,46633138,40784299,30110532,206-01-****,206-01-****-**,5G,Smartphone,619
260406024740+0100,206,05,20605,35011216,36170391,25089569,206-05-****,206-05-****-**,4G,Smartphone,829
260404050847+0000,234,10,23410,65883695,59027162,71757439,234-10-****,234-10-****-**,3G,Tablet,851
260403094252+0100,206,20,20620,42975169,45139643,40425409,206-20-****,206-20-****-**,5G,Tablet,2767
260407201649+0000,234,10,23410,79085138,50552232,62740727,234-10-****,234-10-****-**,4G,Tablet,2557
260404045047+0100,240,08,24008,39236792,13840607,21661944,240-08-****,240-08-****-**,5G,Smartphone,1490
260403152053-0500,310,480,310480,84523973,91947306,88312150,310-480-****,310-480-****-**,5G,Tablet,2420
260402164223-0600,310,120,310120,84375416,72231267,75766940,310-120-****,310-120-****-**,3G,IoT Device,1761
260405224421-0500,310,480,310480,83077713,79585572,99047606,310-480-****,310-480-****-**,4G,Tablet,1916
260313192120+0100,240,24,24024,18260266,17433169,24633895,240-24-****,240-24-****-**,3G,Smartphone,71
260406101310-0500,310,410,310410,88922933,89164390,77992115,310-410-****,310-410-****-**,5G,Tablet,2203
260401233822+0200,206,05,20605,56442009,46731790,29535316,206-05-****,206-05-****-**,4G,Smartphone,2057
260402044237-0800,310,410,310410,76479488,82760444,73422474,310-410-****,310-410-****-**,5G,Tablet,1728
260406125606+0100,234,15,23415,56737333,54265272,67388764,234-15-****,234-15-****-**,3G,IoT Device,346
260402080211+0100,240,16,24016,22300878,18719424,26056827,240-16-****,240-16-****-**,5G,Smartphone,385
260405104511+0100,206,20,20620,42418238,36642648,53525102,206-20-****,206-20-****-**,4G,Smartphone,1234
260408081541+0000,234,10,23410,61856377,69372411,65592625,234-10-****,234-10-****-**,3G,IoT Device,2286
260402202655+0100,234,30,23430,79125855,52370224,76034299,234-30-****,234-30-****-**,5G,Tablet,1170
260405221243+0100,206,10,20610,49128332,53024995,49500558,206-10-****,206-10-****-**,4G,Smartphone,2260
260407074740+0100,234,38,23438,76360447,63289263,65798398,234-38-****,234-38-****-**,3G,Tablet,1356
260402203415-0800,310,260,310260,74778485,73855416,99579990,310-260-****,310-260-****-**,3G,Smartphone,1462
260402151310+0100,206,01,20601,31331048,46365771,28841149,206-01-****,206-01-****-**,4G,Tablet,1372
