Timestamp,MCC,MNC,PLMN,TMSI,LMSI,TLLI,LAI,RAI,Network_Type,Device_Type,Linkage_Index
260403201742-0700,310,260,310260,72001579,79415513,74160460,310-260-6850,310-260-6850-88,4G,Smartphone,132
260402051628-0500,310,480,310480,73931255,92050680,71178437,310-480-3102,310-480-3102-63,5G,IoT Device,2402
260407210011-0500,310,260,310260,91507259,92585480,68480453,310-260-6850,310-260-6850-34,5G,Tablet,183
260402093040+0100,206,01,20601,33443736,50161524,41185171,206-01-3939,206-01-3939-98,4G,Tablet,2590
260403023305-0600,310,410,310410,87800691,75449443,83223705,310-410-3621,310-410-3621-30,4G,IoT Device,611
260408030311-0800,310,120,310120,98512565,71312003,68836778,310-120-8167,310-120-8167-88,4G,Smartphone,1729
260408085550+0100,206,05,20605,37394133,34084154,25887247,206-05-8679,206-05-8679-71,4G,Tablet,2952
260407102348+0200,206,20,20620,36376134,36378924,46353581,206-20-7730,206-20-7730-91,5G,IoT Device,2117
260406210123-0500,310,410,310410,87472815,71810711,92503589,310-410-3621,310-410-3621-88,4G,IoT Device,2067
260406174403+0100,240,01,24001,37455599,15047669,21290250,240-01-5506,240-01-5506-37,4G,IoT Device,2317
260406020024+0000,234,10,23410,56894415,62514496,54849143,234-10-5837,234-10-5837-35,4G,Smartphone,384
260402021922+0100,206,10,20610,36004323,36661043,38464383,206-10-9117,206-10-9117-91,5G,Tablet,2911
260405193731+0100,240,02,24002,36296937,11603872,20888829,240-02-7482,240-02-7482-43,5G,Smartphone,334
260408055330+0000,234,33,23433,51794616,55069087,54863699,234-33-8138,234-33-8138-35,4G,Tablet,1746
260407224129+0100,240,01,24001,25220352,22700020,20203833,240-01-2824,240-01-2824-55,5G,Smartphone,1222
260406090920+0200,206,01,20601,46633138,40784299,30110532,206-01-4937,206-01-4937-64,5G,Smartphone,619
260406024740+0100,206,05,20605,35011216,36170391,25089569,206-05-8253,206-05-8253-91,4G,Smartphone,829
260404050847+0000,234,10,23410,65883695,59027162,71757439,234-10-5847,234-10-5847-57,3G,Tablet,851
260403094252+0100,206,20,20620,42975169,45139643,40425409,206-20-4826,206-20-4826-64,5G,Tablet,2767
260404045047+0100,240,08,24008,39236792,13840607,21661944,240-08-5173,240-08-5173-53,5G,Smartphone,1490
260403152053-0500,310,480,310480,84523973,91947306,88312150,310-480-9476,310-480-9476-88,5G,Tablet,2420
260402164223-0600,310,120,310120,84375416,72231267,75766940,310-120-8167,310-120-8167-88,3G,IoT Device,1761
260406125606+0100,234,15,23415,56737333,54265272,67388764,234-15-7866,234-15-7866-35,3G,IoT Device,346
260402202655+0100,234,30,23430,79125855,52370224,76034299,234-30-2140,234-30-2140-87,5G,Tablet,1170
260405221243+0100,206,10,20610,49128332,53024995,49500558,206-10-9117,206-10-9117-42,4G,Smartphone,2260
260402203415-0800,310,260,310260,74778485,73855416,99579990,310-260-1266,310-260-1266-88,3G,Smartphone,1462
260402151310+0100,206,01,20601,31331048,46365771,28841149,206-01-9004,206-01-9004-40,4G,Tablet,1372
260406132208+0100,206,10,20610,56956166,54373807,48150066,206-10-8905,206-10-8905-98,4G,Tablet,2322
260405185135+0100,234,33,23433,54250143,72549592,63511429,234-33-8138,234-33-8138-35,4G,Smartphone,2157
260408090911+0100,234,30,23430,69679433,69149744,62173385,234-30-1502,234-30-1502-35,3G,Smartphone,2664
260403064041-0800,310,410,310410,72060716,88199699,69195724,310-410-1510,310-410-1510-63,4G,Smartphone,1301
260402222234+0100,206,20,20620,42760934,32566058,36291113,206-20-4826,206-20-4826-64,5G,IoT Device,2941
260405021635+0100,206,20,20620,41456561,41968914,27969839,206-20-4826,206-20-4826-91,5G,Tablet,1817
260405161001+0100,234,33,23433,70078039,54774351,65383287,234-33-2734,234-33-2734-46,4G,IoT Device,1865
260406051703+0000,234,15,23415,61177538,60345270,56072047,234-15-7866,234-15-7866-87,3G,IoT Device,2772
260407053758+0200,240,01,24001,29510027,18354948,15189769,240-01-2824,240-01-2824-62,3G,Smartphone,1643
260406032400+0200,206,05,20605,37778402,51035159,37268590,206-05-8253,206-05-8253-64,4G,Smartphone,1208
260406082859+0000,234,30,23430,56584994,73174377,71050439,234-30-1502,234-30-1502-35,4G,Tablet,2463
260404063700+0200,206,05,20605,51205271,35560532,53258497,206-05-1986,206-05-1986-48,3G,Smartphone,1133
260406161954+0000,234,38,23438,51526290,60992759,75475986,234-38-7108,234-38-7108-25,4G,Smartphone,1080
