Linkage_Index,City,Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System
1,City of Westminster,England,United Kingdom,SW1,51.5081,-0.1278,Europe/London,Trustmarque Solutions Ltd,Trustmarque Solutions Limited,AS196744 Capita Business Services Ltd
2,Warangal,Telangana,India,506003,17.9958,79.5782,Asia/Kolkata,BSNL Internet,,AS9829 National Internet Backbone
3,The Hague,South Holland,The Netherlands,2597,52.0705,4.3007,Europe/Amsterdam,GEMNET,Gemnet B.V.,
4,Guangzhou,Guangdong,China,,23.1291,113.264,Asia/Shanghai,CERNET,,AS4538 China Education and Research Network Center
5,Perth,Western Australia,Australia,6112,-32.1893,115.9694,Australia/Perth,Australian Academic and Research Network,Murdoch Univ,AS7575 Australian Academic and Research Network (AARNet)
6,Kansas City,Missouri,United States,64121,39.0997,-94.5786,America/Chicago,"AT&T Services, Inc.",Private Customer - AT&T Internet Services,"AS7018 AT&T Services, Inc."
7,Miami,Florida,United States,33142,25.8119,-80.2318,America/New_York,"Comcast Cable Communications, LLC","Comcast Cable Communications, LLC","AS20214 Comcast Cable Communications, LLC"
8,Torreón,Coahuila,Mexico,27000,25.5397,-103.429,America/Monterrey,Uninet S.A. de C.V.,UNINET,AS8151 UNINET
9,New York,England,United States,94304,37.412,-122.148,America/Los_Angeles,HP Inc.,HP Inc,
10,Chuo,Tokyo,Japan,289-2614,35.6744,139.776,Asia/Tokyo,JR East Information Systems Company,JR East Japan Information Systems Company,AS131932 JR East Information Systems Company
11,Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
12,Seattle,Washington,United States,98108,47.6229,-122.337,America/Los_Angeles,Amazon.com,"Amazon.com, Inc",
13,Geumsan-gun,Chungcheongnam-do,South Korea,327,36.1024,127.4829,Asia/Seoul,CMB,CMB Chungcheong Broadcasting,AS38133 CMB
14,Redmond,Arizona,Argentina,100-8111,35.6906,139.77,Asia/Tokyo,DION (KDDI CORPORATION),KDDI,AS2516 KDDI CORPORATION
15,Chennai,Tamil Nadu,India,600001,13.0518,80.2505,Asia/Kolkata,Dishnet Wireless Limited,Aircel Limited,
