Device_ID,Device_Type,Network_Type,PLMN,LAI,Avg_Latency_ms,Connection_Drop_Rate_Pct,Linkage_Index
D1000,Smartphone,4G,310260,310-260-6850,70,0.26,132
D1001,Smartphone,4G,310260,310-260-9444,47,0.44,1442
D1002,Smartphone,5G,24004,240-04-3724,14,0.37,883
D1003,Smartphone,3G,23433,234-33-9564,139,0.76,2178
D1004,Smartphone,5G,24007,240-07-9938,23,0.03,1318
D1005,IoT Device,5G,310480,310-480-3102,12,0.12,2402
D1006,Smartphone,4G,23433,234-33-9584,62,0.94,2219
D1007,Smartphone,3G,310260,310-260-4302,141,1.1,2521
D1008,Smartphone,4G,310480,310-480-4860,64,0.69,47
D1009,IoT Device,5G,23415,234-15-9543,24,0.3,1906
D1010,IoT Device,4G,310120,310-120-1086,30,1.16,2861
D1011,Tablet,5G,310260,310-260-6850,15,0.35,183
D1012,Tablet,3G,310480,310-480-8366,113,1.33,1522
D1013,Tablet,4G,20601,206-01-3939,43,1.44,2590
D1014,IoT Device,4G,310410,310-410-3621,51,0.24,611
D1015,Smartphone,4G,20620,206-20-1132,54,0.24,30
D1016,Smartphone,3G,24008,240-08-3780,114,2.31,2119
D1017,Smartphone,4G,310120,310-120-8167,32,1.12,1729
D1018,Smartphone,4G,24008,240-08-6344,64,0.27,1634
D1019,Tablet,3G,23410,234-10-1228,118,0.74,1011
D1020,Tablet,4G,20605,206-05-8679,48,1.26,2952
D1021,IoT Device,5G,20620,206-20-7730,29,0.44,2117
D1022,IoT Device,3G,310480,310-480-9234,116,2.23,1843
D1023,Tablet,5G,24008,240-08-2193,12,0.03,1060
D1024,Smartphone,5G,20620,206-20-8237,17,0.39,1756
D1025,Tablet,5G,20610,206-10-6568,12,0.43,2319
D1026,IoT Device,4G,310410,310-410-3621,36,0.63,2067
D1027,Tablet,4G,20605,206-05-9090,59,0.99,2095
D1028,Smartphone,3G,24001,240-01-7912,116,0.99,1590
D1029,IoT Device,4G,24001,240-01-5506,52,0.39,2317
D1030,Tablet,3G,23433,234-33-6295,104,2.61,1042
D1031,IoT Device,5G,20601,206-01-1231,30,0.04,1528
D1032,Tablet,3G,23430,234-30-2503,91,2.1,238
D1033,Tablet,3G,310410,310-410-3255,101,0.99,1461
D1034,Smartphone,4G,23410,234-10-5837,54,0.48,384
D1035,IoT Device,4G,310480,310-480-7825,70,1.06,1727
D1036,IoT Device,3G,24002,240-02-3646,98,2.55,2809
D1037,Smartphone,5G,24008,240-08-4262,11,0.12,2152
D1038,IoT Device,4G,24024,240-24-8758,32,1.23,375
D1039,Smartphone,3G,23415,234-15-8285,121,1.3,1424
