Device_ID,Device_Type,LAI,RAI,Network_Type
D1000,Smartphone,240-92-5543,240-92-5543-84,4G
D1001,Tablet,240-51-2193,240-51-2193-82,3G
D1002,IoT Device,240-79-1762,240-79-1762-46,3G
D1003,Tablet,240-30-3739,240-30-3739-91,4G
D1004,Tablet,240-80-4079,240-80-4079-69,4G
D1005,Smartphone,240-27-5266,240-27-5266-55,4G
D1006,Tablet,240-09-3672,240-09-3672-74,4G
D1007,Tablet,240-63-2278,240-63-2278-10,3G
D1008,IoT Device,240-97-7494,240-97-7494-45,5G
D1009,IoT Device,240-98-6051,240-98-6051-22,4G
D1010,Tablet,240-23-7070,240-23-7070-37,5G
D1011,IoT Device,240-58-2776,240-58-2776-95,3G
D1012,Tablet,240-22-6866,240-22-6866-88,4G
D1013,Tablet,240-65-4777,240-65-4777-74,4G
D1014,IoT Device,240-88-5313,240-88-5313-73,4G
D1015,IoT Device,240-79-5038,240-79-5038-81,4G
D1016,Smartphone,240-53-5894,240-53-5894-95,4G
D1017,IoT Device,240-88-6221,240-88-6221-29,4G
D1018,Smartphone,240-06-9710,240-06-9710-12,5G
D1019,Smartphone,240-94-7455,240-94-7455-48,5G
D1020,Smartphone,240-85-1893,240-85-1893-38,3G
D1021,Tablet,240-21-6266,240-21-6266-23,4G
D1022,Tablet,240-66-8180,240-66-8180-82,5G
D1023,Tablet,240-01-6650,240-01-6650-77,4G
D1024,Smartphone,240-89-1711,240-89-1711-29,3G
D1025,IoT Device,240-44-9933,240-44-9933-51,5G
D1026,Smartphone,240-09-6827,240-09-6827-54,4G
D1027,IoT Device,240-65-8082,240-65-8082-35,5G
D1028,Smartphone,240-82-1026,240-82-1026-32,3G
D1029,Tablet,240-46-8914,240-46-8914-96,5G
D1030,IoT Device,240-60-1041,240-60-1041-77,3G
D1031,Smartphone,240-58-7460,240-58-7460-36,5G
D1032,IoT Device,240-05-1824,240-05-1824-51,3G
D1033,IoT Device,240-95-9144,240-95-9144-60,5G
D1034,IoT Device,240-01-5145,240-01-5145-83,4G
D1035,IoT Device,240-38-7873,240-38-7873-74,5G
D1036,IoT Device,240-49-2195,240-49-2195-30,3G
D1037,IoT Device,240-43-2536,240-43-2536-25,3G
D1038,IoT Device,240-80-2714,240-80-2714-61,3G
D1039,Smartphone,240-73-6751,240-73-6751-74,4G
D1040,Smartphone,240-28-8526,240-28-8526-26,5G
D1041,IoT Device,240-39-5128,240-39-5128-40,4G
D1042,Smartphone,240-22-6612,240-22-6612-19,4G
D1043,Smartphone,240-21-1361,240-21-1361-64,3G
D1044,IoT Device,240-75-2994,240-75-2994-34,3G
D1045,Smartphone,240-11-1497,240-11-1497-99,3G
D1046,IoT Device,240-03-1822,240-03-1822-87,3G
D1047,IoT Device,240-71-3022,240-71-3022-74,3G
D1048,Smartphone,240-07-6767,240-07-6767-79,4G
D1049,IoT Device,240-49-7773,240-49-7773-18,5G
D1050,IoT Device,240-13-8245,240-13-8245-63,5G
D1051,Tablet,240-11-6654,240-11-6654-32,4G
D1052,IoT Device,240-15-6929,240-15-6929-80,4G
D1053,IoT Device,240-27-3420,240-27-3420-99,3G
D1054,Smartphone,240-17-5966,240-17-5966-12,4G
D1055,Tablet,240-11-3786,240-11-3786-33,4G
D1056,Smartphone,240-28-1699,240-28-1699-14,3G
D1057,IoT Device,240-31-8573,240-31-8573-58,5G
D1058,Smartphone,240-92-4780,240-92-4780-56,4G
D1059,Smartphone,240-77-2081,240-77-2081-33,3G
D1060,Tablet,240-58-1018,240-58-1018-43,3G
D1061,Smartphone,240-45-3977,240-45-3977-12,4G
D1062,Tablet,240-36-8611,240-36-8611-30,5G
D1063,IoT Device,240-91-3946,240-91-3946-38,4G
D1064,Smartphone,240-89-8034,240-89-8034-40,5G
D1065,IoT Device,240-39-5343,240-39-5343-81,4G
D1066,Smartphone,240-11-9114,240-11-9114-78,5G
D1067,IoT Device,240-75-4317,240-75-4317-21,4G
D1068,IoT Device,240-45-1775,240-45-1775-43,3G
D1069,IoT Device,240-02-6356,240-02-6356-32,4G
D1070,Smartphone,240-39-8818,240-39-8818-10,5G
D1071,Tablet,240-06-6675,240-06-6675-96,4G
D1072,IoT Device,240-54-7872,240-54-7872-20,5G
D1073,IoT Device,240-94-6995,240-94-6995-81,4G
D1074,IoT Device,240-85-8932,240-85-8932-45,5G
D1075,Tablet,240-45-2700,240-45-2700-86,3G
D1076,IoT Device,240-32-8803,240-32-8803-51,5G
D1077,Smartphone,240-57-3684,240-57-3684-71,4G
D1078,Tablet,240-06-2306,240-06-2306-68,3G
D1079,Smartphone,240-36-4963,240-36-4963-71,4G
D1080,Smartphone,240-22-7391,240-22-7391-87,5G
D1081,Tablet,240-92-9749,240-92-9749-21,5G
D1082,Smartphone,240-22-6620,240-22-6620-47,4G
D1083,Smartphone,240-11-4695,240-11-4695-11,4G
D1084,IoT Device,240-37-8568,240-37-8568-60,5G
D1085,Tablet,240-05-5674,240-05-5674-94,4G
D1086,Tablet,240-43-3093,240-43-3093-52,3G
D1087,Smartphone,240-74-2111,240-74-2111-99,3G
D1088,Tablet,240-92-8115,240-92-8115-51,5G
D1089,IoT Device,240-71-8941,240-71-8941-21,5G
D1090,Tablet,240-07-6072,240-07-6072-11,4G
D1091,Tablet,240-76-2201,240-76-2201-59,3G
D1092,Smartphone,240-80-9442,240-80-9442-66,5G
D1093,Smartphone,240-87-2425,240-87-2425-60,3G
D1094,IoT Device,240-77-3644,240-77-3644-72,4G
D1095,Smartphone,240-66-3987,240-66-3987-46,4G
D1096,Tablet,240-80-9141,240-80-9141-29,5G
D1097,Smartphone,240-21-3743,240-21-3743-33,4G
D1098,Smartphone,240-68-3070,240-68-3070-66,3G
D1099,IoT Device,240-12-9599,240-12-9599-54,5G
D1100,Smartphone,240-80-2144,240-80-2144-21,3G
D1101,Smartphone,240-07-9805,240-07-9805-77,5G
D1102,IoT Device,240-06-9861,240-06-9861-68,5G
D1103,Tablet,240-67-7881,240-67-7881-92,5G
D1104,Tablet,240-88-6485,240-88-6485-82,4G
D1105,Tablet,240-21-6069,240-21-6069-36,4G
D1106,Tablet,240-44-2555,240-44-2555-95,3G
D1107,IoT Device,240-95-7648,240-95-7648-68,5G
D1108,IoT Device,240-69-8814,240-69-8814-76,5G
D1109,IoT Device,240-66-7367,240-66-7367-24,5G
D1110,IoT Device,240-41-5731,240-41-5731-63,4G
D1111,IoT Device,240-78-1735,240-78-1735-80,3G
D1112,IoT Device,240-07-6535,240-07-6535-18,4G
D1113,Tablet,240-68-8081,240-68-8081-74,5G
D1114,IoT Device,240-35-6561,240-35-6561-41,4G
D1115,Smartphone,240-95-5543,240-95-5543-41,4G
D1116,Smartphone,240-57-1623,240-57-1623-61,3G
D1117,IoT Device,240-88-3405,240-88-3405-45,3G
D1118,IoT Device,240-97-2701,240-97-2701-99,3G
D1119,Tablet,240-39-9868,240-39-9868-45,5G
D1120,IoT Device,240-06-5014,240-06-5014-69,4G
D1121,Tablet,240-44-2585,240-44-2585-72,3G
D1122,Smartphone,240-76-1314,240-76-1314-98,3G
D1123,IoT Device,240-53-8782,240-53-8782-52,5G
D1124,Tablet,240-12-1219,240-12-1219-11,3G
D1125,IoT Device,240-40-5394,240-40-5394-47,4G
D1126,Smartphone,240-18-7192,240-18-7192-37,5G
D1127,Tablet,240-25-6485,240-25-6485-41,4G
D1128,Tablet,240-32-5254,240-32-5254-70,4G
D1129,IoT Device,240-77-5321,240-77-5321-80,4G
D1130,Smartphone,240-07-5538,240-07-5538-94,4G
D1131,Tablet,240-84-5635,240-84-5635-60,4G
D1132,Tablet,240-74-2436,240-74-2436-33,3G
D1133,Tablet,240-65-8743,240-65-8743-62,5G
D1134,IoT Device,240-35-2086,240-35-2086-48,3G
D1135,Tablet,240-39-1680,240-39-1680-93,3G
D1136,Tablet,240-51-8322,240-51-8322-66,5G
D1137,Tablet,240-63-2540,240-63-2540-78,3G
