Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System
England,United Kingdom,SW*,51.51,-0.13,Europe/London,Trustmarque Solutions Ltd,Trustmarque Solutions Limited,AS196744 Capita Business Services Ltd
Telangana,India,50****,18.0,79.58,Asia/Kolkata,BSNL Internet,,AS9829 National Internet Backbone
South Holland,The Netherlands,25**,52.07,4.3,Europe/Amsterdam,GEMNET,Gemnet B.V.,
Guangdong,China,,23.13,113.26,Asia/Shanghai,CERNET,,AS4538 China Education and Research Network Center
Western Australia,Australia,61**,-32.19,115.97,Australia/Perth,Australian Academic and Research Network,Murdoch Univ,AS7575 Australian Academic and Research Network (AARNet)
Missouri,United States,64***,39.1,-94.58,America/Chicago,"AT&T Services, Inc.",Private Customer - AT&T Internet Services,"AS7018 AT&T Services, Inc."
Florida,United States,33***,25.81,-80.23,America/New_York,"Comcast Cable Communications, LLC","Comcast Cable Communications, LLC","AS20214 Comcast Cable Communications, LLC"
Coahuila,Mexico,27***,25.54,-103.43,America/Monterrey,Uninet S.A. de C.V.,UNINET,AS8151 UNINET
California,United States,94***,37.41,-122.15,America/Los_Angeles,HP Inc.,HP Inc,
Tokyo,Japan,28******,35.67,139.78,Asia/Tokyo,JR East Information Systems Company,JR East Japan Information Systems Company,AS131932 JR East Information Systems Company
,,,,,,,,
Ohio,United States,43***,39.97,-82.89,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Washington,United States,98***,47.62,-122.34,America/Los_Angeles,Amazon.com,"Amazon.com, Inc",
Chungcheongnam-do,South Korea,32*,36.1,127.48,Asia/Seoul,CMB,CMB Chungcheong Broadcasting,AS38133 CMB
Tokyo,Japan,10******,35.69,139.77,Asia/Tokyo,DION (KDDI CORPORATION),KDDI,AS2516 KDDI CORPORATION
Tamil Nadu,India,60****,13.05,80.25,Asia/Kolkata,Dishnet Wireless Limited,Aircel Limited,
Île-de-France,France,75***,48.86,2.35,Europe/Paris,Societe Francaise Du Radiotelephone - SFR SA,SFR User Data,AS15557 Societe Francaise Du Radiotelephone - SFR SA
Abu Dhabi,United Arab Emirates,,24.45,54.38,Asia/Dubai,Emirates Telecommunications Corporation,,AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC
Scotland,United Kingdom,EH**,55.92,-2.76,Europe/London,BorderLink Broadband Limited,,AS205847 GoFibre Holdings Limited
Riau Islands,Indonesia,,1.12,103.98,Asia/Pontianak,PT Solnet Indonesia,,AS9422 PT SOLNET INDONESIA
,,,,,,,,
New York,United States,10***,40.87,-73.87,America/New_York,Cablevision Systems Corp.,Purdue Pharamacy,AS54004 Optimum WiFi
Mexico City,Mexico,11***,19.4,-99.24,America/Mexico_City,"Mexico Red de Telecomunicaciones, S. de R.L. de C.V.","Mexico Red de Telecomunicaciones, S. de R.L. de C.V","AS13591 Mexico Red de Telecomunicaciones, S. de R.L. de C.V."
Virginia,United States,20***,38.95,-77.38,America/New_York,Sprint,Sprint,
