Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System
England,United Kingdom,SW*,51.5,-0.1,Europe/London,Trustmarque Solutions Ltd,Trustmarque Solutions Limited,AS196744 Capita Business Services Ltd
Telangana,India,50****,18.0,79.6,Asia/Kolkata,BSNL Internet,,AS9829 National Internet Backbone
South Holland,The Netherlands,25**,52.1,4.3,Europe/Amsterdam,GEMNET,Gemnet B.V.,
Guangdong,China,,23.1,113.3,Asia/Shanghai,CERNET,,AS4538 China Education and Research Network Center
Western Australia,Australia,61**,-32.2,116.0,Australia/Perth,Australian Academic and Research Network,Murdoch Univ,AS7575 Australian Academic and Research Network (AARNet)
Missouri,United States,64***,39.1,-94.6,America/Chicago,"AT&T Services, Inc.",Private Customer - AT&T Internet Services,"AS7018 AT&T Services, Inc."
Florida,United States,33***,25.8,-80.2,America/New_York,"Comcast Cable Communications, LLC","Comcast Cable Communications, LLC","AS20214 Comcast Cable Communications, LLC"
Coahuila,Mexico,27***,25.5,-103.4,America/Monterrey,Uninet S.A. de C.V.,UNINET,AS8151 UNINET
California,United States,94***,37.4,-122.1,America/Los_Angeles,HP Inc.,HP Inc,
Tokyo,Japan,28******,35.7,139.8,Asia/Tokyo,JR East Information Systems Company,JR East Japan Information Systems Company,AS131932 JR East Information Systems Company
,,,,,,,,
Ohio,United States,43***,40.0,-82.9,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Washington,United States,98***,47.6,-122.3,America/Los_Angeles,Amazon.com,"Amazon.com, Inc",
Chungcheongnam-do,South Korea,32*,36.1,127.5,Asia/Seoul,CMB,CMB Chungcheong Broadcasting,AS38133 CMB
Tokyo,Japan,10******,35.7,139.8,Asia/Tokyo,DION (KDDI CORPORATION),KDDI,AS2516 KDDI CORPORATION
Tamil Nadu,India,60****,13.1,80.3,Asia/Kolkata,Dishnet Wireless Limited,Aircel Limited,
Île-de-France,France,75***,48.9,2.4,Europe/Paris,Societe Francaise Du Radiotelephone - SFR SA,SFR User Data,AS15557 Societe Francaise Du Radiotelephone - SFR SA
Abu Dhabi,United Arab Emirates,,24.5,54.4,Asia/Dubai,Emirates Telecommunications Corporation,,AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC
Scotland,United Kingdom,EH**,55.9,-2.8,Europe/London,BorderLink Broadband Limited,,AS205847 GoFibre Holdings Limited
Riau Islands,Indonesia,,1.1,104.0,Asia/Pontianak,PT Solnet Indonesia,,AS9422 PT SOLNET INDONESIA
,,,,,,,,
New York,United States,10***,40.9,-73.9,America/New_York,Cablevision Systems Corp.,Purdue Pharamacy,AS54004 Optimum WiFi
Mexico City,Mexico,11***,19.4,-99.2,America/Mexico_City,"Mexico Red de Telecomunicaciones, S. de R.L. de C.V.","Mexico Red de Telecomunicaciones, S. de R.L. de C.V","AS13591 Mexico Red de Telecomunicaciones, S. de R.L. de C.V."
Virginia,United States,20***,39.0,-77.4,America/New_York,Sprint,Sprint,
Taipei,Taiwan,,25.0,121.5,Asia/Taipei,"Far EastTone Telecommunication Co., Ltd.","Far EasTone Telecommunication Co., Ltd.","AS9674 Far EastTone Telecommunication Co., Ltd."
,,,,,,,,
Colorado,United States,80***,40.6,-105.1,America/Denver,USDA,USDA Office of Operations,AS4152 USDA
Kanagawa,Japan,22******,35.5,139.6,Asia/Tokyo,UCOM Corp.,broadgate,AS17506 ARTERIA Networks Corporation
Ōsaka,Japan,54******,34.7,135.5,Asia/Tokyo,Softbank BB Corp.,SOFTBANK Corp,AS17676 SoftBank Corp.
,,,,,,,,
Henan,China,45****,34.7,113.6,Asia/Shanghai,CNC Group CHINA169 Henan Province Network,,AS4837 CHINA UNICOM China169 Backbone
Illinois,United States,60***,41.9,-87.6,America/Chicago,"T-Mobile USA, Inc.","T-Mobile USA, Inc.","AS21928 T-Mobile USA, Inc."
Andalusia,Spain,21***,37.2,-7.4,Europe/Madrid,Orange Spain,Jazztel triple play services,AS12479 Orange Espagne SA
,,,,,,,,
Minas Gerais,Brazil,36***,-21.7,-43.4,America/Sao_Paulo,V tal,V tal,AS7738 V tal
Arizona,United States,85***,31.6,-110.4,America/Phoenix,CONUS-YPG,USAISC,AS749 DoD Network Information Center
,,,,,,,,
Colorado,United States,81***,38.1,-102.6,America/Denver,"CenturyLink Communications, LLC","CenturyLink Communications, LLC","AS22561 CenturyLink Communications, LLC"
