City,Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System
City of Westminster,England,United Kingdom,SW1,52.0,-0.0,Europe/London,Trustmarque Solutions Ltd,Trustmarque Solutions Limited,AS196744 Capita Business Services Ltd
Warangal,Telangana,India,506003,18.0,80.0,Asia/Kolkata,BSNL Internet,,AS9829 National Internet Backbone
The Hague,South Holland,The Netherlands,2597,52.0,4.0,Europe/Amsterdam,GEMNET,Gemnet B.V.,
Guangzhou,Guangdong,China,,23.0,113.0,Asia/Shanghai,CERNET,,AS4538 China Education and Research Network Center
Perth,Western Australia,Australia,6112,-32.0,116.0,Australia/Perth,Australian Academic and Research Network,Murdoch Univ,AS7575 Australian Academic and Research Network (AARNet)
Kansas City,Missouri,United States,64121,39.0,-95.0,America/Chicago,"AT&T Services, Inc.",Private Customer - AT&T Internet Services,"AS7018 AT&T Services, Inc."
Miami,Florida,United States,33142,26.0,-80.0,America/New_York,"Comcast Cable Communications, LLC","Comcast Cable Communications, LLC","AS20214 Comcast Cable Communications, LLC"
Torreón,Coahuila,Mexico,27000,26.0,-103.0,America/Monterrey,Uninet S.A. de C.V.,UNINET,AS8151 UNINET
Palo Alto,California,United States,94304,37.0,-122.0,America/Los_Angeles,HP Inc.,HP Inc,
Chuo,Tokyo,Japan,289-2614,36.0,140.0,Asia/Tokyo,JR East Information Systems Company,JR East Japan Information Systems Company,AS131932 JR East Information Systems Company
,,,,,,,,,
Whitehall,Ohio,United States,43218,40.0,-83.0,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Seattle,Washington,United States,98108,48.0,-122.0,America/Los_Angeles,Amazon.com,"Amazon.com, Inc",
Geumsan-gun,Chungcheongnam-do,South Korea,327,36.0,127.0,Asia/Seoul,CMB,CMB Chungcheong Broadcasting,AS38133 CMB
Chiyoda,Tokyo,Japan,100-8111,36.0,140.0,Asia/Tokyo,DION (KDDI CORPORATION),KDDI,AS2516 KDDI CORPORATION
Chennai,Tamil Nadu,India,600001,13.0,80.0,Asia/Kolkata,Dishnet Wireless Limited,Aircel Limited,
Paris,Île-de-France,France,75000,49.0,2.0,Europe/Paris,Societe Francaise Du Radiotelephone - SFR SA,SFR User Data,AS15557 Societe Francaise Du Radiotelephone - SFR SA
Abu Dhabi,Abu Dhabi,United Arab Emirates,,24.0,54.0,Asia/Dubai,Emirates Telecommunications Corporation,,AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC
Haddington,Scotland,United Kingdom,EH41,56.0,-3.0,Europe/London,BorderLink Broadband Limited,,AS205847 GoFibre Holdings Limited
Sekupang,Riau Islands,Indonesia,,1.0,104.0,Asia/Pontianak,PT Solnet Indonesia,,AS9422 PT SOLNET INDONESIA
,,,,,,,,,
The Bronx,New York,United States,10467,41.0,-74.0,America/New_York,Cablevision Systems Corp.,Purdue Pharamacy,AS54004 Optimum WiFi
Mexico City,Mexico City,Mexico,11930,19.0,-99.0,America/Mexico_City,"Mexico Red de Telecomunicaciones, S. de R.L. de C.V.","Mexico Red de Telecomunicaciones, S. de R.L. de C.V","AS13591 Mexico Red de Telecomunicaciones, S. de R.L. de C.V."
Reston,Virginia,United States,20196,39.0,-77.0,America/New_York,Sprint,Sprint,
Banqiao,Taipei,Taiwan,,25.0,121.0,Asia/Taipei,"Far EastTone Telecommunication Co., Ltd.","Far EasTone Telecommunication Co., Ltd.","AS9674 Far EastTone Telecommunication Co., Ltd."
,,,,,,,,,
Fort Collins,Colorado,United States,80526,41.0,-105.0,America/Denver,USDA,USDA Office of Operations,AS4152 USDA
Minatomirai,Kanagawa,Japan,220-0011,35.0,140.0,Asia/Tokyo,UCOM Corp.,broadgate,AS17506 ARTERIA Networks Corporation
Ōtemae,Ōsaka,Japan,540-0001,35.0,136.0,Asia/Tokyo,Softbank BB Corp.,SOFTBANK Corp,AS17676 SoftBank Corp.
,,,,,,,,,
Zhengzhou,Henan,China,450000,35.0,114.0,Asia/Shanghai,CNC Group CHINA169 Henan Province Network,,AS4837 CHINA UNICOM China169 Backbone
Chicago,Illinois,United States,60666,42.0,-88.0,America/Chicago,"T-Mobile USA, Inc.","T-Mobile USA, Inc.","AS21928 T-Mobile USA, Inc."
Ayamonte,Andalusia,Spain,21400,37.0,-7.0,Europe/Madrid,Orange Spain,Jazztel triple play services,AS12479 Orange Espagne SA
,,,,,,,,,
Juiz de Fora,Minas Gerais,Brazil,36000,-22.0,-43.0,America/Sao_Paulo,V tal,V tal,AS7738 V tal
Sierra Vista,Arizona,United States,85613,32.0,-110.0,America/Phoenix,CONUS-YPG,USAISC,AS749 DoD Network Information Center
,,,,,,,,,
Lamar,Colorado,United States,81052,38.0,-103.0,America/Denver,"CenturyLink Communications, LLC","CenturyLink Communications, LLC","AS22561 CenturyLink Communications, LLC"
Whitehall,Ohio,United States,43218,40.0,-83.0,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Seattle,Washington,United States,98109,48.0,-122.0,America/Los_Angeles,Amazon Technologies Inc.,Amazon Technologies Inc,
Paris,Île-de-France,France,75009,49.0,2.0,Europe/Paris,Orange,,AS3215 Orange S.A.
Green Bay,Wisconsin,United States,54311,44.0,-88.0,America/Chicago,Charter Communications,Spectrum,AS10796 Charter Communications Inc
Bradley Stoke,England,United Kingdom,BS32,52.0,-3.0,Europe/London,EE Limited,,
,,,,,,,,,
Grenoble,Auvergne-Rhône-Alpes,France,38000,45.0,6.0,Europe/Paris,ESRF-GRENOBLE,The ESRF,AS1942 Renater
Sao Cristovao,Rio de Janeiro,Brazil,,-23.0,-43.0,America/Sao_Paulo,TIM S/A,Tim Celular S.A.,AS26615 TIM S/A
Shenzhen,Guangdong,China,,23.0,114.0,Asia/Shanghai,China Mobile,China Mobile Communications Corporation,"AS9808 China Mobile Communications Group Co., Ltd."
,,,,,,,,,
Haidian,Beijing,China,,40.0,116.0,Asia/Shanghai,North Star Information Hi.tech Ltd. Co,North Star Information Hi.tech Ltd. Co,
Madrid,Madrid,Spain,28050,40.0,-4.0,Europe/Madrid,VODAFONE-NETWORK,,AS12430 VODAFONE ESPANA S.A.U.
Barcelona,Catalonia,Spain,8005,41.0,2.0,Europe/Madrid,"VODAFONE ONO, S.A",Ono,"AS6739 VODAFONE ONO, S.A."
Shenzhen,Guangdong,China,,23.0,114.0,Asia/Shanghai,Hangzhou Alibaba Advertising Co,"Aliyun Computing Co., LTD","AS37963 Hangzhou Alibaba Advertising Co.,Ltd."
