City,Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System,IP Address
City of Westminster,England,United Kingdom,SW1,51.5081,-0.1278,Europe/London,Trustmarque Solutions Ltd,Trustmarque Solutions Limited,AS196744 Capita Business Services Ltd,185.xxx.xxx.xxx
Warangal,Telangana,India,506003,17.9958,79.5782,Asia/Kolkata,BSNL Internet,,AS9829 National Internet Backbone,117.xxx.xxx.xxx
The Hague,South Holland,The Netherlands,2597,52.0705,4.3007,Europe/Amsterdam,GEMNET,Gemnet B.V.,,95.xxx.xxx.xxx
Guangzhou,Guangdong,China,,23.1291,113.264,Asia/Shanghai,CERNET,,AS4538 China Education and Research Network Center,219.xxx.xxx.xxx
Perth,Western Australia,Australia,6112,-32.1893,115.9694,Australia/Perth,Australian Academic and Research Network,Murdoch Univ,AS7575 Australian Academic and Research Network (AARNet),134.xxx.xxx.xxx
Kansas City,Missouri,United States,64121,39.0997,-94.5786,America/Chicago,"AT&T Services, Inc.",Private Customer - AT&T Internet Services,"AS7018 AT&T Services, Inc.",99.xxx.xxx.xxx
Miami,Florida,United States,33142,25.8119,-80.2318,America/New_York,"Comcast Cable Communications, LLC","Comcast Cable Communications, LLC","AS20214 Comcast Cable Communications, LLC",50.xxx.xxx.xxx
Torreón,Coahuila,Mexico,27000,25.5397,-103.429,America/Monterrey,Uninet S.A. de C.V.,UNINET,AS8151 UNINET,189.xxx.xxx.xxx
Palo Alto,California,United States,94304,37.412,-122.148,America/Los_Angeles,HP Inc.,HP Inc,,15.xxx.xxx.xxx
Chuo,Tokyo,Japan,289-2614,35.6744,139.776,Asia/Tokyo,JR East Information Systems Company,JR East Japan Information Systems Company,AS131932 JR East Information Systems Company,157.xxx.xxx.xxx
,,,,,,,,,,255.xxx.xxx.xxx
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,11.xxx.xxx.xxx
Seattle,Washington,United States,98108,47.6229,-122.337,America/Los_Angeles,Amazon.com,"Amazon.com, Inc",,32.xxx.xxx.xxx
Geumsan-gun,Chungcheongnam-do,South Korea,327,36.1024,127.4829,Asia/Seoul,CMB,CMB Chungcheong Broadcasting,AS38133 CMB,122.xxx.xxx.xxx
Chiyoda,Tokyo,Japan,100-8111,35.6906,139.77,Asia/Tokyo,DION (KDDI CORPORATION),KDDI,AS2516 KDDI CORPORATION,125.xxx.xxx.xxx
Chennai,Tamil Nadu,India,600001,13.0518,80.2505,Asia/Kolkata,Dishnet Wireless Limited,Aircel Limited,,175.xxx.xxx.xxx
Paris,Île-de-France,France,75000,48.8566,2.35222,Europe/Paris,Societe Francaise Du Radiotelephone - SFR SA,SFR User Data,AS15557 Societe Francaise Du Radiotelephone - SFR SA,79.xxx.xxx.xxx
Abu Dhabi,Abu Dhabi,United Arab Emirates,,24.4539,54.3773,Asia/Dubai,Emirates Telecommunications Corporation,,AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC,194.xxx.xxx.xxx
Haddington,Scotland,United Kingdom,EH41,55.919,-2.7552,Europe/London,BorderLink Broadband Limited,,AS205847 GoFibre Holdings Limited,5.xxx.xxx.xxx
Sekupang,Riau Islands,Indonesia,,1.115,103.975,Asia/Pontianak,PT Solnet Indonesia,,AS9422 PT SOLNET INDONESIA,202.xxx.xxx.xxx
,,,,,,,,,,249.xxx.xxx.xxx
The Bronx,New York,United States,10467,40.8731,-73.8726,America/New_York,Cablevision Systems Corp.,Purdue Pharamacy,AS54004 Optimum WiFi,65.xxx.xxx.xxx
Mexico City,Mexico City,Mexico,11930,19.4036,-99.2421,America/Mexico_City,"Mexico Red de Telecomunicaciones, S. de R.L. de C.V.","Mexico Red de Telecomunicaciones, S. de R.L. de C.V","AS13591 Mexico Red de Telecomunicaciones, S. de R.L. de C.V.",177.xxx.xxx.xxx
Reston,Virginia,United States,20196,38.9517,-77.3776,America/New_York,Sprint,Sprint,,144.xxx.xxx.xxx
Banqiao,Taipei,Taiwan,,25.0114,121.462,Asia/Taipei,"Far EastTone Telecommunication Co., Ltd.","Far EasTone Telecommunication Co., Ltd.","AS9674 Far EastTone Telecommunication Co., Ltd.",27.xxx.xxx.xxx
,,,,,,,,,,240.xxx.xxx.xxx
Fort Collins,Colorado,United States,80526,40.5603,-105.081,America/Denver,USDA,USDA Office of Operations,AS4152 USDA,199.xxx.xxx.xxx
Minatomirai,Kanagawa,Japan,220-0011,35.4643,139.6262,Asia/Tokyo,UCOM Corp.,broadgate,AS17506 ARTERIA Networks Corporation,125.xxx.xxx.xxx
Ōtemae,Ōsaka,Japan,540-0001,34.6837,135.5236,Asia/Tokyo,Softbank BB Corp.,SOFTBANK Corp,AS17676 SoftBank Corp.,126.xxx.xxx.xxx
,,,,,,,,,,251.xxx.xxx.xxx
Zhengzhou,Henan,China,450000,34.7472,113.625,Asia/Shanghai,CNC Group CHINA169 Henan Province Network,,AS4837 CHINA UNICOM China169 Backbone,115.xxx.xxx.xxx
Chicago,Illinois,United States,60666,41.8781,-87.6298,America/Chicago,"T-Mobile USA, Inc.","T-Mobile USA, Inc.","AS21928 T-Mobile USA, Inc.",100.xxx.xxx.xxx
Ayamonte,Andalusia,Spain,21400,37.2109,-7.4017,Europe/Madrid,Orange Spain,Jazztel triple play services,AS12479 Orange Espagne SA,87.xxx.xxx.xxx
,,,,,,,,,,249.xxx.xxx.xxx
Juiz de Fora,Minas Gerais,Brazil,36000,-21.744,-43.434,America/Sao_Paulo,V tal,V tal,AS7738 V tal,200.xxx.xxx.xxx
Sierra Vista,Arizona,United States,85613,31.5552,-110.35,America/Phoenix,CONUS-YPG,USAISC,AS749 DoD Network Information Center,6.xxx.xxx.xxx
,,,,,,,,,,234.xxx.xxx.xxx
Lamar,Colorado,United States,81052,38.0833,-102.6236,America/Denver,"CenturyLink Communications, LLC","CenturyLink Communications, LLC","AS22561 CenturyLink Communications, LLC",207.xxx.xxx.xxx
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,7.xxx.xxx.xxx
Seattle,Washington,United States,98109,47.6222,-122.337,America/Los_Angeles,Amazon Technologies Inc.,Amazon Technologies Inc,,3.xxx.xxx.xxx
Paris,Île-de-France,France,75009,48.8323,2.4075,Europe/Paris,Orange,,AS3215 Orange S.A.,90.xxx.xxx.xxx
Green Bay,Wisconsin,United States,54311,44.4965,-87.9266,America/Chicago,Charter Communications,Spectrum,AS10796 Charter Communications Inc,72.xxx.xxx.xxx
Bradley Stoke,England,United Kingdom,BS32,51.5485,-2.55766,Europe/London,EE Limited,,,89.xxx.xxx.xxx
,,,,,,,,,,240.xxx.xxx.xxx
Grenoble,Auvergne-Rhône-Alpes,France,38000,45.2069,5.69253,Europe/Paris,ESRF-GRENOBLE,The ESRF,AS1942 Renater,160.xxx.xxx.xxx
Sao Cristovao,Rio de Janeiro,Brazil,,-22.9027,-43.2194,America/Sao_Paulo,TIM S/A,Tim Celular S.A.,AS26615 TIM S/A,191.xxx.xxx.xxx
Shenzhen,Guangdong,China,,22.5431,114.058,Asia/Shanghai,China Mobile,China Mobile Communications Corporation,"AS9808 China Mobile Communications Group Co., Ltd.",36.xxx.xxx.xxx
,,,,,,,,,,235.xxx.xxx.xxx
Haidian,Beijing,China,,39.8997,116.334,Asia/Shanghai,North Star Information Hi.tech Ltd. Co,North Star Information Hi.tech Ltd. Co,,111.xxx.xxx.xxx
Madrid,Madrid,Spain,28050,40.4506,-3.60236,Europe/Madrid,VODAFONE-NETWORK,,AS12430 VODAFONE ESPANA S.A.U.,62.xxx.xxx.xxx
Barcelona,Catalonia,Spain,8005,41.3949,2.19746,Europe/Madrid,"VODAFONE ONO, S.A",Ono,"AS6739 VODAFONE ONO, S.A.",62.xxx.xxx.xxx
Shenzhen,Guangdong,China,,22.5559,114.0577,Asia/Shanghai,Hangzhou Alibaba Advertising Co,"Aliyun Computing Co., LTD","AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",119.xxx.xxx.xxx
Schiphol-Rijk,North Holland,The Netherlands,1119,52.277,4.74713,Europe/Amsterdam,Liberty Global B.V.,Liberty Global B.V,AS6830 Liberty Global B.V.,78.xxx.xxx.xxx
Yokohama,Kanagawa,Japan,231-0841,35.4346,139.6483,Asia/Tokyo,Yokohama City University,Yokohama City University,"AS2907 Research Organization of Information and Systems, National Institute of Informatics",163.xxx.xxx.xxx
Suyeong-gu,Busan,South Korea,482,35.1811,129.0928,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom,14.xxx.xxx.xxx
Sierra Vista,Arizona,United States,85613,31.5552,-110.35,America/Phoenix,DoD Network Information Center,USAISC,AS721 DoD Network Information Center,55.xxx.xxx.xxx
Madison,Wisconsin,United States,53717,43.0723,-89.524,America/Chicago,Wingra Technologies,,,192.xxx.xxx.xxx
Quanzhou,Fujian,China,,24.9051,118.5707,Asia/Shanghai,Chinanet,Chinanet FJ,AS4134 CHINANET-BACKBONE,110.xxx.xxx.xxx
Damascus,Damascus Governorate,Syria,,33.5138,36.2765,Asia/Damascus,SYRIATEL-MOBILE,,AS29256 Syrian Telecommunication Private Closed Joint Stock Company,188.xxx.xxx.xxx
Anchorage,Alaska,United States,99501,61.2314,-149.881,America/Anchorage,"AT&T Services, Inc.",Alascom,"AS7018 AT&T Services, Inc.",12.xxx.xxx.xxx
Orlando,Florida,United States,32801,28.5436,-81.3738,America/New_York,Sprint Communications,Sprint Orlando POP,AS1239 Sprint,173.xxx.xxx.xxx
Caldas,Minas Gerais,Brazil,37780,-21.8845,-46.3613,America/Sao_Paulo,Videomar Rede Nordeste S/A,Videomar Rede Nordeste S/A,AS28270 Videomar Rede Nordeste S/A,138.xxx.xxx.xxx
Caracas,Miranda,Venezuela,,10.4966,-66.8446,America/Caracas,"CANTV Servicios, Venezuela","CANTV Servicios, Venezuela","AS8048 CANTV Servicios, Venezuela",201.xxx.xxx.xxx
Rho,Lombardy,Italy,20017,45.5189,9.086,Europe/Rome,H3G,Wind TRE S.P.A,,2.xxx.xxx.xxx
Bremen,Bremen,Germany,28195,53.0832,8.78828,Europe/Berlin,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG,80.xxx.xxx.xxx
Boydton,Virginia,United States,23917,36.677696,-78.37471,America/New_York,Microsoft Corporation,Microsoft Azure Cloud (eastus2),AS8075 Microsoft Corporation,20.xxx.xxx.xxx
,,,,,,,,,,226.xxx.xxx.xxx
Malang,East Java,Indonesia,,-7.93998,112.632,Asia/Jakarta,BEST,,AS135484 PT. Bentang Selaras Teknologi,103.xxx.xxx.xxx
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,30.xxx.xxx.xxx
