Anonymization_Configuration,mean_distance,median_distance,exact_matches_%,near_matches_1pct_%
No anonymization (Baseline),0.617359118180851,0.0,59.563908980518455,59.563908980518455
ARX ACS Employment k = 10,2.288007407707275,2.23606797749979,0.0,0.0
ARX ACS Employment k = 20,2.490178924655783,2.449489742783178,0.0,0.0
ARX ACS Employment k = 50,2.491872085519039,2.449489742783178,0.0,0.0
"ARX ACS Employment k = 10, l = 2",2.4926864256119567,2.449489742783178,0.0,0.0
"ARX ACS Employment k = 10, t = 0.45",2.4927084715982337,2.449489742783178,0.0,0.0
"ARX ACS Employment k = 10, t = 0.3",2.476955985540364,2.449489742783178,0.0,0.0
"ARX ACS Employment k = 10, t = 0.2",3.169687049299415,3.1622776601683795,0.0,0.0
"DP ACS Employment, epsilon = 10.0",0.8533705591104022,1.4142135623730951,48.458226531544256,48.458226531544256
"DP ACS Employment, epsilon = 5.0",0.8537474776985374,1.4142135623730951,48.439747952177434,48.439747952177434
"DP ACS Employment, epsilon = 1.0",0.8505198906399757,1.4142135623730951,48.824630362417736,48.824630362417736
"DP ACS Employment, epsilon = 0.5",0.8695525519728309,1.4142135623730951,47.76712766322525,47.76712766322525
"DP ACS Employment, epsilon = 0.1",1.0031339599135527,1.4142135623730951,40.34296243304814,40.34296243304814
