Dataset,BlackBox_Accuracy,BlackBox_Balanced_Accuracy
No anonymization (Baseline),0.6396001619062703,0.20382267541671747
"ARX Employment, k = 3",0.6250197983211023,0.15618039646586215
"ARX Employment, k = 5",0.6177252169016068,0.15472518553969916
"ARX Employment, k = 10",0.6170124773419214,0.1536130222551159
"ARX Employment, k = 15",0.614988648962568,0.1499783544043691
"ARX Employment, k = 5, l = 3",0.6147686676169861,0.15196458799509638
"ARX Employment, k = 5, l = 5",0.6258821251957833,0.14711754387529705
"ARX Employment, k = 5, t = 0.3",0.6148654594090421,0.11117397008373214
"ARX Employment, k = 5, t = 0.15",0.5806451612903226,0.11603681372120805
"DP Employment, epsilon = 10.0",0.4522816465163754,0.13876250512998073
"DP Employment, epsilon = 5.0",0.44354398746986257,0.1387253385565056
"DP Employment, epsilon = 1.0",0.4412825792372807,0.14168891885513124
"DP Employment, epsilon = 0.5",0.4412385829681643,0.14337001086168125
"DP Employment, epsilon = 0.1",0.4284092708938282,0.1404083300214942
"Combined Employment, k = 3 + epsilon = 0.5",0.4768843602062545,0.11195604853823433
"Combined Employment, k = 3 + epsilon = 1.0",0.4683402847438537,0.11202197475456185
"Combined Employment, k = 3 + epsilon = 3.0",0.4796825229220562,0.11110197527136813
"Combined Employment, k = 5 + epsilon = 0.5",0.4849180789469053,0.11348019178102348
"Combined Employment, k = 5 + epsilon = 1.0",0.46393185857839253,0.11484455436934574
"Combined Employment, k = 5 + epsilon = 3.0",0.4787058057476726,0.11601580498223132
