Dataset,Accuracy,F1-Score,Precision,Recall
No anonymization (Baseline),0.8132226387202365,0.8144885358083926,0.7468625282492667,0.8955804768357022
"ARX Employment, k = 3",0.7381738028615173,0.7613766224392826,0.6532697547683923,0.9123590970680658
"ARX Employment, k = 5",0.7290137796314873,0.7595084982019655,0.6396495935600979,0.934644102978061
"ARX Employment, k = 10",0.731046407264664,0.7607518991205927,0.6417280722605182,0.9339810303571944
"ARX Employment, k = 15",0.7288025975397286,0.7612063455168807,0.6376611238755403,0.944128924380892
"ARX Employment, k = 5, l = 3",0.731046407264664,0.7609147121285008,0.6415654307308772,0.934817078444374
"ARX Employment, k = 5, l = 5",0.7198933530436619,0.7584896212672979,0.6265864435461126,0.9607345691469427
"ARX Employment, k = 5, t = 0.3",0.5421704239480492,0.0,0.0,0.0
"ARX Employment, k = 5, t = 0.15",0.7144290164194076,0.7557572473584394,0.6210735291389131,0.9650301265603829
"DP Employment, epsilon = 10.0",0.7624597434137586,0.7618404859263964,0.7041340508806262,0.8298497996367515
"DP Employment, epsilon = 5.0",0.7623013568449396,0.7603624702266104,0.706084420719652,0.8236803413382535
"DP Employment, epsilon = 1.0",0.7644659732854654,0.7635828884090036,0.7064274157964406,0.8308011647014731
"DP Employment, epsilon = 0.5",0.7657198669552822,0.755192673709762,0.7239218382294614,0.7892870527863465
"DP Employment, epsilon = 0.1",0.7613906340742305,0.7587090574197165,0.7063999005840687,0.8193847839248133
"Combined Employment, k = 3 + epsilon = 0.5",0.646032416451085,0.6325798054528018,0.602720413544631,0.6655519358837605
"Combined Employment, k = 3 + epsilon = 1.0",0.6446201362124492,0.6321771560497808,0.6007685516954874,0.6670510565918067
"Combined Employment, k = 3 + epsilon = 3.0",0.6462831951850483,0.6325027769016633,0.6031488649440317,0.6648600340185084
"Combined Employment, k = 5 + epsilon = 0.5",0.6621218520669447,0.6635738786453063,0.609747850449232,0.7278231037564505
"Combined Employment, k = 5 + epsilon = 1.0",0.6527374478644211,0.640632683166694,0.6087216093445814,0.6760746100844697
"Combined Employment, k = 5 + epsilon = 3.0",0.6637717121588089,0.6644537527332122,0.6117241881108875,0.7271312018911984
