Dataset,BlackBox_Accuracy,BlackBox_Balanced_Accuracy,BlackBox_Precision,BlackBox_Recall
No anonymization (Baseline),0.7306643952299829,0.2543515436750546,0.43966477825063116,0.2543515436750546
"ARX Income, k = 3",0.6170017035775128,0.1111830217851886,0.08444132858814385,0.1111830217851886
"ARX Income, k = 5",0.6170528109028961,0.1111111111111111,0.06856142343365512,0.1111111111111111
"ARX Income, k = 10",0.6170528109028961,0.1111111111111111,0.06856142343365512,0.1111111111111111
"ARX Income, k = 15",0.6170528109028961,0.1111111111111111,0.06856142343365512,0.1111111111111111
"ARX Income, k = 5, l = 3",0.6170528109028961,0.1111111111111111,0.06856142343365512,0.1111111111111111
"ARX Income, k = 5, l = 5",0.6170528109028961,0.1111111111111111,0.06856142343365512,0.1111111111111111
"ARX Income, k = 5, t = 0.3",0.6170528109028961,0.1111111111111111,0.06856142343365512,0.1111111111111111
"ARX Income, k = 5, t = 0.15",0.6170528109028961,0.1111111111111111,0.06856142343365512,0.1111111111111111
"DP Income, epsilon = 10.0",0.6094718909710392,0.19598486311176966,0.19667808820272686,0.19598486311176966
"DP Income, epsilon = 5.0",0.6057921635434412,0.19526241748843873,0.19642020919268616,0.19526241748843873
"DP Income, epsilon = 1.0",0.6266439522998296,0.19413570025477153,0.20301909761453804,0.19413570025477153
"DP Income, epsilon = 0.5",0.6156218057921635,0.17690197629607704,0.18215638771993714,0.17690197629607704
"DP Income, epsilon = 0.1",0.5715502555366269,0.12776953034213284,0.1413421448660009,0.12776953034213284
"Combined Income, k = 3 + epsilon = 0.5",0.5431856899488927,0.10920995035384899,0.1088738694337777,0.10920995035384899
"Combined Income, k = 3 + epsilon = 1.0",0.5397955706984667,0.10895842736326117,0.1089253578262372,0.10895842736326117
"Combined Income, k = 3 + epsilon = 3.0",0.5447529812606473,0.1093942109109434,0.10921308256165098,0.1093942109109434
"Combined Income, k = 5 + epsilon = 0.5",0.52206132879046,0.12069868607552439,0.10886955111164079,0.12069868607552439
"Combined Income, k = 5 + epsilon = 1.0",0.5222998296422487,0.1157960974226858,0.10492778029158438,0.1157960974226858
"Combined Income, k = 5 + epsilon = 3.0",0.5273594548551959,0.11561213968828415,0.10494792654183722,0.11561213968828415
