Anonymization_Configuration,mean_distance,median_distance,min_distance,max_distance,std_distance,percentile_1st,percentile_5th,percentile_10th,percentile_25th,percentile_75th,percentile_90th,percentile_95th,percentile_99th,exact_matches_%,near_matches_1pct_%,near_matches_5pct_%,near_matches_10pct_%
No anonymization (Baseline),1.5768305974616144,1.4195047561044243,0.0,3.1622941234619475,0.5744403011839113,0.0,0.040816326530612936,1.4142135623730951,1.4142135623730951,2.0,2.0026013902413493,2.449489742783178,2.450021037062569,4.366269165247019,4.367972742759796,5.1192504258943785,6.415672913117547
"ARX Income, k = 3",2.236332949384121,2.236091260052229,2.236091260052229,2.6462432016065995,0.0036068836534748176,2.236091260052229,2.236091260052229,2.236091260052229,2.236091260052229,2.236091260052229,2.236161106255062,2.2366499686024066,2.241300456976332,0.0,0.0,0.0,0.0
"ARX Income, k = 5",2.449537437722249,2.449510996766899,2.449510996766899,2.8284455312559875,0.0013420198662011773,2.449510996766899,2.449510996766899,2.449510996766899,2.449510996766899,2.449510996766899,2.449510996766899,2.449510996766899,2.4496810219981078,0.0,0.0,0.0,0.0
"ARX Income, k = 10",2.8284456687594637,2.8284455312559875,2.8284455312559875,2.8285007500666963,2.7520667226296674e-06,2.8284455312559875,2.8284455312559875,2.8284455312559875,2.8284455312559875,2.8284455312559875,2.8284455312559875,2.8284455312559875,2.8284455312559875,0.0,0.0,0.0,0.0
"ARX Income, k = 15",2.449610892330835,2.449510996766899,2.449510996766899,2.8284455312559875,0.0018413441433702588,2.449510996766899,2.449510996766899,2.449510996766899,2.449510996766899,2.449510996766899,2.449510996766899,2.4496810219981078,2.450849626159429,0.0,0.0,0.0,0.0
"ARX Income, k = 5, l = 3",2.236326874839238,2.236091260052229,2.236091260052229,2.6460661315453655,0.003230397093789233,2.236091260052229,2.236091260052229,2.236091260052229,2.236091260052229,2.236091260052229,2.236161106255062,2.2366499686024066,2.241300456976332,0.0,0.0,0.0,0.0
"ARX Income, k = 5, l = 5",2.8284457142416657,2.8284455312559875,2.8284455312559875,2.8285007500666963,3.1734473023012907e-06,2.8284455312559875,2.8284455312559875,2.8284455312559875,2.8284455312559875,2.8284455312559875,2.8284455312559875,2.8284455312559875,2.8284455312559875,0.0,0.0,0.0,0.0
"ARX Income, k = 5, t = 0.3",2.6457724950324706,2.645770988442115,2.645770988442115,2.677050102472002,0.0001437855019157183,2.645770988442115,2.645770988442115,2.645770988442115,2.645770988442115,2.645770988442115,2.645770988442115,2.645770988442115,2.645770988442115,0.0,0.0,0.0,0.0
"ARX Income, k = 5, t = 0.15",2.6457837889626927,2.645770988442115,2.645770988442115,2.6853025241080086,0.0004452583429721632,2.645770988442115,2.645770988442115,2.645770988442115,2.645770988442115,2.645770988442115,2.645770988442115,2.645770988442115,2.645830019696629,0.0,0.0,0.0,0.0
"DP Income, epsilon = 10.0",1.7107029638729836,2.0000000650770504,0.0005102040819253387,3.244778628597758,0.524293880340536,0.0331632653061318,1.4142136544059407,1.4142210170141727,1.4149754811461923,2.0007730310513967,2.449494046729773,2.4501209606430847,2.82852030647032,0.0,0.7758158076303887,1.6144941609383383,3.7318886872971664
"DP Income, epsilon = 5.0",1.7040108792702053,2.0000000650770504,0.0005102040819253387,3.217653928472614,0.5297080618644086,0.02806122448978304,0.2780612244897985,1.4142210170141727,1.4149754811461923,2.0007730310513967,2.449494046729773,2.4501209606430847,2.8284901205294193,0.0,0.7788822732731965,1.657935757544783,3.816216492474382
"DP Income, epsilon = 1.0",1.722547584826832,2.0000052712342034,0.0005102040819253387,3.217653928472614,0.525932737786527,0.04642857142857686,1.4142136544059407,1.4142210170141727,1.4149754811461923,2.0007730310513967,2.449494046729773,2.4501209606430847,2.8284901205294193,0.0,0.6204482150614571,1.543454373546623,3.707356962154703
"DP Income, epsilon = 0.5",1.7220946230079086,2.0000210848534556,0.0010204081638506774,3.2101010985466587,0.5301429487390386,0.039795918367344765,0.30714285714285705,1.4142581055702594,1.415582716524171,2.000968372394214,2.44951546008005,2.4502804793170005,2.8284493966078266,0.0,0.09403876032382043,1.518419331098209,3.582672336249898
"DP Income, epsilon = 0.1",1.8877465792503796,2.0001499319061367,0.0,3.2327722354862263,0.5670515884557679,0.05102040816327052,1.4142135623730951,1.4142857142857148,1.415133591590966,2.4494905929460677,2.452755592356293,2.828433751103516,2.8356340545743715,0.17274423121150947,0.17274423121150947,0.6046048092402831,2.0070017632177444
"Combined Income, k = 3 + epsilon = 0.5",2.237486091324589,2.236091260052229,2.236091260052229,2.645928402194151,0.019526201371825695,2.236091260052229,2.236091260052229,2.236091260052229,2.236091260052229,2.236091260052229,2.236905996717513,2.2375575724539054,2.249438821220157,0.0,0.0,0.0,0.0
"Combined Income, k = 3 + epsilon = 1.0",2.2371095284635567,2.236091260052229,2.236091260052229,2.645928402194151,0.015024486696307246,2.236091260052229,2.236091260052229,2.236091260052229,2.236091260052229,2.236091260052229,2.2366499686024066,2.2375575724539054,2.249438821220157,0.0,0.0,0.0,0.0
"Combined Income, k = 3 + epsilon = 3.0",2.236922801857678,2.236091260052229,2.236091260052229,2.645928402194151,0.011811381847946638,2.236091260052229,2.236091260052229,2.236091260052229,2.236091260052229,2.236091260052229,2.236905996717513,2.2375575724539054,2.249438821220157,0.0,0.0,0.0,0.0
"Combined Income, k = 5 + epsilon = 0.5",2.4495440917338884,2.449510996766899,2.449510996766899,2.4832634276583216,0.00043058361853445364,2.449510996766899,2.449510996766899,2.449510996766899,2.449510996766899,2.449510996766899,2.449510996766899,2.4495747576115865,2.4502547700495905,0.0,0.0,0.0,0.0
"Combined Income, k = 5 + epsilon = 1.0",2.449543360184324,2.449510996766899,2.449510996766899,2.4832634276583216,0.0003715867738935612,2.449510996766899,2.449510996766899,2.449510996766899,2.449510996766899,2.449510996766899,2.449510996766899,2.4495747576115865,2.4502547700495905,0.0,0.0,0.0,0.0
