Anonymization_Configuration,mean_distance,median_distance,exact_matches_%,near_matches_1pct_%
No anonymization (Baseline),1.5752734285482848,1.417890097361776,4.306643952299829,4.3236797274275975
ARX ACS Income k = 10,2.6457513217423223,2.6457513110645907,0.0,0.0
ARX ACS Income k = 20,2.4494900200731378,2.449489742783178,0.0,0.0
ARX ACS Income k = 50,2.828427125538261,2.8284271247461903,0.0,0.0
"ARX ACS Income k = 10, l = 2",2.8284271255306277,2.8284271247461903,0.0,0.0
"ARX ACS Income k = 10, t = 0.2",2.4494903486128994,2.449489742783178,0.0,0.0
"ARX ACS Income k = 10, t = 0.10",2.6457513921819658,2.6457513110645907,0.0,0.0
"ARX ACS Income k = 10, t = 0.05",2.6457513928325946,2.6457513110645907,0.0,0.0
"DP ACS Income, epsilon = 10.0",1.7141531941100534,2.0000000650770504,0.0,0.7160197275956354
"DP ACS Income, epsilon = 5.0",1.708295220136725,2.0000000650770504,0.0,0.7543505481307337
"DP ACS Income, epsilon = 1.0",1.7214047032027593,2.0000052712342034,0.0,0.6746224414177293
"DP ACS Income, epsilon = 0.5",1.7388262718962473,2.000031497044779,0.0,0.2069864308895306
"DP ACS Income, epsilon = 0.1",1.8816132864706936,2.000149931906136,0.1635448342830859,0.1635448342830859
