Dataset,Accuracy,F1-Score,Precision,Recall
No anonymization (Baseline),0.8218894539135768,0.7945528503212875,0.7539718057731036,0.8397507788161994
"ARX Income, k = 3",0.6357549893951396,0.6250920568122041,0.5408739189804278,0.7403738317757009
"ARX Income, k = 5",0.630184243477372,0.6133376082077588,0.5369071007577884,0.7151401869158879
"ARX Income, k = 10",0.5352260240717553,0.5942533351180118,0.46285098693355575,0.8298442367601246
"ARX Income, k = 15",0.5155495361970716,0.5940297229003384,0.4525580788305925,0.8641744548286604
"ARX Income, k = 5, l = 3",0.6369049140111926,0.6255764315265224,0.5420338828256998,0.7395638629283489
"ARX Income, k = 5, l = 5",0.5155495361970716,0.5940297229003384,0.4525580788305925,0.8641744548286604
"ARX Income, k = 5, t = 0.3",0.6315897068969923,0.6310428662827895,0.5354614549402823,0.7681619937694704
"ARX Income, k = 5, t = 0.15",0.6368282523701224,0.626550346857263,0.541761337816959,0.742803738317757
"DP Income, epsilon = 10.0",0.7521784683004115,0.6883475801786747,0.7107778072736926,0.6672897196261682
"DP Income, epsilon = 5.0",0.7516673906932768,0.6879655792447984,0.709752219424937,0.6674766355140187
"DP Income, epsilon = 1.0",0.7422891166023561,0.6812881205953923,0.6912717244917591,0.6715887850467289
"DP Income, epsilon = 0.5",0.7234814606598012,0.6426944031698861,0.6836670179135933,0.6063551401869159
"DP Income, epsilon = 0.1",0.6590856821608361,0.6146558447185234,0.5729362985299661,0.6629283489096574
"Combined Income, k = 3 + epsilon = 0.5",0.6049881174456341,0.6056028984028168,0.5127894918769443,0.7394392523364486
"Combined Income, k = 3 + epsilon = 1.0",0.6018194362813993,0.5860914838229825,0.5108353398777551,0.6873520249221183
"Combined Income, k = 3 + epsilon = 3.0",0.6143663915365548,0.6049373020236132,0.5216488329044201,0.7198753894080997
"Combined Income, k = 5 + epsilon = 0.5",0.5921600695065545,0.6161062202338,0.5017630465444288,0.7979439252336449
"Combined Income, k = 5 + epsilon = 1.0",0.5983696624332405,0.6172839506172839,0.5066554742774914,0.7897196261682243
"Combined Income, k = 5 + epsilon = 3.0",0.5795620064906856,0.5826971364800771,0.49138041664884285,0.7157009345794393
