Dataset,BlackBox_Accuracy,BlackBox_Balanced_Accuracy,BlackBox_Precision,BlackBox_Recall,BlackBox_F1_Score
No anonymization (Baseline),0.600981547862487,0.2393901148774433,0.3284750002606413,0.2393901148774433,0.2769448798686717
"ARX Public Coverage, k = 3",0.5859936969230399,0.3657951265647825,0.4764734633719322,0.3657951265647825,0.413862449392757
"ARX Public Coverage, k = 5",0.570404407342363,0.3556770329197427,0.4486571605228374,0.3556770329197427,0.3967928976635044
"ARX Public Coverage, k = 10",0.5843577838188948,0.2989958498623503,0.4390358086826214,0.2989958498623503,0.3557296850811603
"ARX Public Coverage, k = 15",0.5621767267303389,0.2302955519571395,0.3159339481311691,0.2302955519571395,0.266401514217387
"ARX Public Coverage, k = 5, l = 3",0.5778381889479636,0.2755080582425004,0.3351019782608452,0.2755080582425004,0.3023969139863956
"ARX Public Coverage, k = 5, l = 5",0.5556571318594077,0.2039373597551747,0.3257463505400226,0.2039373597551747,0.2508359210895604
"ARX Public Coverage, k = 5, t = 0.3",0.5620804965477422,0.2430084056077444,0.2849269433102191,0.2430084056077444,0.26230348981334745
"ARX Public Coverage, k = 5, t = 0.15",0.5070608896480381,0.1920651096567359,0.2631466836972447,0.1920651096567359,0.22205618306912323
"DP Public Coverage, epsilon = 10.0",0.4051771838237063,0.1023411613060981,0.1011987345364454,0.1023411613060981,0.10176674182027957
"DP Public Coverage, epsilon = 5.0",0.4035653282652104,0.1031285196218015,0.1014644891054542,0.1031285196218015,0.10228973727618786
"DP Public Coverage, epsilon = 1.0",0.4220655808694397,0.1020034777643907,0.0981034820132418,0.1020034777643907,0.10001547529648254
"DP Public Coverage, epsilon = 0.5",0.4147039719007866,0.1019512255993664,0.1000742012793598,0.1019512255993664,0.101003993694645
"DP Public Coverage, epsilon = 0.1",0.4602930209060071,0.1096914615696502,0.1114402000602664,0.1096914615696502,0.11055891618707096
"Combined Public Coverage, k = 3 + epsilon = 0.5",0.46289123583612,0.1108060744645514,0.110806433840173,0.1108060744645514,0.11080625415207081
"Combined Public Coverage, k = 3 + epsilon = 1.0",0.4467726802511608,0.1251079570979636,0.1160092010693492,0.1251079570979636,0.12038690452947391
"Combined Public Coverage, k = 3 + epsilon = 3.0",0.4615680708254144,0.1287398513824953,0.1271417028664592,0.1287398513824953,0.12793578638044567
"Combined Public Coverage, k = 5 + epsilon = 0.5",0.4411672721148988,0.1124214507514952,0.1163704046727222,0.1124214507514952,0.11436184818370272
"Combined Public Coverage, k = 5 + epsilon = 1.0",0.4687853345201722,0.1334699187742635,0.1241809692060263,0.1334699187742635,0.1286579992265005
"Combined Public Coverage, k = 5 + epsilon = 3.0",0.4538215411263743,0.1313696225215131,0.1265338522181889,0.1313696225215131,0.12890640127182032
