Anonymization_Configuration,mean_distance,median_distance,min_distance,max_distance,std_distance,percentile_1st,percentile_5th,percentile_10th,percentile_25th,percentile_75th,percentile_90th,percentile_95th,percentile_99th,exact_matches_%,near_matches_1pct_%,near_matches_5pct_%,near_matches_10pct_%
No anonymization (Baseline),1.216773132796182e-10,0.0,0.0,8.429369702178807e-08,3.2002851765819834e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.85565075731799,100.0,100.0,100.0
"ARX Public Coverage, k = 3",1.7356660998270546,1.7320508075688772,1.7320508075688759,2.670657161532145,0.04244914600523171,1.7320508075688767,1.7320508075688767,1.7320508075688767,1.7320508075688772,1.7320508075688772,1.7320508075688779,1.7320591967678944,1.7448135831611593,0.0,0.0,0.0,0.0
"ARX Public Coverage, k = 5",2.0020569811911324,2.0,1.9999999999999987,2.841498388404037,0.02982944978372392,1.9999999999999996,1.9999999999999996,1.9999999999999996,2.0,2.0,2.0000000000000004,2.000001816318441,2.002904002516882,0.0,0.0,0.0,0.0
"ARX Public Coverage, k = 10",2.2369833257365634,2.23606797749979,2.2360679774997885,3.0000012108792653,0.018839832296119505,2.2360679774997894,2.2360679774997894,2.2360679774997894,2.23606797749979,2.23606797749979,2.2360679774997902,2.2360679774997907,2.2364236666153765,0.0,0.0,0.0,0.0
"ARX Public Coverage, k = 15",2.2369632242061157,2.23606797749979,2.2360679774997885,3.0000012108792653,0.018630277686913953,2.2360679774997894,2.2360679774997894,2.2360679774997894,2.23606797749979,2.23606797749979,2.2360679774997902,2.2360679774997907,2.2364142430369194,0.0,0.0,0.0,0.0
"ARX Public Coverage, k = 5, l = 3",2.0022362083981866,2.0,1.9999999999999987,2.851738009432657,0.03121825591198468,1.9999999999999996,1.9999999999999996,1.9999999999999996,2.0,2.0,2.0000000000000004,2.000001816318441,2.004180430587358,0.0,0.0,0.0,0.0
"ARX Public Coverage, k = 5, l = 5",2.646130287583224,2.6457513110645907,2.6457513110645894,3.316777293876998,0.011171462996849358,2.6457513110645903,2.6457513110645903,2.6457513110645903,2.6457513110645907,2.6457513110645907,2.6457513110645907,2.6457513110645907,2.6458007389019698,0.0,0.0,0.0,0.0
"ARX Public Coverage, k = 5, t = 0.3",2.237843762472816,2.23606797749979,2.2360679774997885,3.0057594687680917,0.02666163615324597,2.2360679774997894,2.2360679774997894,2.2360679774997894,2.23606797749979,2.23606797749979,2.2360679774997902,2.236069602064538,2.2385375776185437,0.0,0.0,0.0,0.0
"ARX Public Coverage, k = 5, t = 0.15",2.828925782008482,2.8284271247461903,2.828427124746189,3.4641026637900123,0.012379892143985672,2.82842712474619,2.82842712474619,2.82842712474619,2.8284271247461903,2.8284271247461903,2.8284271247461903,2.8284271247461903,2.828555554997309,0.0,0.0,0.0,0.0
"DP Public Coverage, epsilon = 10.0",1.0956052471455475,1.4144443903369315,0.0010781671148123134,2.9471405742496435,0.7499956017464035,0.0012938005383239665,0.009056603773367389,0.015309973045928762,0.12808625336926738,1.4212489954768468,2.000537267727304,2.0189556586509587,2.4618584381092408,0.0,5.675043665285736,15.944685826464772,24.027454999494783
"DP Public Coverage, epsilon = 5.0",1.0948643054235945,1.4144935025308212,0.0010781671148123134,2.918045577575405,0.7513679931472262,0.0012938005383239665,0.009056603773367389,0.017142857142727203,0.1276549865229063,1.4212811755202623,2.0005236133543733,2.0189556586509587,2.464991268057298,0.0,5.500382522337861,15.80394647574231,24.18695959698024
"DP Public Coverage, epsilon = 1.0",1.0950434045895159,1.4144146412918979,0.0004097035072880209,3.16242423570323,0.757813879709165,0.0006037735835181835,0.008064690026704445,0.017832884096957175,0.12213477088950646,1.4193706228170202,2.000487505074932,2.019008757779514,2.468559199707514,0.0,7.3198897180882545,22.02173881663467,24.56082105171991
"DP Public Coverage, epsilon = 0.5",1.0639803501849707,1.414381251213527,0.0004097035072880209,3.316704445716491,0.7706941233798821,0.0006037735835181835,0.008064690026704445,0.017832884096957175,0.08892722371964695,1.4204056891072878,2.000487505074932,2.0237496485695656,2.5374806484402304,0.0,7.138732912799342,22.578922297443597,25.683848896459143
"DP Public Coverage, epsilon = 0.1",1.108407710764863,1.4145030197113397,0.0006037735835181835,3.2309144280232265,0.8033394837549375,0.0006469002650430558,0.009121293800526885,0.023417789757389,0.08892722371964695,1.4476058303576427,2.0021843066961282,2.4494981714388984,2.5892167008372957,0.0,5.883626600459027,22.658313726056267,25.665805389956265
"Combined Public Coverage, k = 3 + epsilon = 0.5",1.7930761900952308,1.7320535909082746,1.7320508209916274,3.115131317279381,0.1716860991111698,1.7320508560250083,1.7320509128032409,1.7320510557555249,1.7320511168290313,1.7323487804315407,2.2360682170516837,2.2361740370070344,2.2882266525132966,0.0,0.0,0.0,0.0
"Combined Public Coverage, k = 3 + epsilon = 1.0",1.7917591452006532,1.7320528714498318,1.7320508209916274,3.0000138663013867,0.1706175459693238,1.7320508560250083,1.7320509128032409,1.7320510557555249,1.7320511168290313,1.7323807911112312,2.2360681697443456,2.236275261805478,2.332125219881783,0.0,0.0,0.0,0.0
"Combined Public Coverage, k = 3 + epsilon = 3.0",1.7876847207105633,1.7320613309736415,1.7320508285419252,2.7678273429910383,0.1645259865309995,1.7320508285419252,1.7320511104196687,1.7320512136070452,1.732051290787844,1.7326038574167768,1.9198014387921782,2.2361345187059816,2.3143590375292833,0.0,0.0,0.0,0.0
"Combined Public Coverage, k = 5 + epsilon = 0.5",2.0287817490935423,2.0000017873736033,2.0000000116244427,3.1726926042740167,0.11039816153714214,2.0000000419642405,2.000000091135633,2.0000002149359455,2.000000267827156,2.000032652794673,2.002684287707642,2.44948996146314,2.4498878051782134,0.0,0.0,0.0,0.0
"Combined Public Coverage, k = 5 + epsilon = 1.0",2.0276428228621444,2.0000017873736033,2.0000000116244427,2.8616457417627363,0.10542506824396929,2.0000000116244427,2.000000091135633,2.0000002149359455,2.000000267827156,2.0000399174749566,2.0047735471708763,2.44948996146314,2.4498878051782134,0.0,0.0,0.0,0.0
"Combined Public Coverage, k = 5 + epsilon = 3.0",2.0248604316775087,2.000003978461762,2.0000000181631923,2.8332711664391637,0.09915778174543248,2.0000000181631923,2.0000002622764845,2.0000003516393785,2.000000418479915,2.000080079186712,2.005900801749713,2.4494897576133625,2.4496241456529977,0.0,0.0,0.0,0.0
