Dataset,Accuracy,F1-Score,Precision,Recall
No anonymization (Baseline),0.684818303200895,0.5963955637707948,0.5635807860262009,0.6332679097154073
"ARX Public Coverage, k = 3",0.6704557756847461,0.5690826727066818,0.5480821668787493,0.591756624141315
"ARX Public Coverage, k = 5",0.6840965681498322,0.5445369406867846,0.5795127353266888,0.5135426889106968
"ARX Public Coverage, k = 10",0.6941286853596045,0.5,0.626737651582372,0.41589793915603535
"ARX Public Coverage, k = 15",0.694525639637689,0.49562056843234226,0.6308205672683149,0.4081452404317959
"ARX Public Coverage, k = 5, l = 3",0.6897621883006748,0.5215649173576715,0.6023910528345545,0.45986261040235527
"ARX Public Coverage, k = 5, l = 5",0.6932626032983292,0.48309413767939674,0.6351135273425008,0.3897939156035329
"ARX Public Coverage, k = 5, t = 0.3",0.6944534661325827,0.5508937569617568,0.5994459194274501,0.5096172718351325
"ARX Public Coverage, k = 5, t = 0.15",0.6894374075276966,0.5416977313877942,0.5922217047042385,0.499116781157998
"DP Public Coverage, epsilon = 10.0",0.5447656165421674,0.4120251689582848,0.39236573457612073,0.4337585868498528
"DP Public Coverage, epsilon = 5.0",0.5699541698242575,0.41153523282800847,0.4141735413974754,0.40893032384690875
"DP Public Coverage, epsilon = 1.0",0.5508281909710945,0.41390026839949146,0.3978455689327419,0.4313052011776251
"DP Public Coverage, epsilon = 0.5",0.5682220057017069,0.41727950129060537,0.4141931741274292,0.42041216879293425
"DP Public Coverage, epsilon = 0.1",0.5640720291580961,0.33259668508287293,0.3805309734513274,0.29538763493621195
"Combined Public Coverage, k = 3 + epsilon = 0.5",0.5835949622893436,0.47518988493200526,0.44282444689327793,0.5126594700686948
"Combined Public Coverage, k = 3 + epsilon = 1.0",0.5906318790372055,0.4799193104713002,0.45035277921183964,0.5136408243375858
"Combined Public Coverage, k = 3 + epsilon = 3.0",0.5874562448125293,0.48564743993521103,0.4484047856430708,0.5296368989205104
"Combined Public Coverage, k = 5 + epsilon = 0.5",0.5685828732272383,0.5013971722901114,0.4359904257634003,0.589892051030422
"Combined Public Coverage, k = 5 + epsilon = 1.0",0.5888997149146549,0.48527019699981927,0.4496734215374309,0.5269872423945045
"Combined Public Coverage, k = 5 + epsilon = 3.0",0.571108945905958,0.5004413433651381,0.4376884052643188,0.5842001962708537
