Dataset,BlackBox_Accuracy,BlackBox_Balanced_Accuracy,BlackBox_Precision,BlackBox_Recall
No anonymization (Baseline),0.5382374362709396,0.6810826704609084,0.6812190483777224,0.6810826704609084
"ARX Bank Marketing, k = 3",0.9200453184429878,0.9446432680724666,0.9452710388898015,0.9446432680724666
"ARX Bank Marketing, k = 5",0.9015133122926277,0.9316777212751627,0.9326904533878291,0.9316777212751627
"ARX Bank Marketing, k = 10",0.8906692562919802,0.9241712368669518,0.925245186285706,0.9241712368669518
"ARX Bank Marketing, k = 15",0.8862183377842519,0.9214166154633364,0.9219114071888858,0.9214166154633364
"ARX Bank Marketing, k = 5, l = 2",0.903293679695719,0.9330494856230054,0.9337802593830761,0.9330494856230054
"ARX Bank Marketing, k = 5, l = 3",0.8184025248846808,0.8745214491731614,0.8752799298770565,0.8745214491731614
"ARX Bank Marketing, k = 5, t = 0.3",0.9012705349194788,0.9316713575151595,0.932372371427952,0.9316713575151595
"ARX Bank Marketing, k = 5, t = 0.15",0.881443716112325,0.9180812386149078,0.9186570496559568,0.9180812386149078
"DP Bank Marketing, epsilon = 10.0",0.5202719106579267,0.45318507621919313,0.6693226624239901,0.45318507621919313
"DP Bank Marketing, epsilon = 5.0",0.5195435785384802,0.42362535215059816,0.6148469946009163,0.42362535215059816
"DP Bank Marketing, epsilon = 1.0",0.4761673545358906,0.4147331137948287,0.6397461533862973,0.4147331137948287
"DP Bank Marketing, epsilon = 0.5",0.48725418790968683,0.5081670791596838,0.647451630746353,0.5081670791596838
"DP Bank Marketing, epsilon = 0.1",0.4830460467751072,0.32520098375047596,0.3171113994789492,0.32520098375047596
"Combined Bank Marketing, k = 3 + epsilon = 0.5",0.5099943351946266,0.41451897854396447,0.6594073894584702,0.41451897854396447
"Combined Bank Marketing, k = 3 + epsilon = 1.0",0.5048960103585013,0.38709671052386757,0.6081718513737313,0.38709671052386757
"Combined Bank Marketing, k = 3 + epsilon = 3.0",0.518977098001133,0.46131414396521303,0.5993935543856487,0.46131414396521303
"Combined Bank Marketing, k = 5 + epsilon = 0.5",0.5150926600307518,0.4399949150431066,0.6701370230568703,0.4399949150431066
"Combined Bank Marketing, k = 5 + epsilon = 1.0",0.514849882657603,0.4053217804281206,0.672032901900026,0.4053217804281206
"Combined Bank Marketing, k = 5 + epsilon = 3.0",0.5174395079711904,0.42969146638030503,0.6674941723307576,0.42969146638030503
