Anonymization_Configuration,mean_distance,median_distance,min_distance,max_distance,std_distance,percentile_1st,percentile_5th,percentile_10th,percentile_25th,percentile_75th,percentile_90th,percentile_95th,percentile_99th,exact_matches_%,near_matches_1pct_%,near_matches_5pct_%,near_matches_10pct_%
No anonymization (Baseline),0.5965569976117551,0.12546148153132794,0.0,2.633346681623431,0.6827714376359948,0.004066693777853015,0.016182264233183842,0.023170733748896506,0.04521039329027948,1.4146811434207152,1.4217597820898347,1.5183484263988933,2.005152882468122,0.040462895524803755,2.346847940438618,27.320547058347493,45.26179493404548
"ARX Bank Marketing, k = 3",0.5554168857676698,0.41802641022680376,0.20987654320987123,2.742084845756073,0.3631736733774701,0.2716790617380079,0.30864197530863957,0.32196944856842474,0.35992485084630166,0.5555555555555576,1.442585391616622,1.4686210296916122,1.8536987329296166,0.0,0.0,0.0,0.0
"ARX Bank Marketing, k = 5",0.5548281560631709,0.417538811498599,0.20987654320987123,2.742084845756073,0.36256919055238834,0.2716636390928856,0.30864197530863957,0.3219342424937666,0.3599254519302571,0.5555555555555576,1.4424521633146297,1.4685325867686219,1.8331102633523109,0.0,0.0,0.0,0.0
"ARX Bank Marketing, k = 10",0.5482768735086478,0.4110586885111296,0.20987654320987123,2.742084845756073,0.3560461589652629,0.2717809047472265,0.30864197530863957,0.3217809692420023,0.3595909137897174,0.5485505967096709,1.4355630553069425,1.4664164286976984,1.7517343711451263,0.0,0.0,0.0,0.0
"ARX Bank Marketing, k = 15",0.5492041078441577,0.4106264796269275,0.20987654320987123,2.742084845756073,0.3569617607384315,0.27181744923852036,0.30864197530863957,0.32171051806808265,0.35924145779378513,0.5555555555555544,1.4375942356549083,1.466794021755173,1.7596043948755882,0.0,0.0,0.0,0.0
"ARX Bank Marketing, k = 5, l = 2",0.5548579142770703,0.4175680306559161,0.20987654320987123,2.742084845756073,0.3625877726183546,0.27166292341203985,0.30864197530863957,0.3219342424937666,0.3599302007954072,0.5555555555555576,1.4424542984981734,1.4685347955645132,1.833251943414535,0.0,0.0,0.0,0.0
"ARX Bank Marketing, k = 5, l = 3",1.110612941026444,1.0671159868769107,1.0217867504473352,2.553238982415298,0.15347206247562628,1.0332015928693965,1.0408052019804943,1.0459056789345345,1.0545041532339954,1.0928324314741742,1.1568275151838834,1.2954108408361997,1.7890437600164981,0.0,0.0,0.0,0.0
"ARX Bank Marketing, k = 5, t = 0.3",0.5539281353861423,0.4157057814288487,0.20987654320987123,2.742084845756073,0.3615310436722624,0.2716759064054965,0.30864197530863957,0.3218983514306022,0.3598970202354036,0.555555555555556,1.4414123828500143,1.4684465800477842,1.7978255675005537,0.0,0.0,0.0,0.0
"ARX Bank Marketing, k = 5, t = 0.15",0.5511621566272085,0.4117134509110058,0.2222222222222187,2.742084845756073,0.35895426037916434,0.27233492779230567,0.30864197530863957,0.32185426959623303,0.3594823568725619,0.5555555555555544,1.4389477489705091,1.467533893104596,1.784918632009816,0.0,0.0,0.0,0.0
"DP Bank Marketing, epsilon = 10.0",0.9312844758493696,0.679200069068155,0.09973670055277044,10.649297655964821,0.619801451721515,0.1046543613724111,0.11277614170004857,0.12904237303162988,0.5128692043889901,1.4975341188152034,1.564115512583742,2.0273118967061117,2.5030931510654137,0.0,0.0,0.0,0.08740409828105274
