Anonymization_Configuration,mean_distance,median_distance,exact_matches_%,near_matches_1pct_%
No anonymization (Baseline),0.5965569976117551,0.12546148153132794,0.040462895524803755,2.346847940438618
ARX Bank_marketing k = 5,0.5569741572024483,0.41975308641975095,0.0,0.0
ARX Bank Marketing k = 10,0.5532583101854902,0.41464038701388345,0.0,0.0
ARX Bank Marketing k = 20,0.5527270143498331,0.4151077614614514,0.0,0.0
"ARX Bank_marketing k = 5, l = 2",0.5564967085609148,0.41975308641975095,0.0,0.0
"ARX Bank_marketing k = 5, l = 3",0.5537574521075426,0.41802641022680376,0.0,0.0
"ARX Bank_marketing k = 5, t = 0.2",1.4675267353309185,1.4554911681230998,0.0,0.0
"ARX Bank_marketing k = 5, t = 0.1",1.4679355560716012,1.4553266874520312,0.0,0.0
"DP Bank Marketing, epsilon = 10.0",0.9312844758493698,0.679200069068155,0.0,0.0
"DP Bank Marketing, epsilon = 5.0",0.9386364457164768,0.7613643172997417,0.0,0.0
"DP Bank Marketing, epsilon = 1.0",0.9622177965628056,0.7726813243534353,0.0,0.0
"DP Bank Marketing, epsilon = 0.5",1.0350943456622523,0.7741925460149146,0.0,0.0
"DP Bank Marketing, epsilon = 0.1",1.6069954851148947,1.5180328724987482,0.0,0.0
