Dataset,Accuracy,F1-Score,Precision,Recall
No anonymization (Baseline),0.8948773974265598,0.4100817438692098,0.5700757575757576,0.3202127659574468
"ARX Bank Marketing, k = 3",0.9481670308327264,0.7181518151815182,0.9460869565217391,0.5787234042553191
"ARX Bank Marketing, k = 5",0.9499878611313426,0.7289473684210527,0.9551724137931035,0.5893617021276596
"ARX Bank Marketing, k = 10",0.9474386987132799,0.713813615333774,0.9424083769633508,0.574468085106383
"ARX Bank Marketing, k = 15",0.9532653556688516,0.7580138277812697,0.9262672811059908,0.6414893617021277
"ARX Bank Marketing, k = 5, l = 2",0.949502306385045,0.7284595300261096,0.9425675675675675,0.5936170212765958
"ARX Bank Marketing, k = 5, l = 3",0.9360281621752853,0.635798203178991,0.9072978303747534,0.48936170212765956
"ARX Bank Marketing, k = 5, t = 0.3",0.948652585579024,0.723348593852191,0.9388794567062818,0.5882978723404255
"ARX Bank Marketing, k = 5, t = 0.15",0.9524156348628308,0.7525252525252525,0.9254658385093167,0.6340425531914894
"DP Bank Marketing, epsilon = 10.0",0.7436270939548434,0.11853088480801335,0.09752747252747253,0.15106382978723404
"DP Bank Marketing, epsilon = 5.0",0.7250546249089584,0.2004941757853865,0.15002641310089804,0.3021276595744681
"DP Bank Marketing, epsilon = 1.0",0.8625880067977665,0.3003708281829419,0.3584070796460177,0.25851063829787235
"DP Bank Marketing, epsilon = 0.5",0.8038358824957514,0.24485981308411214,0.21833333333333332,0.27872340425531916
"DP Bank Marketing, epsilon = 0.1",0.8511774702597718,0.0192,0.03870967741935484,0.01276595744680851
"Combined Bank Marketing, k = 3 + epsilon = 0.5",0.8136683661082788,0.2721669037458511,0.24550898203592814,0.30531914893617024
"Combined Bank Marketing, k = 3 + epsilon = 1.0",0.8211944646758922,0.26091319618665326,0.24691358024691357,0.2765957446808511
"Combined Bank Marketing, k = 3 + epsilon = 3.0",0.7847778587035689,0.18781493357764545,0.16492357200321803,0.21808510638297873
"Combined Bank Marketing, k = 5 + epsilon = 0.5",0.8554260742898762,0.037186742118027485,0.07744107744107744,0.02446808510638298
"Combined Bank Marketing, k = 5 + epsilon = 1.0",0.8627093954843409,0.2641509433962264,0.34003350083752093,0.21595744680851064
"Combined Bank Marketing, k = 5 + epsilon = 3.0",0.7603787327021122,0.2494296577946768,0.1940828402366864,0.34893617021276596
