Dataset,BlackBox_Accuracy,BlackBox_Balanced_Accuracy,Precision,Recall,BlackBox_F1_Score
No anonymization (Baseline),0.5883333333333334,0.567411310856704,0.57265390937197,0.567411310856704,0.5700205560499272
"ARX Credit Card Clients, k = 3",0.9838888888888888,0.9829084831770584,0.9857612744643256,0.9829084831770584,0.9843328118366035
"ARX Credit Card Clients, k = 5",0.9804444444444445,0.9791545533555168,0.9829419550002584,0.9791545533555168,0.9810445987992766
"ARX Credit Card Clients, k = 10",0.9781111111111112,0.9771380319668216,0.980358443144911,0.9771380319668216,0.9787455884966502
"ARX Credit Card Clients, k = 15",0.9753333333333334,0.974347343663168,0.9777650672462804,0.974347343663168,0.9760532136099859
"ARX Credit Card Clients, k = 5, l = 2",0.9804444444444445,0.9795642652733784,0.982816631590104,0.9795642652733784,0.9811877532652027
"ARX Credit Card Clients, k = 5, l = 4",0.974,0.9729959906200296,0.9759140864661308,0.9729959906200296,0.9744528539160245
"ARX Credit Card Clients, k = 5, t = 0.3",0.9777777777777776,0.9764443549947024,0.9798975525972896,0.9764443549947024,0.9781679061248205
"ARX Credit Card Clients, k = 5, t = 0.15",0.9675555555555556,0.9660836096384108,0.970129645468124,0.9660836096384108,0.968102400124834
"DP Credit Card Clients, epsilon = 10.0",0.2804444444444444,0.2611000780805163,0.2583856732426648,0.2611000780805163,0.25973578403914954
"DP Credit Card Clients, epsilon = 5.0",0.2677777777777778,0.2453058039301909,0.2402929473609655,0.2453058039301909,0.24277350167976094
"DP Credit Card Clients, epsilon = 3.0",0.3253333333333333,0.3037187419953236,0.3046525848688222,0.3037187419953236,0.3041849467131269
"DP Credit Card Clients, epsilon = 1.0",0.2931111111111111,0.2734727895690658,0.2797297967296821,0.2734727895690658,0.2765659081569881
"DP Credit Card Clients, epsilon = 0.5",0.263,0.2492443838746925,0.2593129895434302,0.2492443838746925,0.2541790157324799
"Combined Credit Card Clients, k = 3 + epsilon = 0.5",0.2141111111111111,0.1996444322683345,0.2105349988716179,0.1996444322683345,0.2049451392797769
"Combined Credit Card Clients, k = 3 + epsilon = 1.0",0.3234444444444444,0.3093200646227946,0.3175445971782328,0.3093200646227946,0.3133783775196028
"Combined Credit Card Clients, k = 3 + epsilon = 3.0",0.3277777777777778,0.306920760398829,0.3064346445381022,0.306920760398829,0.3066775098324929
"Combined Credit Card Clients, k = 5 + epsilon = 0.5",0.2192222222222222,0.2020783686570496,0.2149794273425547,0.2020783686570496,0.20832936052945236
"Combined Credit Card Clients, k = 5 + epsilon = 1.0",0.3544444444444444,0.3363236685054266,0.3407377291223074,0.3363236685054266,0.33851631021395734
"Combined Credit Card Clients, k = 5 + epsilon = 3.0",0.3383333333333333,0.3124597750595952,0.313037853175177,0.3124597750595952,0.3127485469906277
