Anonymization_Configuration,mean_distance,median_distance,min_distance,max_distance,std_distance,percentile_1st,percentile_5th,percentile_10th,percentile_25th,percentile_75th,percentile_90th,percentile_95th,percentile_99th,exact_matches_%,near_matches_1pct_%,near_matches_5pct_%,near_matches_10pct_%
No anonymization (Baseline),0.8429425164567812,1.4142136643129968,0.0,3.162382551559292,0.7844779455502525,9.756894208371068e-05,0.0059620027274613525,0.012572932247416466,0.035763610957294203,1.4148655883326131,2.000010177151474,2.000368158193385,2.4495001993202306,0.9333333333333335,7.9222222222222225,30.91111111111111,40.18888888888889
"ARX Credit Card Clients, k = 3",1.0432861435938199,1.0,0.9999999999999964,3.000110565030339,0.18375180719902845,0.9999999999999982,0.9999999999999982,1.0,1.0,1.0000144667587303,1.0015020091754419,1.7320519975930264,1.7377504967932826,0.0,0.0,0.0,0.0
"ARX Credit Card Clients, k = 5",1.4383210613690927,1.4142135623730951,1.4142135623730925,3.0797811309454914,0.12317366600237042,1.4142135623730938,1.4142135623730938,1.4142135623730951,1.4142135623730951,1.4142201426543073,1.4147298150899699,1.4218389237292826,2.001125240247485,0.0,0.0,0.0,0.0
"ARX Credit Card Clients, k = 10",1.4383290116781546,1.4142135623730951,1.4142135623730925,3.0797811309454914,0.12326008469440347,1.4142135623730938,1.4142135623730938,1.4142135623730951,1.4142135623730951,1.4142202488777564,1.4147272810984763,1.4217279625575088,2.001128179392673,0.0,0.0,0.0,0.0
"ARX Credit Card Clients, k = 15",1.4380090886058905,1.4142135623730951,1.4142135623730925,3.0797811309454914,0.12224928448332158,1.4142135623730938,1.4142135623730938,1.4142135623730951,1.4142135623730951,1.4142202222614546,1.414713816191644,1.4212238098355945,2.00106452939897,0.0,0.0,0.0,0.0
"ARX Credit Card Clients, k = 5, l = 2",1.438333181927675,1.4142135623730951,1.4142135623730925,3.0797811309454914,0.12320350521677007,1.4142135623730938,1.4142135623730938,1.4142135623730951,1.4142135623730951,1.414220134880819,1.414730626790349,1.4218577878959076,2.001125987487787,0.0,0.0,0.0,0.0
"ARX Credit Card Clients, k = 5, l = 4",1.438028009441209,1.4142135623730951,1.4142135623730925,3.0797811309454914,0.12254579839032795,1.4142135623730938,1.4142135623730938,1.4142135623730951,1.4142135623730951,1.4142201443673807,1.4147139531464588,1.421112741506921,2.001057254096141,0.0,0.0,0.0,0.0
"ARX Credit Card Clients, k = 5, t = 0.3",1.4341170724963566,1.4142135623730951,1.4142135623730931,3.0539781533656396,0.11182313293410857,1.4142135623730938,1.4142135623730938,1.4142135623730951,1.4142135623730951,1.414219220710033,1.4146123604622574,1.4185499669688444,2.000399688061829,0.0,0.0,0.0,0.0
"ARX Credit Card Clients, k = 5, t = 0.15",1.4338054992090508,1.4142135623730951,1.4142135623730931,3.0539781533656396,0.1111594667631498,1.4142135623730938,1.4142135623730938,1.4142135623730951,1.4142135623730951,1.4142192568346623,1.4146067162871976,1.41828525954209,2.0003941094053386,0.0,0.0,0.0,0.0
"DP Credit Card Clients, epsilon = 10.0",0.9048207544979501,1.4142994976353158,0.008635791398932462,3.750827208799727,0.8830603560786341,0.010537908567521171,0.013192075722462346,0.01726989736989327,0.048450710644782416,1.416611923790414,2.005900003782651,2.450004825920961,2.8291432143083433,0.0,0.7833333333333333,25.966666666666665,44.17333333333333
"DP Credit Card Clients, epsilon = 5.0",0.9001803597412916,1.414628939184078,0.006765215165373796,3.764768335435206,0.872690349634025,0.01279765906432538,0.0196492744918766,0.024378501155927157,0.04336268993328528,1.4189174802515545,2.0010664859413216,2.449783798170668,2.8335961759254573,0.0,0.12,33.32666666666667,44.12
"DP Credit Card Clients, epsilon = 3.0",0.8629284849426384,0.12642332207092472,0.006776516843165803,3.742143208934913,0.9009192270814482,0.011655126998340266,0.019947645197612884,0.024862216265766617,0.031935214509741204,1.4190769640673386,2.0032892599714502,2.4498185049318617,2.8347272731662723,0.0,0.8233333333333334,38.59,48.74
"DP Credit Card Clients, epsilon = 1.0",0.7971024110974416,0.07590863482883523,0.008869393964012652,3.48380954607091,0.8757964097552954,0.010791885382739157,0.016351983439732133,0.023110892178031712,0.027966105031390364,1.4167833325220545,2.0005969416201763,2.0091765573665348,2.830743749598782,0.0,0.7833333333333333,46.26,52.233333333333334
"DP Credit Card Clients, epsilon = 0.5",0.915371561395058,1.4142711801574332,0.007192308093069082,3.742268480307597,0.8865994239555135,0.00939286687574102,0.022788062465898012,0.029264469322046103,0.05413987494091583,1.416588575505433,2.001327597375921,2.449754131924479,2.828571224064372,0.0,1.2666666666666666,22.220000000000002,41.42333333333333
"Combined Credit Card Clients, k = 3 + epsilon = 0.5",1.2046168427885973,1.0012025188887794,1.00002329121198,3.317811658909522,0.41208938453342414,1.0000430808236427,1.0000820115883573,1.0000974136879772,1.0001684055879214,1.01301611347507,1.73462941236383,2.236536624046439,2.646026382341612,0.0,0.0,0.0,0.0
"Combined Credit Card Clients, k = 3 + epsilon = 1.0",1.2168085584601553,1.0003966836636693,1.0000127115927082,3.875559054169713,0.43316742981907047,1.0000188359782152,1.0000428205774758,1.0000708329317456,1.0001723703676717,1.0137661597164827,1.7418937953579163,2.236582639525846,2.6466174236030082,0.0,0.0,0.0,0.0
"Combined Credit Card Clients, k = 3 + epsilon = 3.0",1.2278691144590086,1.0003487374572002,1.0000081118478803,3.6388214735077415,0.44509368744881983,1.0000167024781572,1.0000401658135916,1.0000620049816722,1.0002201362348344,1.0309027130452295,1.748516082131798,2.236631478158012,2.6524853841694753,0.0,0.0,0.0,0.0
"Combined Credit Card Clients, k = 5 + epsilon = 0.5",1.5695121968036017,1.4149820492537541,1.4142175592142288,3.742035959537212,0.3209438310623558,1.4142346024885548,1.4142397518460088,1.414248396426786,1.4143055204932191,1.4181914959510369,2.0006804868458135,2.0047615377382697,2.8292540137483355,0.0,0.0,0.0,0.0
"Combined Credit Card Clients, k = 5 + epsilon = 1.0",1.5693909880853247,1.4145099897074462,1.4142223897383872,3.182673164065924,0.31247385654606297,1.4142278532865074,1.414237132652926,1.4142560926852104,1.414358445601965,1.4182831308062638,2.0012119221964277,2.0149621011426113,2.8299897267356817,0.0,0.0,0.0,0.0
"Combined Credit Card Clients, k = 5 + epsilon = 3.0",1.564461309833513,1.4144548521199567,1.4142192983273714,3.742100297782337,0.3301146488388495,1.4142192983273714,1.4142279141700211,1.4142531693129496,1.4143528249528532,1.4185123180535282,2.001748085370861,2.449692980011757,2.8316949485104885,0.0,0.0,0.0,0.0
