Anonymization_Configuration,mean_distance,median_distance,exact_matches_%,near_matches_1pct_%
No anonymization (Baseline),0.6582425068320049,0.1541368526633377,0.21111111111111108,3.2444444444444445
ARX Credit Card Clients k = 10,1.0246447945524775,1.0,0.0,0.0
ARX Credit Card Clients k = 20,1.024428769153896,1.0,0.0,0.0
"ARX Credit Card Clients, k = 5, l = 2",1.7376377895178452,1.7320508075688772,0.0,0.0
"ARX Credit Card Clients, k = 5, l = 3",1.7376377895178452,1.7320508075688772,0.0,0.0
"ARX Credit Card Clients, k = 5, t = 0.20",1.737637789517845,1.7320508075688772,0.0,0.0
"ARX Credit Card Clients, k = 5, t = 0.10",1.4245822543155038,1.4142135623730951,0.0,0.0
"DP Credit Card Clients, epsilon = 10.0",0.6172757797574658,0.0831665168751226,0.0,0.0
"DP Credit Card Clients, epsilon = 5.0",0.6464087445463254,0.09015654706087341,0.0,0.0
"DP Credit Card Clients, epsilon = 3.0",0.5907857942622259,0.06787490711781612,0.0,0.23333333333333336
"DP Credit Card Clients, epsilon = 1.0",0.5954525971344068,0.07850418339896262,0.0,0.45666666666666667
"DP Credit Card Clients, epsilon = 0.5",0.5952336744057718,0.07373064139220231,0.0,0.0
